{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [39.5729]
train_epoch: 1002, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [39.6251]
train_epoch: 1003, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [39.6805]
train_epoch: 1004, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [39.7384]
train_epoch: 1005, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [39.7971]
train_epoch: 1006, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [39.8508]
train_epoch: 1007, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [39.9052]
train_epoch: 1008, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [39.9570]
train_epoch: 1009, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [40.0133]
train_epoch: 1010, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [40.0715]
train_epoch: 1011, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [40.1256]
train_epoch: 1012, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [40.1815]
train_epoch: 1013, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [40.2360]
train_epoch: 1014, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [40.2913]
train_epoch: 1015, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [40.3506]
train_epoch: 1016, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [40.4101]
train_epoch: 1017, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [40.4658]
train_epoch: 1018, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [40.5146]
train_epoch: 1019, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [40.5680]
train_epoch: 1020, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [40.6245]
train_epoch: 1021, loss: 0.4912, recall20: 0.0000 recall10: 0.0000 [40.6834]
