{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.7015, recall20: 0.0000 recall10: 0.0000 [22.0580]
train_epoch: 1002, loss: 0.7014, recall20: 0.0000 recall10: 0.0000 [22.0835]
train_epoch: 1003, loss: 0.7014, recall20: 0.0000 recall10: 0.0000 [22.1058]
train_epoch: 1004, loss: 0.7014, recall20: 0.0000 recall10: 0.0000 [22.1281]
train_epoch: 1005, loss: 0.7014, recall20: 0.0000 recall10: 0.0000 [22.1503]
train_epoch: 1006, loss: 0.7013, recall20: 0.0000 recall10: 0.0000 [22.1724]
train_epoch: 1007, loss: 0.7013, recall20: 0.0000 recall10: 0.0000 [22.1948]
train_epoch: 1008, loss: 0.7013, recall20: 0.0000 recall10: 0.0000 [22.2177]
train_epoch: 1009, loss: 0.7012, recall20: 0.0000 recall10: 0.0000 [22.2401]
train_epoch: 1010, loss: 0.7012, recall20: 0.0000 recall10: 0.0000 [22.2620]
train_epoch: 1011, loss: 0.7012, recall20: 0.0000 recall10: 0.0000 [22.2837]
train_epoch: 1012, loss: 0.7012, recall20: 0.0000 recall10: 0.0000 [22.3052]
train_epoch: 1013, loss: 0.7011, recall20: 0.0000 recall10: 0.0000 [22.3276]
train_epoch: 1014, loss: 0.7011, recall20: 0.0000 recall10: 0.0000 [22.3494]
train_epoch: 1015, loss: 0.7011, recall20: 0.0000 recall10: 0.0000 [22.3713]
train_epoch: 1016, loss: 0.7011, recall20: 0.0000 recall10: 0.0000 [22.3935]
train_epoch: 1017, loss: 0.7010, recall20: 0.0000 recall10: 0.0000 [22.4173]
train_epoch: 1018, loss: 0.7010, recall20: 0.0000 recall10: 0.0000 [22.4421]
train_epoch: 1019, loss: 0.7010, recall20: 0.0000 recall10: 0.0000 [22.4655]
train_epoch: 1020, loss: 0.7009, recall20: 0.0000 recall10: 0.0000 [22.4875]
train_epoch: 1021, loss: 0.7009, recall20: 0.0000 recall10: 0.0000 [22.5110]
train_epoch: 1022, loss: 0.7009, recall20: 0.0000 recall10: 0.0000 [22.5336]
train_epoch: 1023, loss: 0.7009, recall20: 0.0000 recall10: 0.0000 [22.5557]
train_epoch: 1024, loss: 0.7008, recall20: 0.0000 recall10: 0.0000 [22.5775]
train_epoch: 1025, loss: 0.7008, recall20: 0.0000 recall10: 0.0000 [22.6035]
train_epoch: 1026, loss: 0.7008, recall20: 0.0000 recall10: 0.0000 [22.6277]
train_epoch: 1027, loss: 0.7008, recall20: 0.0000 recall10: 0.0000 [22.6531]
train_epoch: 1028, loss: 0.7007, recall20: 0.0000 recall10: 0.0000 [22.6776]
train_epoch: 1029, loss: 0.7007, recall20: 0.0000 recall10: 0.0000 [22.6996]
train_epoch: 1030, loss: 0.7007, recall20: 0.0000 recall10: 0.0000 [22.7210]
train_epoch: 1031, loss: 0.7006, recall20: 0.0000 recall10: 0.0000 [22.7425]
train_epoch: 1032, loss: 0.7006, recall20: 0.0000 recall10: 0.0000 [22.7643]
train_epoch: 1033, loss: 0.7006, recall20: 0.0000 recall10: 0.0000 [22.7858]
train_epoch: 1034, loss: 0.7006, recall20: 0.0000 recall10: 0.0000 [22.8072]
train_epoch: 1035, loss: 0.7005, recall20: 0.0000 recall10: 0.0000 [22.8284]
train_epoch: 1036, loss: 0.7005, recall20: 0.0000 recall10: 0.0000 [22.8504]
train_epoch: 1037, loss: 0.7005, recall20: 0.0000 recall10: 0.0000 [22.8746]
train_epoch: 1038, loss: 0.7005, recall20: 0.0000 recall10: 0.0000 [22.9008]
train_epoch: 1039, loss: 0.7004, recall20: 0.0000 recall10: 0.0000 [22.9235]
train_epoch: 1040, loss: 0.7004, recall20: 0.0000 recall10: 0.0000 [22.9448]
train_epoch: 1041, loss: 0.7004, recall20: 0.0000 recall10: 0.0000 [22.9669]
train_epoch: 1042, loss: 0.7004, recall20: 0.0000 recall10: 0.0000 [22.9917]
train_epoch: 1043, loss: 0.7003, recall20: 0.0000 recall10: 0.0000 [23.0149]
train_epoch: 1044, loss: 0.7003, recall20: 0.0000 recall10: 0.0000 [23.0364]
train_epoch: 1045, loss: 0.7003, recall20: 0.0000 recall10: 0.0000 [23.0580]
train_epoch: 1046, loss: 0.7003, recall20: 0.0000 recall10: 0.0000 [23.0795]
train_epoch: 1047, loss: 0.7002, recall20: 0.0000 recall10: 0.0000 [23.1018]
train_epoch: 1048, loss: 0.7002, recall20: 0.0000 recall10: 0.0000 [23.1263]
train_epoch: 1049, loss: 0.7002, recall20: 0.0000 recall10: 0.0000 [23.1499]
train_epoch: 1050, loss: 0.7002, recall20: 0.0000 recall10: 0.0000 [23.1717]
train_epoch: 1051, loss: 0.7001, recall20: 0.0000 recall10: 0.0000 [23.1930]
train_epoch: 1052, loss: 0.7001, recall20: 0.0000 recall10: 0.0000 [23.2151]
train_epoch: 1053, loss: 0.7001, recall20: 0.0000 recall10: 0.0000 [23.2364]
train_epoch: 1054, loss: 0.7001, recall20: 0.0000 recall10: 0.0000 [23.2581]
train_epoch: 1055, loss: 0.7000, recall20: 0.0000 recall10: 0.0000 [23.2814]
train_epoch: 1056, loss: 0.7000, recall20: 0.0000 recall10: 0.0000 [23.3036]
train_epoch: 1057, loss: 0.7000, recall20: 0.0000 recall10: 0.0000 [23.3258]
train_epoch: 1058, loss: 0.7000, recall20: 0.0000 recall10: 0.0000 [23.3498]
train_epoch: 1059, loss: 0.6999, recall20: 0.0000 recall10: 0.0000 [23.3738]
train_epoch: 1060, loss: 0.6999, recall20: 0.0000 recall10: 0.0000 [23.3998]
train_epoch: 1061, loss: 0.6999, recall20: 0.0000 recall10: 0.0000 [23.4229]
train_epoch: 1062, loss: 0.6999, recall20: 0.0000 recall10: 0.0000 [23.4448]
train_epoch: 1063, loss: 0.6998, recall20: 0.0000 recall10: 0.0000 [23.4667]
train_epoch: 1064, loss: 0.6998, recall20: 0.0000 recall10: 0.0000 [23.4884]
train_epoch: 1065, loss: 0.6998, recall20: 0.0000 recall10: 0.0000 [23.5104]
train_epoch: 1066, loss: 0.6998, recall20: 0.0000 recall10: 0.0000 [23.5319]
train_epoch: 1067, loss: 0.6997, recall20: 0.0000 recall10: 0.0000 [23.5542]
train_epoch: 1068, loss: 0.6997, recall20: 0.0000 recall10: 0.0000 [23.5781]
train_epoch: 1069, loss: 0.6997, recall20: 0.0000 recall10: 0.0000 [23.6021]
train_epoch: 1070, loss: 0.6997, recall20: 0.0000 recall10: 0.0000 [23.6260]
train_epoch: 1071, loss: 0.6996, recall20: 0.0000 recall10: 0.0000 [23.6488]
train_epoch: 1072, loss: 0.6996, recall20: 0.0000 recall10: 0.0000 [23.6715]
train_epoch: 1073, loss: 0.6996, recall20: 0.0000 recall10: 0.0000 [23.6933]
train_epoch: 1074, loss: 0.6996, recall20: 0.0000 recall10: 0.0000 [23.7148]
train_epoch: 1075, loss: 0.6996, recall20: 0.0000 recall10: 0.0000 [23.7363]
train_epoch: 1076, loss: 0.6995, recall20: 0.0000 recall10: 0.0000 [23.7578]
train_epoch: 1077, loss: 0.6995, recall20: 0.0000 recall10: 0.0000 [23.7801]
train_epoch: 1078, loss: 0.6995, recall20: 0.0000 recall10: 0.0000 [23.8068]
train_epoch: 1079, loss: 0.6995, recall20: 0.0000 recall10: 0.0000 [23.8303]
train_epoch: 1080, loss: 0.6994, recall20: 0.0000 recall10: 0.0000 [23.8535]
train_epoch: 1081, loss: 0.6994, recall20: 0.0000 recall10: 0.0000 [23.8770]
train_epoch: 1082, loss: 0.6994, recall20: 0.0000 recall10: 0.0000 [23.8988]
train_epoch: 1083, loss: 0.6994, recall20: 0.0000 recall10: 0.0000 [23.9201]
train_epoch: 1084, loss: 0.6993, recall20: 0.0000 recall10: 0.0000 [23.9414]
train_epoch: 1085, loss: 0.6993, recall20: 0.0000 recall10: 0.0000 [23.9635]
train_epoch: 1086, loss: 0.6993, recall20: 0.0000 recall10: 0.0000 [23.9850]
train_epoch: 1087, loss: 0.6993, recall20: 0.0000 recall10: 0.0000 [24.0072]
train_epoch: 1088, loss: 0.6993, recall20: 0.0000 recall10: 0.0000 [24.0321]
train_epoch: 1089, loss: 0.6992, recall20: 0.0000 recall10: 0.0000 [24.0558]
train_epoch: 1090, loss: 0.6992, recall20: 0.0000 recall10: 0.0000 [24.0798]
train_epoch: 1091, loss: 0.6992, recall20: 0.0000 recall10: 0.0000 [24.1025]
train_epoch: 1092, loss: 0.6992, recall20: 0.0000 recall10: 0.0000 [24.1251]
train_epoch: 1093, loss: 0.6991, recall20: 0.0000 recall10: 0.0000 [24.1477]
train_epoch: 1094, loss: 0.6991, recall20: 0.0000 recall10: 0.0000 [24.1692]
train_epoch: 1095, loss: 0.6991, recall20: 0.0000 recall10: 0.0000 [24.1908]
train_epoch: 1096, loss: 0.6991, recall20: 0.0000 recall10: 0.0000 [24.2133]
train_epoch: 1097, loss: 0.6991, recall20: 0.0000 recall10: 0.0000 [24.2354]
train_epoch: 1098, loss: 0.6990, recall20: 0.0000 recall10: 0.0000 [24.2603]
train_epoch: 1099, loss: 0.6990, recall20: 0.0000 recall10: 0.0000 [24.2826]
train_epoch: 1100, loss: 0.6990, recall20: 0.0000 recall10: 0.0000 [24.3040]
train_epoch: 1101, loss: 0.6990, recall20: 0.0000 recall10: 0.0000 [24.3255]
train_epoch: 1102, loss: 0.6990, recall20: 0.0000 recall10: 0.0000 [24.3488]
train_epoch: 1103, loss: 0.6989, recall20: 0.0000 recall10: 0.0000 [24.3709]
train_epoch: 1104, loss: 0.6989, recall20: 0.0000 recall10: 0.0000 [24.3925]
train_epoch: 1105, loss: 0.6989, recall20: 0.0000 recall10: 0.0000 [24.4145]
train_epoch: 1106, loss: 0.6989, recall20: 0.0000 recall10: 0.0000 [24.4362]
train_epoch: 1107, loss: 0.6988, recall20: 0.0000 recall10: 0.0000 [24.4586]
train_epoch: 1108, loss: 0.6988, recall20: 0.0000 recall10: 0.0000 [24.4820]
train_epoch: 1109, loss: 0.6988, recall20: 0.0000 recall10: 0.0000 [24.5066]
train_epoch: 1110, loss: 0.6988, recall20: 0.0000 recall10: 0.0000 [24.5294]
train_epoch: 1111, loss: 0.6988, recall20: 0.0000 recall10: 0.0000 [24.5516]
train_epoch: 1112, loss: 0.6987, recall20: 0.0000 recall10: 0.0000 [24.5739]
train_epoch: 1113, loss: 0.6987, recall20: 0.0000 recall10: 0.0000 [24.5959]
train_epoch: 1114, loss: 0.6987, recall20: 0.0000 recall10: 0.0000 [24.6181]
train_epoch: 1115, loss: 0.6987, recall20: 0.0000 recall10: 0.0000 [24.6400]
train_epoch: 1116, loss: 0.6987, recall20: 0.0000 recall10: 0.0000 [24.6617]
train_epoch: 1117, loss: 0.6986, recall20: 0.0000 recall10: 0.0000 [24.6839]
train_epoch: 1118, loss: 0.6986, recall20: 0.0000 recall10: 0.0000 [24.7094]
train_epoch: 1119, loss: 0.6986, recall20: 0.0000 recall10: 0.0000 [24.7314]
