{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'max', 'pred': 'h'}
train_epoch: 1001, loss: 0.3310, recall20: 0.0000 recall10: 0.0000 [19.5483]
train_epoch: 1002, loss: 0.3310, recall20: 0.0000 recall10: 0.0000 [19.5752]
train_epoch: 1003, loss: 0.3310, recall20: 0.0000 recall10: 0.0000 [19.5981]
train_epoch: 1004, loss: 0.3310, recall20: 0.0000 recall10: 0.0000 [19.6201]
train_epoch: 1005, loss: 0.3309, recall20: 0.0000 recall10: 0.0000 [19.6413]
train_epoch: 1006, loss: 0.3309, recall20: 0.0000 recall10: 0.0000 [19.6624]
train_epoch: 1007, loss: 0.3309, recall20: 0.0000 recall10: 0.0000 [19.6823]
train_epoch: 1008, loss: 0.3309, recall20: 0.0000 recall10: 0.0000 [19.7025]
train_epoch: 1009, loss: 0.3309, recall20: 0.0000 recall10: 0.0000 [19.7225]
train_epoch: 1010, loss: 0.3309, recall20: 0.0000 recall10: 0.0000 [19.7425]
train_epoch: 1011, loss: 0.3308, recall20: 0.0000 recall10: 0.0000 [19.7625]
train_epoch: 1012, loss: 0.3308, recall20: 0.0000 recall10: 0.0000 [19.7828]
train_epoch: 1013, loss: 0.3308, recall20: 0.0000 recall10: 0.0000 [19.8053]
train_epoch: 1014, loss: 0.3308, recall20: 0.0000 recall10: 0.0000 [19.8279]
train_epoch: 1015, loss: 0.3308, recall20: 0.0000 recall10: 0.0000 [19.8495]
train_epoch: 1016, loss: 0.3307, recall20: 0.0000 recall10: 0.0000 [19.8718]
train_epoch: 1017, loss: 0.3307, recall20: 0.0000 recall10: 0.0000 [19.8939]
train_epoch: 1018, loss: 0.3307, recall20: 0.0000 recall10: 0.0000 [19.9158]
train_epoch: 1019, loss: 0.3307, recall20: 0.0000 recall10: 0.0000 [19.9379]
train_epoch: 1020, loss: 0.3307, recall20: 0.0000 recall10: 0.0000 [19.9595]
train_epoch: 1021, loss: 0.3306, recall20: 0.0000 recall10: 0.0000 [19.9803]
train_epoch: 1022, loss: 0.3306, recall20: 0.0999 recall10: 0.0542 [20.3765]
