{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'h'}
train_epoch: 1001, loss: 0.3607, recall20: 0.0000 recall10: 0.0000 [72.5930]
train_epoch: 1002, loss: 0.3607, recall20: 0.0000 recall10: 0.0000 [72.7338]
train_epoch: 1003, loss: 0.3607, recall20: 0.0000 recall10: 0.0000 [72.7796]
train_epoch: 1004, loss: 0.3607, recall20: 0.0000 recall10: 0.0000 [72.8381]
train_epoch: 1005, loss: 0.3607, recall20: 0.0000 recall10: 0.0000 [72.9012]
train_epoch: 1006, loss: 0.3606, recall20: 0.0000 recall10: 0.0000 [72.9601]
train_epoch: 1007, loss: 0.3606, recall20: 0.0000 recall10: 0.0000 [73.0113]
train_epoch: 1008, loss: 0.3606, recall20: 0.0000 recall10: 0.0000 [73.0622]
train_epoch: 1009, loss: 0.3606, recall20: 0.0000 recall10: 0.0000 [73.1374]
train_epoch: 1010, loss: 0.3606, recall20: 0.0000 recall10: 0.0000 [73.1908]
train_epoch: 1011, loss: 0.3606, recall20: 0.0000 recall10: 0.0000 [73.2466]
train_epoch: 1012, loss: 0.3606, recall20: 0.0000 recall10: 0.0000 [73.2940]
train_epoch: 1013, loss: 0.3606, recall20: 0.0000 recall10: 0.0000 [73.3427]
train_epoch: 1014, loss: 0.3605, recall20: 0.0000 recall10: 0.0000 [73.3917]
train_epoch: 1015, loss: 0.3605, recall20: 0.0000 recall10: 0.0000 [73.4541]
train_epoch: 1016, loss: 0.3605, recall20: 0.0000 recall10: 0.0000 [73.5006]
train_epoch: 1017, loss: 0.3605, recall20: 0.0000 recall10: 0.0000 [73.5323]
train_epoch: 1018, loss: 0.3605, recall20: 0.0000 recall10: 0.0000 [73.5909]
train_epoch: 1019, loss: 0.3605, recall20: 0.0000 recall10: 0.0000 [73.6490]
train_epoch: 1020, loss: 0.3605, recall20: 0.0000 recall10: 0.0000 [73.6986]
train_epoch: 1021, loss: 0.3605, recall20: 0.0000 recall10: 0.0000 [73.7290]
train_epoch: 1022, loss: 0.3604, recall20: 0.0000 recall10: 0.0000 [73.7896]
train_epoch: 1023, loss: 0.3604, recall20: 0.0000 recall10: 0.0000 [73.8528]
train_epoch: 1024, loss: 0.3604, recall20: 0.0000 recall10: 0.0000 [73.9109]
train_epoch: 1025, loss: 0.3604, recall20: 0.0000 recall10: 0.0000 [73.9618]
train_epoch: 1026, loss: 0.3604, recall20: 0.0000 recall10: 0.0000 [74.0090]
train_epoch: 1027, loss: 0.3604, recall20: 0.0000 recall10: 0.0000 [74.0531]
train_epoch: 1028, loss: 0.3604, recall20: 0.0000 recall10: 0.0000 [74.1144]
train_epoch: 1029, loss: 0.3604, recall20: 0.0000 recall10: 0.0000 [74.1739]
train_epoch: 1030, loss: 0.3603, recall20: 0.0000 recall10: 0.0000 [74.2296]
train_epoch: 1031, loss: 0.3603, recall20: 0.0000 recall10: 0.0000 [74.2814]
train_epoch: 1032, loss: 0.3603, recall20: 0.0000 recall10: 0.0000 [74.3259]
train_epoch: 1033, loss: 0.3603, recall20: 0.0000 recall10: 0.0000 [74.3734]
train_epoch: 1034, loss: 0.3603, recall20: 0.0000 recall10: 0.0000 [74.4335]
train_epoch: 1035, loss: 0.3603, recall20: 0.0000 recall10: 0.0000 [74.4973]
train_epoch: 1036, loss: 0.3603, recall20: 0.0000 recall10: 0.0000 [74.5566]
train_epoch: 1037, loss: 0.3603, recall20: 0.0000 recall10: 0.0000 [74.6143]
train_epoch: 1038, loss: 0.3602, recall20: 0.0000 recall10: 0.0000 [74.6618]
train_epoch: 1039, loss: 0.3602, recall20: 0.0000 recall10: 0.0000 [74.7140]
train_epoch: 1040, loss: 0.3602, recall20: 0.0000 recall10: 0.0000 [74.7594]
train_epoch: 1041, loss: 0.3602, recall20: 0.0000 recall10: 0.0000 [74.8204]
train_epoch: 1042, loss: 0.3602, recall20: 0.0000 recall10: 0.0000 [74.8835]
train_epoch: 1043, loss: 0.3602, recall20: 0.0000 recall10: 0.0000 [74.9331]
train_epoch: 1044, loss: 0.3602, recall20: 0.0000 recall10: 0.0000 [74.9816]
train_epoch: 1045, loss: 0.3602, recall20: 0.0000 recall10: 0.0000 [75.0323]
train_epoch: 1046, loss: 0.3601, recall20: 0.0000 recall10: 0.0000 [75.0756]
train_epoch: 1047, loss: 0.3601, recall20: 0.0000 recall10: 0.0000 [75.1360]
train_epoch: 1048, loss: 0.3601, recall20: 0.0000 recall10: 0.0000 [75.1996]
train_epoch: 1049, loss: 0.3601, recall20: 0.0000 recall10: 0.0000 [75.2636]
train_epoch: 1050, loss: 0.3601, recall20: 0.0000 recall10: 0.0000 [75.3170]
train_epoch: 1051, loss: 0.3601, recall20: 0.0000 recall10: 0.0000 [75.3700]
train_epoch: 1052, loss: 0.3601, recall20: 0.0000 recall10: 0.0000 [75.4112]
train_epoch: 1053, loss: 0.3601, recall20: 0.0000 recall10: 0.0000 [75.4661]
train_epoch: 1054, loss: 0.3601, recall20: 0.0000 recall10: 0.0000 [75.5274]
train_epoch: 1055, loss: 0.3600, recall20: 0.0000 recall10: 0.0000 [75.5837]
train_epoch: 1056, loss: 0.3600, recall20: 0.0000 recall10: 0.0000 [75.6335]
train_epoch: 1057, loss: 0.3600, recall20: 0.0000 recall10: 0.0000 [75.6815]
train_epoch: 1058, loss: 0.3600, recall20: 0.0000 recall10: 0.0000 [75.7295]
train_epoch: 1059, loss: 0.3600, recall20: 0.0000 recall10: 0.0000 [75.7916]
train_epoch: 1060, loss: 0.3600, recall20: 0.0000 recall10: 0.0000 [75.8516]
train_epoch: 1061, loss: 0.3600, recall20: 0.0000 recall10: 0.0000 [75.9127]
train_epoch: 1062, loss: 0.3600, recall20: 0.0000 recall10: 0.0000 [75.9676]
train_epoch: 1063, loss: 0.3599, recall20: 0.0000 recall10: 0.0000 [76.0223]
train_epoch: 1064, loss: 0.3599, recall20: 0.0000 recall10: 0.0000 [76.0716]
train_epoch: 1065, loss: 0.3599, recall20: 0.0000 recall10: 0.0000 [76.1167]
train_epoch: 1066, loss: 0.3599, recall20: 0.0000 recall10: 0.0000 [76.1706]
train_epoch: 1067, loss: 0.3599, recall20: 0.0000 recall10: 0.0000 [76.2318]
train_epoch: 1068, loss: 0.3599, recall20: 0.0000 recall10: 0.0000 [76.2829]
train_epoch: 1069, loss: 0.3599, recall20: 0.0000 recall10: 0.0000 [76.3335]
train_epoch: 1070, loss: 0.3599, recall20: 0.0000 recall10: 0.0000 [76.3798]
train_epoch: 1071, loss: 0.3599, recall20: 0.0000 recall10: 0.0000 [76.4299]
train_epoch: 1072, loss: 0.3598, recall20: 0.0000 recall10: 0.0000 [76.4901]
train_epoch: 1073, loss: 0.3598, recall20: 0.0000 recall10: 0.0000 [76.5423]
train_epoch: 1074, loss: 0.3598, recall20: 0.0000 recall10: 0.0000 [76.5932]
train_epoch: 1075, loss: 0.3598, recall20: 0.0000 recall10: 0.0000 [76.6320]
train_epoch: 1076, loss: 0.3598, recall20: 0.0000 recall10: 0.0000 [76.6898]
train_epoch: 1077, loss: 0.3598, recall20: 0.0000 recall10: 0.0000 [76.7526]
train_epoch: 1078, loss: 0.3598, recall20: 0.0000 recall10: 0.0000 [76.8160]
train_epoch: 1079, loss: 0.3598, recall20: 0.0000 recall10: 0.0000 [76.8762]
train_epoch: 1080, loss: 0.3598, recall20: 0.0000 recall10: 0.0000 [76.9382]
train_epoch: 1081, loss: 0.3597, recall20: 0.0000 recall10: 0.0000 [76.9972]
train_epoch: 1082, loss: 0.3597, recall20: 0.0000 recall10: 0.0000 [77.0547]
train_epoch: 1083, loss: 0.3597, recall20: 0.0000 recall10: 0.0000 [77.1068]
train_epoch: 1084, loss: 0.3597, recall20: 0.0000 recall10: 0.0000 [77.1482]
train_epoch: 1085, loss: 0.3597, recall20: 0.0000 recall10: 0.0000 [77.2042]
train_epoch: 1086, loss: 0.3597, recall20: 0.0000 recall10: 0.0000 [77.2666]
train_epoch: 1087, loss: 0.3597, recall20: 0.0000 recall10: 0.0000 [77.3273]
train_epoch: 1088, loss: 0.3597, recall20: 0.0000 recall10: 0.0000 [77.3759]
train_epoch: 1089, loss: 0.3597, recall20: 0.0000 recall10: 0.0000 [77.4209]
train_epoch: 1090, loss: 0.3596, recall20: 0.0000 recall10: 0.0000 [77.4621]
train_epoch: 1091, loss: 0.3596, recall20: 0.0000 recall10: 0.0000 [77.5171]
train_epoch: 1092, loss: 0.3596, recall20: 0.0000 recall10: 0.0000 [77.5797]
train_epoch: 1093, loss: 0.3596, recall20: 0.0000 recall10: 0.0000 [77.6373]
train_epoch: 1094, loss: 0.3596, recall20: 0.0000 recall10: 0.0000 [77.6977]
train_epoch: 1095, loss: 0.3596, recall20: 0.0000 recall10: 0.0000 [77.7568]
train_epoch: 1096, loss: 0.3596, recall20: 0.0000 recall10: 0.0000 [77.8117]
train_epoch: 1097, loss: 0.3596, recall20: 0.0000 recall10: 0.0000 [77.8654]
train_epoch: 1098, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [77.9173]
train_epoch: 1099, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [77.9665]
train_epoch: 1100, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [78.0227]
train_epoch: 1101, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [78.0857]
train_epoch: 1102, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [78.1401]
train_epoch: 1103, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [78.1897]
train_epoch: 1104, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [78.2408]
train_epoch: 1105, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [78.2912]
train_epoch: 1106, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [78.3507]
train_epoch: 1107, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [78.4136]
train_epoch: 1108, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [78.4747]
train_epoch: 1109, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [78.5323]
train_epoch: 1110, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [78.5853]
train_epoch: 1111, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [78.6382]
train_epoch: 1112, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [78.6895]
train_epoch: 1113, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [78.7419]
train_epoch: 1114, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [78.7957]
train_epoch: 1115, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [78.8564]
train_epoch: 1116, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [78.9099]
train_epoch: 1117, loss: 0.3593, recall20: 0.0000 recall10: 0.0000 [78.9616]
train_epoch: 1118, loss: 0.3593, recall20: 0.0000 recall10: 0.0000 [79.0137]
train_epoch: 1119, loss: 0.3593, recall20: 0.0000 recall10: 0.0000 [79.0601]
train_epoch: 1120, loss: 0.3593, recall20: 0.0000 recall10: 0.0000 [79.1068]
train_epoch: 1121, loss: 0.3593, recall20: 0.0000 recall10: 0.0000 [79.1690]
