{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.3515, recall20: 0.0000 recall10: 0.0000 [15.6027]
train_epoch: 1002, loss: 0.3515, recall20: 0.0000 recall10: 0.0000 [15.6229]
train_epoch: 1003, loss: 0.3515, recall20: 0.0000 recall10: 0.0000 [15.6429]
train_epoch: 1004, loss: 0.3515, recall20: 0.0000 recall10: 0.0000 [15.6631]
train_epoch: 1005, loss: 0.3514, recall20: 0.0000 recall10: 0.0000 [15.6791]
train_epoch: 1006, loss: 0.3514, recall20: 0.0000 recall10: 0.0000 [15.6954]
train_epoch: 1007, loss: 0.3514, recall20: 0.0000 recall10: 0.0000 [15.7133]
train_epoch: 1008, loss: 0.3514, recall20: 0.0000 recall10: 0.0000 [15.7289]
train_epoch: 1009, loss: 0.3514, recall20: 0.0000 recall10: 0.0000 [15.7450]
train_epoch: 1010, loss: 0.3513, recall20: 0.0000 recall10: 0.0000 [15.7628]
train_epoch: 1011, loss: 0.3513, recall20: 0.0000 recall10: 0.0000 [15.7800]
train_epoch: 1012, loss: 0.3513, recall20: 0.0000 recall10: 0.0000 [15.7967]
train_epoch: 1013, loss: 0.3513, recall20: 0.0000 recall10: 0.0000 [15.8124]
train_epoch: 1014, loss: 0.3512, recall20: 0.0000 recall10: 0.0000 [15.8273]
train_epoch: 1015, loss: 0.3512, recall20: 0.0000 recall10: 0.0000 [15.8426]
train_epoch: 1016, loss: 0.3512, recall20: 0.0000 recall10: 0.0000 [15.8572]
train_epoch: 1017, loss: 0.3512, recall20: 0.0000 recall10: 0.0000 [15.8716]
train_epoch: 1018, loss: 0.3512, recall20: 0.0000 recall10: 0.0000 [15.8861]
train_epoch: 1019, loss: 0.3511, recall20: 0.0000 recall10: 0.0000 [15.9009]
train_epoch: 1020, loss: 0.3511, recall20: 0.0000 recall10: 0.0000 [15.9154]
train_epoch: 1021, loss: 0.3511, recall20: 0.0000 recall10: 0.0000 [15.9299]
train_epoch: 1022, loss: 0.3511, recall20: 0.0000 recall10: 0.0000 [15.9447]
train_epoch: 1023, loss: 0.3510, recall20: 0.0000 recall10: 0.0000 [15.9598]
train_epoch: 1024, loss: 0.3510, recall20: 0.0000 recall10: 0.0000 [15.9750]
