{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.4542]
train_epoch: 1002, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.4720]
train_epoch: 1003, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.4859]
train_epoch: 1004, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.4993]
train_epoch: 1005, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.5127]
train_epoch: 1006, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.5264]
train_epoch: 1007, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.5387]
train_epoch: 1008, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.5515]
train_epoch: 1009, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.5653]
train_epoch: 1010, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.5799]
train_epoch: 1011, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.5935]
train_epoch: 1012, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.6075]
train_epoch: 1013, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.6210]
train_epoch: 1014, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.6349]
train_epoch: 1015, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.6491]
train_epoch: 1016, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.6628]
train_epoch: 1017, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.6761]
train_epoch: 1018, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.6895]
train_epoch: 1019, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.7028]
train_epoch: 1020, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.7167]
train_epoch: 1021, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.7318]
train_epoch: 1022, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.7476]
train_epoch: 1023, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.7613]
train_epoch: 1024, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.7754]
train_epoch: 1025, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.7891]
train_epoch: 1026, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.8032]
train_epoch: 1027, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.8165]
train_epoch: 1028, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.8312]
train_epoch: 1029, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.8448]
train_epoch: 1030, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.8584]
train_epoch: 1031, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.8721]
train_epoch: 1032, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.8854]
train_epoch: 1033, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [13.8987]
