{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.1821]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.2220]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.2596]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.2981]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.3345]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.3716]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.4075]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.4445]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.4811]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.5207]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.5595]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.5962]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.6328]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.6695]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.7075]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.7467]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.7854]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.8225]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.8599]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.8969]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.9350]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.9738]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.0130]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.0514]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.0880]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.1236]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.1602]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.1966]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.2358]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.2731]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.3089]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.3462]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.3829]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.4192]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.4573]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.4936]
train_epoch: 1037, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.5278]
train_epoch: 1038, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.5641]
train_epoch: 1039, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.6022]
train_epoch: 1040, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.6417]
train_epoch: 1041, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.6779]
train_epoch: 1042, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.7150]
train_epoch: 1043, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.7511]
train_epoch: 1044, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.7893]
train_epoch: 1045, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.8280]
train_epoch: 1046, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.8656]
train_epoch: 1047, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.9024]
train_epoch: 1048, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.9400]
train_epoch: 1049, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.9759]
train_epoch: 1050, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [37.0108]
train_epoch: 1051, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [37.0500]
train_epoch: 1052, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [37.0889]
train_epoch: 1053, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [37.1261]
train_epoch: 1054, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [37.1635]
train_epoch: 1055, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [37.2014]
