{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'i'}
train_epoch: 1001, loss: 0.0250, recall20: 0.0000 recall10: 0.0000 [10.8564]
train_epoch: 1002, loss: 0.0250, recall20: 0.0000 recall10: 0.0000 [10.8698]
train_epoch: 1003, loss: 0.0250, recall20: 0.0000 recall10: 0.0000 [10.8813]
train_epoch: 1004, loss: 0.0249, recall20: 0.0000 recall10: 0.0000 [10.8931]
train_epoch: 1005, loss: 0.0249, recall20: 0.0000 recall10: 0.0000 [10.9040]
train_epoch: 1006, loss: 0.0249, recall20: 0.0000 recall10: 0.0000 [10.9151]
train_epoch: 1007, loss: 0.0249, recall20: 0.0000 recall10: 0.0000 [10.9261]
train_epoch: 1008, loss: 0.0249, recall20: 0.0000 recall10: 0.0000 [10.9372]
train_epoch: 1009, loss: 0.0248, recall20: 0.0000 recall10: 0.0000 [10.9486]
train_epoch: 1010, loss: 0.0248, recall20: 0.0000 recall10: 0.0000 [10.9600]
train_epoch: 1011, loss: 0.0248, recall20: 0.0000 recall10: 0.0000 [10.9713]
train_epoch: 1012, loss: 0.0248, recall20: 0.0000 recall10: 0.0000 [10.9822]
train_epoch: 1013, loss: 0.0248, recall20: 0.0000 recall10: 0.0000 [10.9931]
train_epoch: 1014, loss: 0.0248, recall20: 0.0000 recall10: 0.0000 [11.0042]
train_epoch: 1015, loss: 0.0247, recall20: 0.0000 recall10: 0.0000 [11.0151]
train_epoch: 1016, loss: 0.0247, recall20: 0.0000 recall10: 0.0000 [11.0263]
train_epoch: 1017, loss: 0.0247, recall20: 0.0000 recall10: 0.0000 [11.0373]
train_epoch: 1018, loss: 0.0247, recall20: 0.0000 recall10: 0.0000 [11.0486]
train_epoch: 1019, loss: 0.0247, recall20: 0.0000 recall10: 0.0000 [11.0603]
train_epoch: 1020, loss: 0.0247, recall20: 0.0000 recall10: 0.0000 [11.0721]
train_epoch: 1021, loss: 0.0246, recall20: 0.0000 recall10: 0.0000 [11.0833]
train_epoch: 1022, loss: 0.0246, recall20: 0.0000 recall10: 0.0000 [11.0942]
train_epoch: 1023, loss: 0.0246, recall20: 0.0000 recall10: 0.0000 [11.1051]
train_epoch: 1024, loss: 0.0246, recall20: 0.0000 recall10: 0.0000 [11.1158]
train_epoch: 1025, loss: 0.0246, recall20: 0.0000 recall10: 0.0000 [11.1269]
train_epoch: 1026, loss: 0.0246, recall20: 0.0000 recall10: 0.0000 [11.1381]
train_epoch: 1027, loss: 0.0245, recall20: 0.0000 recall10: 0.0000 [11.1488]
train_epoch: 1028, loss: 0.0245, recall20: 0.0000 recall10: 0.0000 [11.1596]
train_epoch: 1029, loss: 0.0245, recall20: 0.0000 recall10: 0.0000 [11.1708]
train_epoch: 1030, loss: 0.0245, recall20: 0.0000 recall10: 0.0000 [11.1820]
train_epoch: 1031, loss: 0.0245, recall20: 0.0000 recall10: 0.0000 [11.1928]
train_epoch: 1032, loss: 0.0244, recall20: 0.0000 recall10: 0.0000 [11.2037]
train_epoch: 1033, loss: 0.0244, recall20: 0.0000 recall10: 0.0000 [11.2145]
train_epoch: 1034, loss: 0.0244, recall20: 0.0000 recall10: 0.0000 [11.2254]
train_epoch: 1035, loss: 0.0244, recall20: 0.0000 recall10: 0.0000 [11.2362]
train_epoch: 1036, loss: 0.0244, recall20: 0.0000 recall10: 0.0000 [11.2469]
train_epoch: 1037, loss: 0.0243, recall20: 0.0000 recall10: 0.0000 [11.2580]
train_epoch: 1038, loss: 0.0243, recall20: 0.0000 recall10: 0.0000 [11.2694]
train_epoch: 1039, loss: 0.0243, recall20: 0.0000 recall10: 0.0000 [11.2808]
train_epoch: 1040, loss: 0.0243, recall20: 0.0000 recall10: 0.0000 [11.2924]
train_epoch: 1041, loss: 0.0243, recall20: 0.0000 recall10: 0.0000 [11.3041]
train_epoch: 1042, loss: 0.0243, recall20: 0.0000 recall10: 0.0000 [11.3156]
train_epoch: 1043, loss: 0.0242, recall20: 0.0000 recall10: 0.0000 [11.3267]
train_epoch: 1044, loss: 0.0242, recall20: 0.0000 recall10: 0.0000 [11.3374]
train_epoch: 1045, loss: 0.0242, recall20: 0.0000 recall10: 0.0000 [11.3481]
train_epoch: 1046, loss: 0.0242, recall20: 0.0000 recall10: 0.0000 [11.3587]
train_epoch: 1047, loss: 0.0242, recall20: 0.0000 recall10: 0.0000 [11.3694]
train_epoch: 1048, loss: 0.0242, recall20: 0.0000 recall10: 0.0000 [11.3800]
train_epoch: 1049, loss: 0.0241, recall20: 0.0000 recall10: 0.0000 [11.3905]
train_epoch: 1050, loss: 0.0241, recall20: 0.0000 recall10: 0.0000 [11.4013]
train_epoch: 1051, loss: 0.0241, recall20: 0.0000 recall10: 0.0000 [11.4121]
train_epoch: 1052, loss: 0.0241, recall20: 0.0000 recall10: 0.0000 [11.4228]
train_epoch: 1053, loss: 0.0241, recall20: 0.0000 recall10: 0.0000 [11.4335]
train_epoch: 1054, loss: 0.0241, recall20: 0.0000 recall10: 0.0000 [11.4444]
train_epoch: 1055, loss: 0.0240, recall20: 0.0000 recall10: 0.0000 [11.4551]
train_epoch: 1056, loss: 0.0240, recall20: 0.0000 recall10: 0.0000 [11.4662]
train_epoch: 1057, loss: 0.0240, recall20: 0.0000 recall10: 0.0000 [11.4770]
train_epoch: 1058, loss: 0.0240, recall20: 0.0000 recall10: 0.0000 [11.4884]
train_epoch: 1059, loss: 0.0240, recall20: 0.0000 recall10: 0.0000 [11.5011]
train_epoch: 1060, loss: 0.0239, recall20: 0.0000 recall10: 0.0000 [11.5136]
train_epoch: 1061, loss: 0.0239, recall20: 0.0000 recall10: 0.0000 [11.5268]
train_epoch: 1062, loss: 0.0239, recall20: 0.0000 recall10: 0.0000 [11.5393]
train_epoch: 1063, loss: 0.0239, recall20: 0.0000 recall10: 0.0000 [11.5508]
train_epoch: 1064, loss: 0.0239, recall20: 0.0000 recall10: 0.0000 [11.5626]
train_epoch: 1065, loss: 0.0239, recall20: 0.0000 recall10: 0.0000 [11.5746]
train_epoch: 1066, loss: 0.0238, recall20: 0.0000 recall10: 0.0000 [11.5865]
train_epoch: 1067, loss: 0.0238, recall20: 0.0000 recall10: 0.0000 [11.5984]
train_epoch: 1068, loss: 0.0238, recall20: 0.0000 recall10: 0.0000 [11.6102]
train_epoch: 1069, loss: 0.0238, recall20: 0.0000 recall10: 0.0000 [11.6220]
train_epoch: 1070, loss: 0.0238, recall20: 0.0000 recall10: 0.0000 [11.6339]
train_epoch: 1071, loss: 0.0238, recall20: 0.0000 recall10: 0.0000 [11.6454]
train_epoch: 1072, loss: 0.0237, recall20: 0.0000 recall10: 0.0000 [11.6568]
train_epoch: 1073, loss: 0.0237, recall20: 0.0000 recall10: 0.0000 [11.6680]
train_epoch: 1074, loss: 0.0237, recall20: 0.0000 recall10: 0.0000 [11.6794]
train_epoch: 1075, loss: 0.0237, recall20: 0.0000 recall10: 0.0000 [11.6905]
train_epoch: 1076, loss: 0.0237, recall20: 0.0000 recall10: 0.0000 [11.7016]
train_epoch: 1077, loss: 0.0237, recall20: 0.0000 recall10: 0.0000 [11.7129]
train_epoch: 1078, loss: 0.0236, recall20: 0.0000 recall10: 0.0000 [11.7239]
train_epoch: 1079, loss: 0.0236, recall20: 0.0000 recall10: 0.0000 [11.7356]
train_epoch: 1080, loss: 0.0236, recall20: 0.0000 recall10: 0.0000 [11.7479]
train_epoch: 1081, loss: 0.0236, recall20: 0.0000 recall10: 0.0000 [11.7600]
train_epoch: 1082, loss: 0.0236, recall20: 0.0000 recall10: 0.0000 [11.7721]
train_epoch: 1083, loss: 0.0236, recall20: 0.0000 recall10: 0.0000 [11.7841]
train_epoch: 1084, loss: 0.0236, recall20: 0.0000 recall10: 0.0000 [11.7960]
train_epoch: 1085, loss: 0.0236, recall20: 0.0000 recall10: 0.0000 [11.8079]
train_epoch: 1086, loss: 0.0235, recall20: 0.0000 recall10: 0.0000 [11.8196]
train_epoch: 1087, loss: 0.0235, recall20: 0.0000 recall10: 0.0000 [11.8311]
train_epoch: 1088, loss: 0.0235, recall20: 0.0000 recall10: 0.0000 [11.8430]
train_epoch: 1089, loss: 0.0235, recall20: 0.0000 recall10: 0.0000 [11.8549]
train_epoch: 1090, loss: 0.0235, recall20: 0.0000 recall10: 0.0000 [11.8672]
train_epoch: 1091, loss: 0.0235, recall20: 0.0000 recall10: 0.0000 [11.8795]
train_epoch: 1092, loss: 0.0234, recall20: 0.0000 recall10: 0.0000 [11.8921]
train_epoch: 1093, loss: 0.0234, recall20: 0.0000 recall10: 0.0000 [11.9041]
train_epoch: 1094, loss: 0.0234, recall20: 0.0000 recall10: 0.0000 [11.9157]
train_epoch: 1095, loss: 0.0234, recall20: 0.0000 recall10: 0.0000 [11.9276]
train_epoch: 1096, loss: 0.0234, recall20: 0.0000 recall10: 0.0000 [11.9390]
train_epoch: 1097, loss: 0.0234, recall20: 0.0000 recall10: 0.0000 [11.9503]
train_epoch: 1098, loss: 0.0234, recall20: 0.0000 recall10: 0.0000 [11.9615]
train_epoch: 1099, loss: 0.0233, recall20: 0.0000 recall10: 0.0000 [11.9727]
train_epoch: 1100, loss: 0.0233, recall20: 0.0000 recall10: 0.0000 [11.9843]
train_epoch: 1101, loss: 0.0233, recall20: 0.0000 recall10: 0.0000 [11.9971]
train_epoch: 1102, loss: 0.0233, recall20: 0.0000 recall10: 0.0000 [12.0095]
train_epoch: 1103, loss: 0.0233, recall20: 0.0000 recall10: 0.0000 [12.0221]
train_epoch: 1104, loss: 0.0233, recall20: 0.0000 recall10: 0.0000 [12.0345]
train_epoch: 1105, loss: 0.0233, recall20: 0.0000 recall10: 0.0000 [12.0474]
train_epoch: 1106, loss: 0.0233, recall20: 0.0000 recall10: 0.0000 [12.0596]
train_epoch: 1107, loss: 0.0232, recall20: 0.0000 recall10: 0.0000 [12.0720]
train_epoch: 1108, loss: 0.0232, recall20: 0.0000 recall10: 0.0000 [12.0839]
train_epoch: 1109, loss: 0.0232, recall20: 0.0000 recall10: 0.0000 [12.0963]
train_epoch: 1110, loss: 0.0232, recall20: 0.0000 recall10: 0.0000 [12.1084]
train_epoch: 1111, loss: 0.0232, recall20: 0.0000 recall10: 0.0000 [12.1204]
train_epoch: 1112, loss: 0.0232, recall20: 0.0000 recall10: 0.0000 [12.1329]
train_epoch: 1113, loss: 0.0232, recall20: 0.0000 recall10: 0.0000 [12.1448]
train_epoch: 1114, loss: 0.0231, recall20: 0.0000 recall10: 0.0000 [12.1568]
train_epoch: 1115, loss: 0.0231, recall20: 0.0000 recall10: 0.0000 [12.1686]
train_epoch: 1116, loss: 0.0231, recall20: 0.0000 recall10: 0.0000 [12.1804]
train_epoch: 1117, loss: 0.0231, recall20: 0.0000 recall10: 0.0000 [12.1921]
train_epoch: 1118, loss: 0.0231, recall20: 0.0000 recall10: 0.0000 [12.2039]
train_epoch: 1119, loss: 0.0231, recall20: 0.0000 recall10: 0.0000 [12.2153]
train_epoch: 1120, loss: 0.0231, recall20: 0.0000 recall10: 0.0000 [12.2266]
train_epoch: 1121, loss: 0.0231, recall20: 0.0000 recall10: 0.0000 [12.2377]
