{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'h'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.0396]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.1038]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.1566]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.2062]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.2608]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.3071]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.3698]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.4134]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.4723]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.5230]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.5750]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.6303]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.6754]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.7365]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.7757]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.8385]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.8881]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.9402]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.9928]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.0382]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.0998]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.1359]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.1981]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.2424]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.2960]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.3500]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.3947]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.4518]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.4941]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.5558]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.6001]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.6575]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.7117]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.7604]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.8176]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.8578]
train_epoch: 1037, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.9200]
train_epoch: 1038, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.9622]
train_epoch: 1039, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.0191]
train_epoch: 1040, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.0737]
train_epoch: 1041, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.1220]
train_epoch: 1042, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.1788]
train_epoch: 1043, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.2237]
train_epoch: 1044, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.2856]
train_epoch: 1045, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.3357]
train_epoch: 1046, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.3888]
train_epoch: 1047, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.4408]
train_epoch: 1048, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.4857]
train_epoch: 1049, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.5467]
train_epoch: 1050, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.5855]
train_epoch: 1051, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.6477]
train_epoch: 1052, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.7034]
train_epoch: 1053, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.7524]
train_epoch: 1054, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.8097]
train_epoch: 1055, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.8523]
train_epoch: 1056, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.9135]
train_epoch: 1057, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.9556]
train_epoch: 1058, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.0142]
train_epoch: 1059, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.0698]
train_epoch: 1060, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.1178]
