{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.5041]
train_epoch: 1002, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.5290]
train_epoch: 1003, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.5509]
train_epoch: 1004, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.5735]
train_epoch: 1005, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.5984]
train_epoch: 1006, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.6243]
train_epoch: 1007, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.6486]
train_epoch: 1008, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.6723]
train_epoch: 1009, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.6956]
train_epoch: 1010, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.7177]
train_epoch: 1011, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.7403]
train_epoch: 1012, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.7629]
train_epoch: 1013, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.7869]
train_epoch: 1014, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.8112]
train_epoch: 1015, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.8376]
train_epoch: 1016, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.8635]
train_epoch: 1017, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.8894]
train_epoch: 1018, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.9147]
train_epoch: 1019, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.9416]
train_epoch: 1020, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.9655]
train_epoch: 1021, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [20.9915]
train_epoch: 1022, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.0150]
train_epoch: 1023, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.0379]
train_epoch: 1024, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.0616]
train_epoch: 1025, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.0856]
train_epoch: 1026, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.1095]
train_epoch: 1027, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.1337]
train_epoch: 1028, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.1591]
train_epoch: 1029, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.1826]
train_epoch: 1030, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.2060]
train_epoch: 1031, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.2287]
train_epoch: 1032, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.2501]
train_epoch: 1033, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.2719]
train_epoch: 1034, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.2943]
train_epoch: 1035, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.3171]
train_epoch: 1036, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.3455]
train_epoch: 1037, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.3676]
train_epoch: 1038, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.3879]
train_epoch: 1039, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.4079]
train_epoch: 1040, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.4277]
train_epoch: 1041, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.4482]
train_epoch: 1042, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.4713]
train_epoch: 1043, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.4918]
train_epoch: 1044, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.5122]
train_epoch: 1045, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.5323]
train_epoch: 1046, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.5518]
train_epoch: 1047, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.5705]
train_epoch: 1048, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.5902]
train_epoch: 1049, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.6093]
train_epoch: 1050, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.6286]
train_epoch: 1051, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.6493]
train_epoch: 1052, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.6705]
train_epoch: 1053, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.6903]
train_epoch: 1054, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.7102]
train_epoch: 1055, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.7322]
train_epoch: 1056, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.7543]
train_epoch: 1057, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.7757]
train_epoch: 1058, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.7967]
train_epoch: 1059, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.8164]
train_epoch: 1060, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.8369]
train_epoch: 1061, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.8575]
train_epoch: 1062, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.8802]
train_epoch: 1063, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.9010]
train_epoch: 1064, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.9238]
train_epoch: 1065, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.9457]
train_epoch: 1066, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.9694]
train_epoch: 1067, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [21.9943]
train_epoch: 1068, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.0185]
train_epoch: 1069, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.0439]
train_epoch: 1070, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.0695]
train_epoch: 1071, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.0954]
train_epoch: 1072, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.1219]
train_epoch: 1073, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.1469]
train_epoch: 1074, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.1723]
train_epoch: 1075, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.1979]
train_epoch: 1076, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.2233]
train_epoch: 1077, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.2499]
train_epoch: 1078, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.2758]
train_epoch: 1079, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.3017]
train_epoch: 1080, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.3266]
train_epoch: 1081, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.3492]
train_epoch: 1082, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.3722]
train_epoch: 1083, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.3939]
train_epoch: 1084, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.4163]
train_epoch: 1085, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.4392]
train_epoch: 1086, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.4626]
train_epoch: 1087, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.4849]
train_epoch: 1088, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.5080]
train_epoch: 1089, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.5323]
train_epoch: 1090, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.5570]
train_epoch: 1091, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.5815]
train_epoch: 1092, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.6059]
train_epoch: 1093, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.6293]
train_epoch: 1094, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.6523]
train_epoch: 1095, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.6740]
train_epoch: 1096, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.6949]
train_epoch: 1097, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.7173]
train_epoch: 1098, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.7414]
train_epoch: 1099, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.7665]
train_epoch: 1100, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.7898]
train_epoch: 1101, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.8137]
train_epoch: 1102, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.8388]
train_epoch: 1103, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [22.8652]
train_epoch: 1104, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [22.8898]
train_epoch: 1105, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [22.9156]
train_epoch: 1106, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [22.9394]
train_epoch: 1107, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [22.9632]
train_epoch: 1108, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [22.9875]
train_epoch: 1109, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.0121]
train_epoch: 1110, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.0372]
train_epoch: 1111, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.0623]
train_epoch: 1112, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.0870]
train_epoch: 1113, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.1108]
train_epoch: 1114, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.1353]
train_epoch: 1115, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.1573]
train_epoch: 1116, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.1782]
train_epoch: 1117, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.2014]
train_epoch: 1118, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.2249]
train_epoch: 1119, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.2482]
train_epoch: 1120, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.2716]
train_epoch: 1121, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.2956]
train_epoch: 1122, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.3196]
train_epoch: 1123, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.3423]
train_epoch: 1124, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.3661]
train_epoch: 1125, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.3906]
train_epoch: 1126, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.4157]
train_epoch: 1127, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.4426]
train_epoch: 1128, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [23.4686]
train_epoch: 1129, loss: 0.0001, recall20: 0.0276 recall10: 0.0120 [23.8973]
