{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.6145]
train_epoch: 1002, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.6343]
train_epoch: 1003, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.6467]
train_epoch: 1004, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.6600]
train_epoch: 1005, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.6706]
train_epoch: 1006, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.6820]
train_epoch: 1007, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.6946]
train_epoch: 1008, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.7088]
train_epoch: 1009, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.7205]
train_epoch: 1010, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.7320]
train_epoch: 1011, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.7424]
train_epoch: 1012, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.7523]
train_epoch: 1013, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.7652]
train_epoch: 1014, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.7764]
train_epoch: 1015, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.7884]
train_epoch: 1016, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.8006]
train_epoch: 1017, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.8111]
train_epoch: 1018, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.8227]
train_epoch: 1019, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.8336]
train_epoch: 1020, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.8447]
train_epoch: 1021, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.8562]
train_epoch: 1022, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.8672]
train_epoch: 1023, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.8798]
train_epoch: 1024, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.8920]
train_epoch: 1025, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.9028]
train_epoch: 1026, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.9137]
train_epoch: 1027, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.9254]
train_epoch: 1028, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.9371]
train_epoch: 1029, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.9474]
train_epoch: 1030, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.9583]
train_epoch: 1031, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.9694]
train_epoch: 1032, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.9797]
train_epoch: 1033, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.9897]
train_epoch: 1034, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.9996]
train_epoch: 1035, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.0105]
train_epoch: 1036, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.0206]
train_epoch: 1037, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.0318]
train_epoch: 1038, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.0427]
train_epoch: 1039, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.0530]
train_epoch: 1040, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.0628]
train_epoch: 1041, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.0743]
train_epoch: 1042, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.0872]
train_epoch: 1043, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.0975]
train_epoch: 1044, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.1093]
train_epoch: 1045, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.1181]
train_epoch: 1046, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.1269]
train_epoch: 1047, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.1355]
train_epoch: 1048, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.1444]
train_epoch: 1049, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.1529]
train_epoch: 1050, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.1609]
train_epoch: 1051, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.1697]
train_epoch: 1052, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.1785]
train_epoch: 1053, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.1875]
train_epoch: 1054, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.1963]
train_epoch: 1055, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.2060]
train_epoch: 1056, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [9.2159]
train_epoch: 1057, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.2275]
train_epoch: 1058, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.2385]
train_epoch: 1059, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.2492]
train_epoch: 1060, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.2597]
train_epoch: 1061, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.2702]
train_epoch: 1062, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.2812]
train_epoch: 1063, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.2916]
train_epoch: 1064, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.3018]
train_epoch: 1065, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.3262]
train_epoch: 1066, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.3385]
train_epoch: 1067, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.3491]
train_epoch: 1068, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.3595]
train_epoch: 1069, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.3701]
train_epoch: 1070, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.3818]
train_epoch: 1071, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.3933]
train_epoch: 1072, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.4066]
train_epoch: 1073, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.4170]
train_epoch: 1074, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.4276]
train_epoch: 1075, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.4380]
train_epoch: 1076, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.4494]
train_epoch: 1077, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [9.4603]
train_epoch: 1078, loss: 0.3703, recall20: 0.1398 recall10: 0.0779 [9.5174]
