{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [7.4714]
train_epoch: 1002, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [7.4856]
train_epoch: 1003, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [7.4949]
train_epoch: 1004, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [7.5035]
train_epoch: 1005, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [7.5130]
train_epoch: 1006, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [7.5233]
train_epoch: 1007, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [7.5318]
train_epoch: 1008, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [7.5412]
train_epoch: 1009, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [7.5518]
train_epoch: 1010, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [7.5611]
train_epoch: 1011, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [7.5705]
train_epoch: 1012, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [7.5797]
train_epoch: 1013, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [7.5891]
train_epoch: 1014, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [7.5983]
train_epoch: 1015, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [7.6071]
train_epoch: 1016, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.6165]
train_epoch: 1017, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.6270]
train_epoch: 1018, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.6360]
train_epoch: 1019, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.6447]
train_epoch: 1020, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.6539]
train_epoch: 1021, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.6640]
train_epoch: 1022, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.6728]
train_epoch: 1023, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.6818]
train_epoch: 1024, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.6919]
train_epoch: 1025, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.7018]
train_epoch: 1026, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.7106]
train_epoch: 1027, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.7194]
train_epoch: 1028, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.7291]
train_epoch: 1029, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.7384]
train_epoch: 1030, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.7473]
train_epoch: 1031, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.7568]
train_epoch: 1032, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.7671]
train_epoch: 1033, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.7759]
train_epoch: 1034, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.7847]
train_epoch: 1035, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.7947]
train_epoch: 1036, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.8039]
train_epoch: 1037, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.8135]
train_epoch: 1038, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.8233]
train_epoch: 1039, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.8329]
train_epoch: 1040, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.8424]
train_epoch: 1041, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.8516]
train_epoch: 1042, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.8611]
train_epoch: 1043, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.8708]
train_epoch: 1044, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.8800]
train_epoch: 1045, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.8892]
train_epoch: 1046, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.8990]
train_epoch: 1047, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.9083]
train_epoch: 1048, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.9175]
train_epoch: 1049, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.9265]
train_epoch: 1050, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.9357]
train_epoch: 1051, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.9459]
train_epoch: 1052, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [7.9549]
train_epoch: 1053, loss: 0.3701, recall20: 0.1405 recall10: 0.0781 [7.9951]
