{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'i'}
train_epoch: 1001, loss: 0.4666, recall20: 0.0000 recall10: 0.0000 [25.5493]
train_epoch: 1002, loss: 0.4666, recall20: 0.0000 recall10: 0.0000 [25.5658]
train_epoch: 1003, loss: 0.4665, recall20: 0.0000 recall10: 0.0000 [25.5785]
train_epoch: 1004, loss: 0.4665, recall20: 0.0000 recall10: 0.0000 [25.5912]
train_epoch: 1005, loss: 0.4665, recall20: 0.0000 recall10: 0.0000 [25.6039]
train_epoch: 1006, loss: 0.4664, recall20: 0.0000 recall10: 0.0000 [25.6162]
train_epoch: 1007, loss: 0.4664, recall20: 0.0000 recall10: 0.0000 [25.6283]
train_epoch: 1008, loss: 0.4663, recall20: 0.0000 recall10: 0.0000 [25.6406]
train_epoch: 1009, loss: 0.4663, recall20: 0.0000 recall10: 0.0000 [25.6532]
train_epoch: 1010, loss: 0.4662, recall20: 0.0000 recall10: 0.0000 [25.6656]
train_epoch: 1011, loss: 0.4662, recall20: 0.0000 recall10: 0.0000 [25.6784]
train_epoch: 1012, loss: 0.4662, recall20: 0.0000 recall10: 0.0000 [25.6900]
train_epoch: 1013, loss: 0.4661, recall20: 0.0000 recall10: 0.0000 [25.7022]
train_epoch: 1014, loss: 0.4661, recall20: 0.0000 recall10: 0.0000 [25.7141]
train_epoch: 1015, loss: 0.4661, recall20: 0.0000 recall10: 0.0000 [25.7264]
train_epoch: 1016, loss: 0.4660, recall20: 0.0000 recall10: 0.0000 [25.7386]
train_epoch: 1017, loss: 0.4660, recall20: 0.0000 recall10: 0.0000 [25.7512]
train_epoch: 1018, loss: 0.4659, recall20: 0.0000 recall10: 0.0000 [25.7633]
train_epoch: 1019, loss: 0.4659, recall20: 0.0000 recall10: 0.0000 [25.7755]
train_epoch: 1020, loss: 0.4659, recall20: 0.0000 recall10: 0.0000 [25.7877]
train_epoch: 1021, loss: 0.4658, recall20: 0.0000 recall10: 0.0000 [25.8002]
train_epoch: 1022, loss: 0.4658, recall20: 0.0000 recall10: 0.0000 [25.8118]
train_epoch: 1023, loss: 0.4657, recall20: 0.0000 recall10: 0.0000 [25.8232]
train_epoch: 1024, loss: 0.4657, recall20: 0.0000 recall10: 0.0000 [25.8355]
train_epoch: 1025, loss: 0.4656, recall20: 0.0000 recall10: 0.0000 [25.8477]
train_epoch: 1026, loss: 0.4656, recall20: 0.0000 recall10: 0.0000 [25.8598]
train_epoch: 1027, loss: 0.4655, recall20: 0.0000 recall10: 0.0000 [25.8723]
train_epoch: 1028, loss: 0.4655, recall20: 0.0000 recall10: 0.0000 [25.8874]
train_epoch: 1029, loss: 0.4654, recall20: 0.0000 recall10: 0.0000 [25.8991]
train_epoch: 1030, loss: 0.4654, recall20: 0.0000 recall10: 0.0000 [25.9113]
train_epoch: 1031, loss: 0.4654, recall20: 0.0000 recall10: 0.0000 [25.9227]
train_epoch: 1032, loss: 0.4653, recall20: 0.0000 recall10: 0.0000 [25.9341]
train_epoch: 1033, loss: 0.4653, recall20: 0.0000 recall10: 0.0000 [25.9453]
train_epoch: 1034, loss: 0.4652, recall20: 0.0000 recall10: 0.0000 [25.9566]
train_epoch: 1035, loss: 0.4652, recall20: 0.0000 recall10: 0.0000 [25.9674]
