{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'i'}
train_epoch: 1001, loss: 0.2694, recall20: 0.0000 recall10: 0.0000 [43.5460]
train_epoch: 1002, loss: 0.2694, recall20: 0.0000 recall10: 0.0000 [43.5957]
train_epoch: 1003, loss: 0.2694, recall20: 0.0000 recall10: 0.0000 [43.6428]
train_epoch: 1004, loss: 0.2694, recall20: 0.0000 recall10: 0.0000 [43.6891]
train_epoch: 1005, loss: 0.2694, recall20: 0.0000 recall10: 0.0000 [43.7352]
train_epoch: 1006, loss: 0.2694, recall20: 0.0000 recall10: 0.0000 [43.7789]
train_epoch: 1007, loss: 0.2694, recall20: 0.0000 recall10: 0.0000 [43.8225]
train_epoch: 1008, loss: 0.2694, recall20: 0.0000 recall10: 0.0000 [43.8700]
train_epoch: 1009, loss: 0.2694, recall20: 0.0000 recall10: 0.0000 [43.9135]
train_epoch: 1010, loss: 0.2694, recall20: 0.0000 recall10: 0.0000 [43.9583]
train_epoch: 1011, loss: 0.2693, recall20: 0.0000 recall10: 0.0000 [44.0049]
train_epoch: 1012, loss: 0.2693, recall20: 0.0000 recall10: 0.0000 [44.0489]
train_epoch: 1013, loss: 0.2693, recall20: 0.0000 recall10: 0.0000 [44.0964]
train_epoch: 1014, loss: 0.2693, recall20: 0.0000 recall10: 0.0000 [44.1424]
train_epoch: 1015, loss: 0.2693, recall20: 0.0000 recall10: 0.0000 [44.1835]
train_epoch: 1016, loss: 0.2693, recall20: 0.0000 recall10: 0.0000 [44.2256]
train_epoch: 1017, loss: 0.2693, recall20: 0.0000 recall10: 0.0000 [44.2714]
train_epoch: 1018, loss: 0.2693, recall20: 0.0000 recall10: 0.0000 [44.3184]
train_epoch: 1019, loss: 0.2693, recall20: 0.0000 recall10: 0.0000 [44.3638]
train_epoch: 1020, loss: 0.2692, recall20: 0.0000 recall10: 0.0000 [44.4101]
train_epoch: 1021, loss: 0.2692, recall20: 0.0000 recall10: 0.0000 [44.4540]
train_epoch: 1022, loss: 0.2692, recall20: 0.0000 recall10: 0.0000 [44.4967]
train_epoch: 1023, loss: 0.2692, recall20: 0.0000 recall10: 0.0000 [44.5437]
train_epoch: 1024, loss: 0.2692, recall20: 0.0000 recall10: 0.0000 [44.5861]
train_epoch: 1025, loss: 0.2692, recall20: 0.0000 recall10: 0.0000 [44.6310]
train_epoch: 1026, loss: 0.2692, recall20: 0.0000 recall10: 0.0000 [44.6748]
train_epoch: 1027, loss: 0.2692, recall20: 0.0000 recall10: 0.0000 [44.7226]
train_epoch: 1028, loss: 0.2692, recall20: 0.0000 recall10: 0.0000 [44.7693]
train_epoch: 1029, loss: 0.2691, recall20: 0.0000 recall10: 0.0000 [44.8096]
train_epoch: 1030, loss: 0.2691, recall20: 0.0000 recall10: 0.0000 [44.8554]
train_epoch: 1031, loss: 0.2691, recall20: 0.0000 recall10: 0.0000 [44.8995]
train_epoch: 1032, loss: 0.2691, recall20: 0.0000 recall10: 0.0000 [44.9477]
train_epoch: 1033, loss: 0.2691, recall20: 0.0000 recall10: 0.0000 [44.9957]
train_epoch: 1034, loss: 0.2691, recall20: 0.0000 recall10: 0.0000 [45.0331]
train_epoch: 1035, loss: 0.2691, recall20: 0.0000 recall10: 0.0000 [45.0800]
train_epoch: 1036, loss: 0.2691, recall20: 0.0000 recall10: 0.0000 [45.1265]
train_epoch: 1037, loss: 0.2691, recall20: 0.0000 recall10: 0.0000 [45.1703]
train_epoch: 1038, loss: 0.2691, recall20: 0.0000 recall10: 0.0000 [45.2167]
train_epoch: 1039, loss: 0.2690, recall20: 0.0000 recall10: 0.0000 [45.2655]
train_epoch: 1040, loss: 0.2690, recall20: 0.0000 recall10: 0.0000 [45.3123]
train_epoch: 1041, loss: 0.2690, recall20: 0.0000 recall10: 0.0000 [45.3581]
train_epoch: 1042, loss: 0.2690, recall20: 0.0000 recall10: 0.0000 [45.4045]
train_epoch: 1043, loss: 0.2690, recall20: 0.0000 recall10: 0.0000 [45.4485]
train_epoch: 1044, loss: 0.2690, recall20: 0.0000 recall10: 0.0000 [45.4937]
train_epoch: 1045, loss: 0.2690, recall20: 0.0000 recall10: 0.0000 [45.5437]
train_epoch: 1046, loss: 0.2690, recall20: 0.0000 recall10: 0.0000 [45.5912]
train_epoch: 1047, loss: 0.2690, recall20: 0.0000 recall10: 0.0000 [45.6371]
train_epoch: 1048, loss: 0.2690, recall20: 0.0000 recall10: 0.0000 [45.6829]
train_epoch: 1049, loss: 0.2689, recall20: 0.0000 recall10: 0.0000 [45.7240]
train_epoch: 1050, loss: 0.2689, recall20: 0.0000 recall10: 0.0000 [45.7698]
train_epoch: 1051, loss: 0.2689, recall20: 0.0000 recall10: 0.0000 [45.8170]
train_epoch: 1052, loss: 0.2689, recall20: 0.0000 recall10: 0.0000 [45.8650]
train_epoch: 1053, loss: 0.2689, recall20: 0.0000 recall10: 0.0000 [45.9095]
train_epoch: 1054, loss: 0.2689, recall20: 0.0000 recall10: 0.0000 [45.9533]
train_epoch: 1055, loss: 0.2689, recall20: 0.0000 recall10: 0.0000 [45.9973]
train_epoch: 1056, loss: 0.2689, recall20: 0.0000 recall10: 0.0000 [46.0454]
train_epoch: 1057, loss: 0.2689, recall20: 0.0000 recall10: 0.0000 [46.0915]
train_epoch: 1058, loss: 0.2689, recall20: 0.0000 recall10: 0.0000 [46.1354]
train_epoch: 1059, loss: 0.2688, recall20: 0.0000 recall10: 0.0000 [46.1772]
train_epoch: 1060, loss: 0.2688, recall20: 0.0000 recall10: 0.0000 [46.2240]
train_epoch: 1061, loss: 0.2688, recall20: 0.0000 recall10: 0.0000 [46.2712]
train_epoch: 1062, loss: 0.2688, recall20: 0.0000 recall10: 0.0000 [46.3147]
train_epoch: 1063, loss: 0.2688, recall20: 0.0000 recall10: 0.0000 [46.3604]
train_epoch: 1064, loss: 0.2688, recall20: 0.0000 recall10: 0.0000 [46.4015]
train_epoch: 1065, loss: 0.2688, recall20: 0.0000 recall10: 0.0000 [46.4492]
train_epoch: 1066, loss: 0.2688, recall20: 0.0000 recall10: 0.0000 [46.4975]
train_epoch: 1067, loss: 0.2688, recall20: 0.0000 recall10: 0.0000 [46.5396]
train_epoch: 1068, loss: 0.2688, recall20: 0.0000 recall10: 0.0000 [46.5831]
train_epoch: 1069, loss: 0.2687, recall20: 0.0000 recall10: 0.0000 [46.6275]
train_epoch: 1070, loss: 0.2687, recall20: 0.0000 recall10: 0.0000 [46.6761]
train_epoch: 1071, loss: 0.2687, recall20: 0.0000 recall10: 0.0000 [46.7215]
train_epoch: 1072, loss: 0.2687, recall20: 0.0000 recall10: 0.0000 [46.7680]
train_epoch: 1073, loss: 0.2687, recall20: 0.0000 recall10: 0.0000 [46.8131]
train_epoch: 1074, loss: 0.2687, recall20: 0.0000 recall10: 0.0000 [46.8554]
train_epoch: 1075, loss: 0.2687, recall20: 0.0000 recall10: 0.0000 [46.9026]
train_epoch: 1076, loss: 0.2687, recall20: 0.0000 recall10: 0.0000 [46.9513]
train_epoch: 1077, loss: 0.2687, recall20: 0.0000 recall10: 0.0000 [46.9969]
train_epoch: 1078, loss: 0.2687, recall20: 0.0000 recall10: 0.0000 [47.0422]
train_epoch: 1079, loss: 0.2686, recall20: 0.0000 recall10: 0.0000 [47.0860]
train_epoch: 1080, loss: 0.2686, recall20: 0.0000 recall10: 0.0000 [47.1329]
train_epoch: 1081, loss: 0.2686, recall20: 0.0000 recall10: 0.0000 [47.1803]
train_epoch: 1082, loss: 0.2686, recall20: 0.0000 recall10: 0.0000 [47.2238]
train_epoch: 1083, loss: 0.2686, recall20: 0.0000 recall10: 0.0000 [47.2626]
train_epoch: 1084, loss: 0.2686, recall20: 0.0000 recall10: 0.0000 [47.3092]
train_epoch: 1085, loss: 0.2686, recall20: 0.0000 recall10: 0.0000 [47.3479]
train_epoch: 1086, loss: 0.2686, recall20: 0.0000 recall10: 0.0000 [47.3943]
train_epoch: 1087, loss: 0.2686, recall20: 0.0000 recall10: 0.0000 [47.4314]
train_epoch: 1088, loss: 0.2686, recall20: 0.0000 recall10: 0.0000 [47.4769]
train_epoch: 1089, loss: 0.2685, recall20: 0.0000 recall10: 0.0000 [47.5239]
train_epoch: 1090, loss: 0.2685, recall20: 0.0000 recall10: 0.0000 [47.5710]
train_epoch: 1091, loss: 0.2685, recall20: 0.0000 recall10: 0.0000 [47.6146]
train_epoch: 1092, loss: 0.2685, recall20: 0.0000 recall10: 0.0000 [47.6610]
train_epoch: 1093, loss: 0.2685, recall20: 0.0000 recall10: 0.0000 [47.7040]
train_epoch: 1094, loss: 0.2685, recall20: 0.0000 recall10: 0.0000 [47.7510]
train_epoch: 1095, loss: 0.2685, recall20: 0.0000 recall10: 0.0000 [47.7955]
train_epoch: 1096, loss: 0.2685, recall20: 0.0000 recall10: 0.0000 [47.8423]
train_epoch: 1097, loss: 0.2685, recall20: 0.0000 recall10: 0.0000 [47.8877]
train_epoch: 1098, loss: 0.2685, recall20: 0.0000 recall10: 0.0000 [47.9303]
train_epoch: 1099, loss: 0.2685, recall20: 0.0000 recall10: 0.0000 [47.9765]
train_epoch: 1100, loss: 0.2684, recall20: 0.0000 recall10: 0.0000 [48.0242]
train_epoch: 1101, loss: 0.2684, recall20: 0.0000 recall10: 0.0000 [48.0671]
train_epoch: 1102, loss: 0.2684, recall20: 0.0000 recall10: 0.0000 [48.1134]
train_epoch: 1103, loss: 0.2684, recall20: 0.0000 recall10: 0.0000 [48.1601]
train_epoch: 1104, loss: 0.2684, recall20: 0.0000 recall10: 0.0000 [48.2019]
train_epoch: 1105, loss: 0.2684, recall20: 0.0000 recall10: 0.0000 [48.2480]
train_epoch: 1106, loss: 0.2684, recall20: 0.0000 recall10: 0.0000 [48.2925]
train_epoch: 1107, loss: 0.2684, recall20: 0.0000 recall10: 0.0000 [48.3355]
train_epoch: 1108, loss: 0.2684, recall20: 0.0000 recall10: 0.0000 [48.3785]
train_epoch: 1109, loss: 0.2684, recall20: 0.0000 recall10: 0.0000 [48.4252]
train_epoch: 1110, loss: 0.2684, recall20: 0.0000 recall10: 0.0000 [48.4717]
train_epoch: 1111, loss: 0.2683, recall20: 0.0000 recall10: 0.0000 [48.5186]
train_epoch: 1112, loss: 0.2683, recall20: 0.0000 recall10: 0.0000 [48.5651]
train_epoch: 1113, loss: 0.2683, recall20: 0.0000 recall10: 0.0000 [48.6064]
train_epoch: 1114, loss: 0.2683, recall20: 0.0000 recall10: 0.0000 [48.6532]
train_epoch: 1115, loss: 0.2683, recall20: 0.0000 recall10: 0.0000 [48.6956]
train_epoch: 1116, loss: 0.2683, recall20: 0.0000 recall10: 0.0000 [48.7405]
train_epoch: 1117, loss: 0.2683, recall20: 0.0000 recall10: 0.0000 [48.7820]
train_epoch: 1118, loss: 0.2683, recall20: 0.0000 recall10: 0.0000 [48.8284]
train_epoch: 1119, loss: 0.2683, recall20: 0.0000 recall10: 0.0000 [48.8690]
train_epoch: 1120, loss: 0.2683, recall20: 0.0000 recall10: 0.0000 [48.9138]
train_epoch: 1121, loss: 0.2683, recall20: 0.0000 recall10: 0.0000 [48.9566]
train_epoch: 1122, loss: 0.2682, recall20: 0.0000 recall10: 0.0000 [49.0042]
train_epoch: 1123, loss: 0.2682, recall20: 0.0000 recall10: 0.0000 [49.0523]
train_epoch: 1124, loss: 0.2682, recall20: 0.0000 recall10: 0.0000 [49.0955]
train_epoch: 1125, loss: 0.2682, recall20: 0.0000 recall10: 0.0000 [49.1400]
train_epoch: 1126, loss: 0.2682, recall20: 0.0000 recall10: 0.0000 [49.1826]
train_epoch: 1127, loss: 0.2682, recall20: 0.0000 recall10: 0.0000 [49.2286]
train_epoch: 1128, loss: 0.2682, recall20: 0.0000 recall10: 0.0000 [49.2715]
train_epoch: 1129, loss: 0.2682, recall20: 0.0000 recall10: 0.0000 [49.3164]
train_epoch: 1130, loss: 0.2682, recall20: 0.0000 recall10: 0.0000 [49.3590]
train_epoch: 1131, loss: 0.2682, recall20: 0.0000 recall10: 0.0000 [49.4049]
train_epoch: 1132, loss: 0.2682, recall20: 0.0000 recall10: 0.0000 [49.4475]
train_epoch: 1133, loss: 0.2681, recall20: 0.0000 recall10: 0.0000 [49.4900]
train_epoch: 1134, loss: 0.2681, recall20: 0.0000 recall10: 0.0000 [49.5340]
train_epoch: 1135, loss: 0.2681, recall20: 0.0000 recall10: 0.0000 [49.5802]
train_epoch: 1136, loss: 0.2681, recall20: 0.0000 recall10: 0.0000 [49.6247]
train_epoch: 1137, loss: 0.2681, recall20: 0.0000 recall10: 0.0000 [49.6705]
train_epoch: 1138, loss: 0.2681, recall20: 0.0000 recall10: 0.0000 [49.7100]
train_epoch: 1139, loss: 0.2681, recall20: 0.0000 recall10: 0.0000 [49.7560]
train_epoch: 1140, loss: 0.2681, recall20: 0.0000 recall10: 0.0000 [49.8044]
train_epoch: 1141, loss: 0.2681, recall20: 0.0000 recall10: 0.0000 [49.8530]
train_epoch: 1142, loss: 0.2681, recall20: 0.0000 recall10: 0.0000 [49.8991]
train_epoch: 1143, loss: 0.2681, recall20: 0.0000 recall10: 0.0000 [49.9432]
train_epoch: 1144, loss: 0.2680, recall20: 0.0000 recall10: 0.0000 [49.9859]
train_epoch: 1145, loss: 0.2680, recall20: 0.0000 recall10: 0.0000 [50.0331]
train_epoch: 1146, loss: 0.2680, recall20: 0.0000 recall10: 0.0000 [50.0746]
train_epoch: 1147, loss: 0.2680, recall20: 0.0000 recall10: 0.0000 [50.1194]
train_epoch: 1148, loss: 0.2680, recall20: 0.0000 recall10: 0.0000 [50.1637]
train_epoch: 1149, loss: 0.2680, recall20: 0.0000 recall10: 0.0000 [50.2092]
train_epoch: 1150, loss: 0.2680, recall20: 0.0000 recall10: 0.0000 [50.2564]
train_epoch: 1151, loss: 0.2680, recall20: 0.0000 recall10: 0.0000 [50.3005]
train_epoch: 1152, loss: 0.2680, recall20: 0.0000 recall10: 0.0000 [50.3470]
train_epoch: 1153, loss: 0.2680, recall20: 0.0000 recall10: 0.0000 [50.3928]
train_epoch: 1154, loss: 0.2680, recall20: 0.0000 recall10: 0.0000 [50.4366]
train_epoch: 1155, loss: 0.2679, recall20: 0.0000 recall10: 0.0000 [50.4798]
train_epoch: 1156, loss: 0.2679, recall20: 0.0000 recall10: 0.0000 [50.5262]
train_epoch: 1157, loss: 0.2679, recall20: 0.0000 recall10: 0.0000 [50.5701]
train_epoch: 1158, loss: 0.2679, recall20: 0.0000 recall10: 0.0000 [50.6149]
train_epoch: 1159, loss: 0.2679, recall20: 0.0000 recall10: 0.0000 [50.6530]
train_epoch: 1160, loss: 0.2679, recall20: 0.0000 recall10: 0.0000 [50.7002]
train_epoch: 1161, loss: 0.2679, recall20: 0.0000 recall10: 0.0000 [50.7467]
train_epoch: 1162, loss: 0.2679, recall20: 0.0000 recall10: 0.0000 [50.7879]
train_epoch: 1163, loss: 0.2679, recall20: 0.0000 recall10: 0.0000 [50.8294]
train_epoch: 1164, loss: 0.2679, recall20: 0.0000 recall10: 0.0000 [50.8766]
train_epoch: 1165, loss: 0.2679, recall20: 0.0000 recall10: 0.0000 [50.9243]
train_epoch: 1166, loss: 0.2678, recall20: 0.0000 recall10: 0.0000 [50.9699]
train_epoch: 1167, loss: 0.2678, recall20: 0.0000 recall10: 0.0000 [51.0153]
train_epoch: 1168, loss: 0.2678, recall20: 0.0000 recall10: 0.0000 [51.0592]
train_epoch: 1169, loss: 0.2678, recall20: 0.0000 recall10: 0.0000 [51.1002]
train_epoch: 1170, loss: 0.2678, recall20: 0.0000 recall10: 0.0000 [51.1473]
train_epoch: 1171, loss: 0.2678, recall20: 0.0000 recall10: 0.0000 [51.1938]
train_epoch: 1172, loss: 0.2678, recall20: 0.0000 recall10: 0.0000 [51.2351]
train_epoch: 1173, loss: 0.2678, recall20: 0.0000 recall10: 0.0000 [51.2737]
train_epoch: 1174, loss: 0.2678, recall20: 0.0000 recall10: 0.0000 [51.3201]
train_epoch: 1175, loss: 0.2678, recall20: 0.0000 recall10: 0.0000 [51.3602]
train_epoch: 1176, loss: 0.2678, recall20: 0.1427 recall10: 0.0839 [51.5405]
