{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'i'}
train_epoch: 1001, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [15.7165]
train_epoch: 1002, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [15.7370]
train_epoch: 1003, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [15.7542]
train_epoch: 1004, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [15.7706]
train_epoch: 1005, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [15.7873]
train_epoch: 1006, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [15.8047]
train_epoch: 1007, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [15.8242]
train_epoch: 1008, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [15.8407]
train_epoch: 1009, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [15.8579]
train_epoch: 1010, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [15.8744]
train_epoch: 1011, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [15.8907]
train_epoch: 1012, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [15.9068]
train_epoch: 1013, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [15.9229]
train_epoch: 1014, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [15.9388]
train_epoch: 1015, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [15.9579]
train_epoch: 1016, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [15.9744]
train_epoch: 1017, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [15.9920]
train_epoch: 1018, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [16.0092]
train_epoch: 1019, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [16.0259]
train_epoch: 1020, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [16.0425]
train_epoch: 1021, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [16.0596]
train_epoch: 1022, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [16.0777]
train_epoch: 1023, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [16.0956]
train_epoch: 1024, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [16.1128]
train_epoch: 1025, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [16.1303]
train_epoch: 1026, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [16.1472]
train_epoch: 1027, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [16.1645]
train_epoch: 1028, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [16.1815]
train_epoch: 1029, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [16.1984]
train_epoch: 1030, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [16.2149]
train_epoch: 1031, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.2320]
train_epoch: 1032, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.2495]
train_epoch: 1033, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.2668]
train_epoch: 1034, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.2840]
train_epoch: 1035, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.3019]
train_epoch: 1036, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.3197]
train_epoch: 1037, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.3378]
train_epoch: 1038, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.3565]
train_epoch: 1039, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.3748]
train_epoch: 1040, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.3929]
train_epoch: 1041, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.4110]
train_epoch: 1042, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.4286]
train_epoch: 1043, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.4461]
train_epoch: 1044, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.4633]
train_epoch: 1045, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.4803]
train_epoch: 1046, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.4982]
train_epoch: 1047, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.5156]
train_epoch: 1048, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.5344]
train_epoch: 1049, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.5525]
train_epoch: 1050, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.5701]
train_epoch: 1051, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.5886]
train_epoch: 1052, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.6069]
train_epoch: 1053, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.6249]
train_epoch: 1054, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.6442]
train_epoch: 1055, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.6629]
train_epoch: 1056, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.6818]
train_epoch: 1057, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.7007]
train_epoch: 1058, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.7194]
train_epoch: 1059, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.7376]
train_epoch: 1060, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.7570]
train_epoch: 1061, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.7757]
train_epoch: 1062, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.7950]
train_epoch: 1063, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.8133]
train_epoch: 1064, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.8323]
train_epoch: 1065, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.8504]
train_epoch: 1066, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.8679]
train_epoch: 1067, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.8865]
train_epoch: 1068, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.9039]
train_epoch: 1069, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.9211]
train_epoch: 1070, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.9384]
train_epoch: 1071, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.9552]
train_epoch: 1072, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.9732]
train_epoch: 1073, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [16.9909]
train_epoch: 1074, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.0080]
train_epoch: 1075, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.0251]
train_epoch: 1076, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.0425]
train_epoch: 1077, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.0608]
train_epoch: 1078, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.0790]
train_epoch: 1079, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.0970]
train_epoch: 1080, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.1137]
train_epoch: 1081, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.1300]
train_epoch: 1082, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.1462]
train_epoch: 1083, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.1632]
train_epoch: 1084, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.1803]
train_epoch: 1085, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.1972]
train_epoch: 1086, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.2142]
train_epoch: 1087, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.2314]
train_epoch: 1088, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.2491]
train_epoch: 1089, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.2669]
train_epoch: 1090, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.2849]
train_epoch: 1091, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.3029]
train_epoch: 1092, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.3213]
train_epoch: 1093, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.3393]
train_epoch: 1094, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.3579]
train_epoch: 1095, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.3764]
train_epoch: 1096, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.3942]
train_epoch: 1097, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.4115]
train_epoch: 1098, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.4289]
train_epoch: 1099, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.4493]
train_epoch: 1100, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.4662]
train_epoch: 1101, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.4821]
train_epoch: 1102, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.4991]
train_epoch: 1103, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.5154]
train_epoch: 1104, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.5317]
train_epoch: 1105, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.5488]
train_epoch: 1106, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.5654]
train_epoch: 1107, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.5831]
train_epoch: 1108, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.5999]
train_epoch: 1109, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.6164]
train_epoch: 1110, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.6336]
train_epoch: 1111, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.6508]
train_epoch: 1112, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.6680]
train_epoch: 1113, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.6851]
train_epoch: 1114, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.7018]
train_epoch: 1115, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.7184]
train_epoch: 1116, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [17.7350]
