{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'h'}
train_epoch: 1001, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.5031]
train_epoch: 1002, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.5205]
train_epoch: 1003, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.5305]
train_epoch: 1004, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.5394]
train_epoch: 1005, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.5492]
train_epoch: 1006, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.5577]
train_epoch: 1007, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.5657]
train_epoch: 1008, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.5731]
train_epoch: 1009, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.5816]
train_epoch: 1010, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.5899]
train_epoch: 1011, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.5969]
train_epoch: 1012, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.6049]
train_epoch: 1013, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.6132]
train_epoch: 1014, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.6204]
train_epoch: 1015, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.6287]
train_epoch: 1016, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.6371]
train_epoch: 1017, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.6447]
train_epoch: 1018, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.6529]
train_epoch: 1019, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.6611]
train_epoch: 1020, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.6686]
train_epoch: 1021, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.6767]
train_epoch: 1022, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.6850]
train_epoch: 1023, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.6923]
train_epoch: 1024, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.6999]
train_epoch: 1025, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.7080]
train_epoch: 1026, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.7154]
train_epoch: 1027, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [7.7231]
train_epoch: 1028, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.7309]
train_epoch: 1029, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.7386]
train_epoch: 1030, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.7462]
train_epoch: 1031, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.7538]
train_epoch: 1032, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.7620]
train_epoch: 1033, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.7697]
train_epoch: 1034, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.7771]
train_epoch: 1035, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.7854]
train_epoch: 1036, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.7937]
train_epoch: 1037, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.8007]
train_epoch: 1038, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.8088]
train_epoch: 1039, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.8172]
train_epoch: 1040, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.8244]
train_epoch: 1041, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.8325]
train_epoch: 1042, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.8412]
train_epoch: 1043, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.8486]
train_epoch: 1044, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.8569]
train_epoch: 1045, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.8655]
train_epoch: 1046, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.8734]
train_epoch: 1047, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.8824]
train_epoch: 1048, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.8939]
train_epoch: 1049, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.9028]
train_epoch: 1050, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.9106]
train_epoch: 1051, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.9195]
train_epoch: 1052, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.9262]
train_epoch: 1053, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.9354]
train_epoch: 1054, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.9443]
train_epoch: 1055, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.9522]
train_epoch: 1056, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.9597]
train_epoch: 1057, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.9671]
train_epoch: 1058, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.9749]
train_epoch: 1059, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.9843]
train_epoch: 1060, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [7.9929]
train_epoch: 1061, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [8.0007]
train_epoch: 1062, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.0108]
train_epoch: 1063, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.0193]
train_epoch: 1064, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.0277]
train_epoch: 1065, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.0347]
train_epoch: 1066, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.0427]
train_epoch: 1067, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.0501]
train_epoch: 1068, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.0571]
train_epoch: 1069, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.0666]
train_epoch: 1070, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.0747]
train_epoch: 1071, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.0828]
train_epoch: 1072, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.0905]
train_epoch: 1073, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.0982]
train_epoch: 1074, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.1062]
train_epoch: 1075, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.1135]
train_epoch: 1076, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.1220]
train_epoch: 1077, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.1310]
train_epoch: 1078, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.1391]
train_epoch: 1079, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.1471]
train_epoch: 1080, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.1550]
train_epoch: 1081, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.1627]
train_epoch: 1082, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.1707]
train_epoch: 1083, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.1793]
train_epoch: 1084, loss: 0.3706, recall20: 0.1406 recall10: 0.0782 [8.2184]
