{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'h'}
train_epoch: 1001, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [50.0550]
train_epoch: 1002, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [50.1243]
train_epoch: 1003, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [50.1912]
train_epoch: 1004, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [50.2575]
train_epoch: 1005, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [50.3241]
train_epoch: 1006, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [50.3917]
train_epoch: 1007, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [50.4584]
train_epoch: 1008, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [50.5245]
train_epoch: 1009, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [50.5910]
train_epoch: 1010, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [50.6576]
train_epoch: 1011, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [50.7233]
train_epoch: 1012, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [50.7891]
train_epoch: 1013, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [50.8655]
train_epoch: 1014, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [50.9203]
train_epoch: 1015, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [50.9822]
train_epoch: 1016, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [51.0472]
train_epoch: 1017, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [51.1113]
train_epoch: 1018, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [51.1787]
train_epoch: 1019, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [51.2450]
train_epoch: 1020, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [51.3114]
train_epoch: 1021, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [51.3799]
train_epoch: 1022, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [51.4472]
train_epoch: 1023, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [51.5135]
train_epoch: 1024, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [51.5800]
train_epoch: 1025, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [51.6470]
train_epoch: 1026, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [51.7134]
train_epoch: 1027, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [51.7799]
train_epoch: 1028, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [51.8466]
train_epoch: 1029, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [51.9134]
train_epoch: 1030, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [51.9792]
train_epoch: 1031, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [52.0457]
train_epoch: 1032, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [52.1135]
train_epoch: 1033, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [52.1800]
train_epoch: 1034, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [52.2460]
train_epoch: 1035, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [52.3134]
train_epoch: 1036, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [52.3805]
train_epoch: 1037, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [52.4472]
train_epoch: 1038, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [52.5139]
train_epoch: 1039, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [52.5809]
train_epoch: 1040, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [52.6478]
train_epoch: 1041, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [52.7151]
train_epoch: 1042, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [52.7821]
train_epoch: 1043, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [52.8501]
train_epoch: 1044, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [52.9165]
train_epoch: 1045, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [52.9824]
train_epoch: 1046, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [53.0493]
train_epoch: 1047, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [53.1167]
train_epoch: 1048, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [53.1772]
train_epoch: 1049, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [53.2435]
train_epoch: 1050, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [53.3115]
train_epoch: 1051, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [53.3792]
train_epoch: 1052, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [53.4457]
train_epoch: 1053, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [53.5129]
train_epoch: 1054, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [53.5795]
train_epoch: 1055, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [53.6461]
