{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'h'}
train_epoch: 1001, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [54.2493]
train_epoch: 1002, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [54.3512]
train_epoch: 1003, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [54.3982]
train_epoch: 1004, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [54.4483]
train_epoch: 1005, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [54.4752]
train_epoch: 1006, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [54.4885]
train_epoch: 1007, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [54.5080]
train_epoch: 1008, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [54.5394]
train_epoch: 1009, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [54.5703]
train_epoch: 1010, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [54.5826]
train_epoch: 1011, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [54.5960]
train_epoch: 1012, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [54.6086]
train_epoch: 1013, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [54.6212]
train_epoch: 1014, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [54.6340]
train_epoch: 1015, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [54.6473]
train_epoch: 1016, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [54.6613]
train_epoch: 1017, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [54.6754]
train_epoch: 1018, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [54.6879]
train_epoch: 1019, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [54.7011]
train_epoch: 1020, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [54.7133]
train_epoch: 1021, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [54.7257]
train_epoch: 1022, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [54.7382]
train_epoch: 1023, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [54.7508]
train_epoch: 1024, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [54.7638]
train_epoch: 1025, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [54.7771]
train_epoch: 1026, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [54.7901]
train_epoch: 1027, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [54.8030]
train_epoch: 1028, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [54.8165]
