{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.5501]
train_epoch: 1002, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.5624]
train_epoch: 1003, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.5709]
train_epoch: 1004, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.5786]
train_epoch: 1005, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.5863]
train_epoch: 1006, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.5945]
train_epoch: 1007, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.6029]
train_epoch: 1008, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.6108]
train_epoch: 1009, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.6188]
train_epoch: 1010, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.6273]
train_epoch: 1011, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.6352]
train_epoch: 1012, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.6434]
train_epoch: 1013, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.6521]
train_epoch: 1014, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.6603]
train_epoch: 1015, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.6686]
train_epoch: 1016, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.6774]
train_epoch: 1017, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.6858]
train_epoch: 1018, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.6942]
train_epoch: 1019, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.7032]
train_epoch: 1020, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.7119]
train_epoch: 1021, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.7209]
train_epoch: 1022, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.7293]
train_epoch: 1023, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.7376]
train_epoch: 1024, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.7467]
train_epoch: 1025, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.7550]
train_epoch: 1026, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.7630]
train_epoch: 1027, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.7705]
train_epoch: 1028, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.7783]
train_epoch: 1029, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.7866]
train_epoch: 1030, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.7943]
train_epoch: 1031, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.8028]
train_epoch: 1032, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.8109]
train_epoch: 1033, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.8188]
train_epoch: 1034, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.8272]
train_epoch: 1035, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.8354]
train_epoch: 1036, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.8446]
train_epoch: 1037, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.8540]
train_epoch: 1038, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.8629]
train_epoch: 1039, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.8714]
train_epoch: 1040, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.8796]
train_epoch: 1041, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.8886]
train_epoch: 1042, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.8969]
train_epoch: 1043, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.9056]
train_epoch: 1044, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.9150]
train_epoch: 1045, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.9240]
train_epoch: 1046, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.9329]
train_epoch: 1047, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.9412]
train_epoch: 1048, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.9501]
train_epoch: 1049, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.9591]
train_epoch: 1050, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.9688]
train_epoch: 1051, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [7.9802]
train_epoch: 1052, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [7.9890]
train_epoch: 1053, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [7.9975]
train_epoch: 1054, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.0060]
train_epoch: 1055, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.0145]
train_epoch: 1056, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.0230]
train_epoch: 1057, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.0315]
train_epoch: 1058, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.0410]
train_epoch: 1059, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.0498]
train_epoch: 1060, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.0581]
train_epoch: 1061, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.0666]
train_epoch: 1062, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.0753]
train_epoch: 1063, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.0835]
train_epoch: 1064, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.0944]
train_epoch: 1065, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.1035]
train_epoch: 1066, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.1127]
train_epoch: 1067, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.1217]
train_epoch: 1068, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.1311]
train_epoch: 1069, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.1404]
train_epoch: 1070, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.1495]
train_epoch: 1071, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.1593]
train_epoch: 1072, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.1689]
train_epoch: 1073, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.1782]
train_epoch: 1074, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.1870]
train_epoch: 1075, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.1962]
train_epoch: 1076, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.2054]
train_epoch: 1077, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.2143]
train_epoch: 1078, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.2232]
train_epoch: 1079, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.2315]
train_epoch: 1080, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.2406]
train_epoch: 1081, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.2506]
train_epoch: 1082, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.2589]
train_epoch: 1083, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.2677]
train_epoch: 1084, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.2764]
train_epoch: 1085, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.2877]
train_epoch: 1086, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.2970]
train_epoch: 1087, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.3056]
train_epoch: 1088, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.3151]
train_epoch: 1089, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.3234]
train_epoch: 1090, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.3316]
train_epoch: 1091, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.3401]
train_epoch: 1092, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.3494]
train_epoch: 1093, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.3586]
train_epoch: 1094, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.3675]
train_epoch: 1095, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.3760]
train_epoch: 1096, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.3844]
train_epoch: 1097, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.3951]
train_epoch: 1098, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.4067]
train_epoch: 1099, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.4172]
train_epoch: 1100, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.4253]
train_epoch: 1101, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.4341]
train_epoch: 1102, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.4424]
train_epoch: 1103, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.4504]
train_epoch: 1104, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.4582]
train_epoch: 1105, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.4667]
train_epoch: 1106, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.4750]
train_epoch: 1107, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.4830]
train_epoch: 1108, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.4914]
train_epoch: 1109, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.5000]
train_epoch: 1110, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.5079]
train_epoch: 1111, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.5164]
train_epoch: 1112, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.5248]
train_epoch: 1113, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.5325]
train_epoch: 1114, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.5422]
train_epoch: 1115, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.5513]
train_epoch: 1116, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.5605]
train_epoch: 1117, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.5690]
train_epoch: 1118, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.5783]
train_epoch: 1119, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.5873]
train_epoch: 1120, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.5990]
train_epoch: 1121, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.6089]
train_epoch: 1122, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.6174]
train_epoch: 1123, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.6261]
train_epoch: 1124, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.6362]
train_epoch: 1125, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.6457]
train_epoch: 1126, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [8.6540]
