{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [28.8952]
train_epoch: 1002, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [28.9381]
train_epoch: 1003, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [28.9795]
train_epoch: 1004, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [28.9903]
train_epoch: 1005, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [28.9997]
train_epoch: 1006, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.0094]
train_epoch: 1007, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.0198]
train_epoch: 1008, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.0299]
train_epoch: 1009, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.0689]
train_epoch: 1010, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.1086]
train_epoch: 1011, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.1518]
train_epoch: 1012, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.1984]
train_epoch: 1013, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.2426]
train_epoch: 1014, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.2869]
train_epoch: 1015, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.3069]
train_epoch: 1016, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.3184]
train_epoch: 1017, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.3288]
train_epoch: 1018, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.3395]
train_epoch: 1019, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.3498]
train_epoch: 1020, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.3596]
train_epoch: 1021, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.3705]
train_epoch: 1022, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.4140]
train_epoch: 1023, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.4544]
train_epoch: 1024, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.4987]
train_epoch: 1025, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.5423]
train_epoch: 1026, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.5874]
train_epoch: 1027, loss: 0.7436, recall20: 0.0000 recall10: 0.0000 [29.6321]
