{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'i'}
train_epoch: 1001, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.6382]
train_epoch: 1002, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.6483]
train_epoch: 1003, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.6561]
train_epoch: 1004, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.6655]
train_epoch: 1005, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.6730]
train_epoch: 1006, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.6806]
train_epoch: 1007, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.6880]
train_epoch: 1008, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.6957]
train_epoch: 1009, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.7041]
train_epoch: 1010, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.7117]
train_epoch: 1011, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.7195]
train_epoch: 1012, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.7272]
train_epoch: 1013, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.7350]
train_epoch: 1014, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.7430]
train_epoch: 1015, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.7508]
train_epoch: 1016, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.7584]
train_epoch: 1017, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.7667]
train_epoch: 1018, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.7749]
train_epoch: 1019, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.7829]
train_epoch: 1020, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.7918]
train_epoch: 1021, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.7999]
train_epoch: 1022, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.8076]
train_epoch: 1023, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.8160]
train_epoch: 1024, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.8238]
train_epoch: 1025, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.8315]
train_epoch: 1026, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.8395]
train_epoch: 1027, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.8474]
train_epoch: 1028, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.8552]
train_epoch: 1029, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.8633]
train_epoch: 1030, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.8715]
train_epoch: 1031, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.8793]
train_epoch: 1032, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.8876]
train_epoch: 1033, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.8956]
train_epoch: 1034, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.9033]
train_epoch: 1035, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.9116]
train_epoch: 1036, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.9195]
train_epoch: 1037, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.9270]
train_epoch: 1038, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.9353]
train_epoch: 1039, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.9429]
train_epoch: 1040, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.9503]
train_epoch: 1041, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.9584]
train_epoch: 1042, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.9661]
train_epoch: 1043, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.9733]
train_epoch: 1044, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.9814]
train_epoch: 1045, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.9896]
train_epoch: 1046, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [6.9975]
train_epoch: 1047, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.0061]
train_epoch: 1048, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.0144]
train_epoch: 1049, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.0225]
train_epoch: 1050, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.0316]
train_epoch: 1051, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.0396]
train_epoch: 1052, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.0469]
train_epoch: 1053, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.0550]
train_epoch: 1054, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.0632]
train_epoch: 1055, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.0704]
train_epoch: 1056, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.0783]
train_epoch: 1057, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.0864]
train_epoch: 1058, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.0938]
train_epoch: 1059, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.1019]
train_epoch: 1060, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.1104]
train_epoch: 1061, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.1175]
train_epoch: 1062, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.1252]
train_epoch: 1063, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.1330]
train_epoch: 1064, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.1404]
train_epoch: 1065, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.1483]
train_epoch: 1066, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.1560]
train_epoch: 1067, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.1635]
train_epoch: 1068, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.1713]
train_epoch: 1069, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.1790]
train_epoch: 1070, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.1865]
train_epoch: 1071, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.1944]
train_epoch: 1072, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.2025]
train_epoch: 1073, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.2095]
train_epoch: 1074, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.2170]
train_epoch: 1075, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.2246]
train_epoch: 1076, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.2321]
train_epoch: 1077, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.2414]
train_epoch: 1078, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.2498]
train_epoch: 1079, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.2575]
train_epoch: 1080, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.2664]
train_epoch: 1081, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.2763]
train_epoch: 1082, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.2835]
train_epoch: 1083, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.2913]
train_epoch: 1084, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.2996]
train_epoch: 1085, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.3077]
train_epoch: 1086, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.3155]
train_epoch: 1087, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.3232]
train_epoch: 1088, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.3315]
train_epoch: 1089, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.3397]
train_epoch: 1090, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.3475]
train_epoch: 1091, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.3558]
train_epoch: 1092, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.3639]
train_epoch: 1093, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.3816]
train_epoch: 1094, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.3927]
train_epoch: 1095, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.4033]
train_epoch: 1096, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.4142]
train_epoch: 1097, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.4287]
train_epoch: 1098, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.4370]
train_epoch: 1099, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.4451]
train_epoch: 1100, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.4530]
train_epoch: 1101, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.4609]
train_epoch: 1102, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.4688]
train_epoch: 1103, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.4762]
train_epoch: 1104, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.4835]
train_epoch: 1105, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.4908]
train_epoch: 1106, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.4983]
train_epoch: 1107, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.5057]
train_epoch: 1108, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.5131]
train_epoch: 1109, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.5207]
train_epoch: 1110, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.5282]
train_epoch: 1111, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.5357]
train_epoch: 1112, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.5452]
train_epoch: 1113, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.5565]
train_epoch: 1114, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.5679]
train_epoch: 1115, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.5795]
train_epoch: 1116, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.5920]
train_epoch: 1117, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.6091]
train_epoch: 1118, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.6185]
train_epoch: 1119, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.6289]
train_epoch: 1120, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.6370]
train_epoch: 1121, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.6462]
train_epoch: 1122, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.6551]
train_epoch: 1123, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.6640]
train_epoch: 1124, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.6729]
train_epoch: 1125, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.6823]
train_epoch: 1126, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.6915]
train_epoch: 1127, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.7005]
train_epoch: 1128, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.7089]
train_epoch: 1129, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.7179]
train_epoch: 1130, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.7260]
train_epoch: 1131, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.7342]
train_epoch: 1132, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.7418]
train_epoch: 1133, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.7510]
train_epoch: 1134, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.7599]
train_epoch: 1135, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.7682]
train_epoch: 1136, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.7759]
train_epoch: 1137, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.7832]
train_epoch: 1138, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.7914]
train_epoch: 1139, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.8002]
train_epoch: 1140, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.8110]
train_epoch: 1141, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.8218]
train_epoch: 1142, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.8310]
train_epoch: 1143, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.8392]
train_epoch: 1144, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.8475]
train_epoch: 1145, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.8565]
train_epoch: 1146, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.8647]
train_epoch: 1147, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.8729]
train_epoch: 1148, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.8811]
train_epoch: 1149, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.8888]
train_epoch: 1150, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.8966]
train_epoch: 1151, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.9045]
train_epoch: 1152, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.9123]
train_epoch: 1153, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.9225]
train_epoch: 1154, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.9319]
train_epoch: 1155, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.9411]
train_epoch: 1156, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.9501]
train_epoch: 1157, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.9587]
train_epoch: 1158, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.9674]
train_epoch: 1159, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.9755]
train_epoch: 1160, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.9834]
train_epoch: 1161, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.9919]
train_epoch: 1162, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [7.9998]
train_epoch: 1163, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [8.0075]
train_epoch: 1164, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [8.0157]
train_epoch: 1165, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [8.0234]
train_epoch: 1166, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [8.0312]
train_epoch: 1167, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [8.0393]
train_epoch: 1168, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [8.0472]
train_epoch: 1169, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [8.0551]
train_epoch: 1170, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [8.0635]
train_epoch: 1171, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [8.0711]
train_epoch: 1172, loss: 0.3571, recall20: 0.0000 recall10: 0.0000 [8.0787]
