{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'i'}
train_epoch: 1001, loss: 4.6302, recall20: 0.0000 recall10: 0.0000 [27.3525]
train_epoch: 1002, loss: 4.6301, recall20: 0.0000 recall10: 0.0000 [27.3939]
train_epoch: 1003, loss: 4.6301, recall20: 0.0000 recall10: 0.0000 [27.4305]
train_epoch: 1004, loss: 4.6300, recall20: 0.0000 recall10: 0.0000 [27.4607]
train_epoch: 1005, loss: 4.6300, recall20: 0.0000 recall10: 0.0000 [27.4712]
train_epoch: 1006, loss: 4.6300, recall20: 0.0000 recall10: 0.0000 [27.4801]
train_epoch: 1007, loss: 4.6299, recall20: 0.0000 recall10: 0.0000 [27.4879]
train_epoch: 1008, loss: 4.6299, recall20: 0.0000 recall10: 0.0000 [27.4961]
train_epoch: 1009, loss: 4.6298, recall20: 0.0000 recall10: 0.0000 [27.5051]
train_epoch: 1010, loss: 4.6298, recall20: 0.0000 recall10: 0.0000 [27.5138]
train_epoch: 1011, loss: 4.6297, recall20: 0.0000 recall10: 0.0000 [27.5230]
train_epoch: 1012, loss: 4.6297, recall20: 0.0000 recall10: 0.0000 [27.5313]
train_epoch: 1013, loss: 4.6297, recall20: 0.0000 recall10: 0.0000 [27.5396]
train_epoch: 1014, loss: 4.6296, recall20: 0.0000 recall10: 0.0000 [27.5655]
train_epoch: 1015, loss: 4.6296, recall20: 0.0000 recall10: 0.0000 [27.6085]
train_epoch: 1016, loss: 4.6295, recall20: 0.0000 recall10: 0.0000 [27.6512]
train_epoch: 1017, loss: 4.6295, recall20: 0.0000 recall10: 0.0000 [27.6930]
train_epoch: 1018, loss: 4.6294, recall20: 0.0000 recall10: 0.0000 [27.7267]
train_epoch: 1019, loss: 4.6294, recall20: 0.0000 recall10: 0.0000 [27.7677]
train_epoch: 1020, loss: 4.6293, recall20: 0.0000 recall10: 0.0000 [27.8094]
train_epoch: 1021, loss: 4.6293, recall20: 0.0000 recall10: 0.0000 [27.8465]
train_epoch: 1022, loss: 4.6293, recall20: 0.0000 recall10: 0.0000 [27.8868]
train_epoch: 1023, loss: 4.6292, recall20: 0.0000 recall10: 0.0000 [27.9277]
train_epoch: 1024, loss: 4.6292, recall20: 0.0000 recall10: 0.0000 [27.9650]
train_epoch: 1025, loss: 4.6291, recall20: 0.0000 recall10: 0.0000 [28.0045]
train_epoch: 1026, loss: 4.6291, recall20: 0.0000 recall10: 0.0000 [28.0477]
train_epoch: 1027, loss: 4.6290, recall20: 0.0000 recall10: 0.0000 [28.0862]
train_epoch: 1028, loss: 4.6290, recall20: 0.0000 recall10: 0.0000 [28.1310]
train_epoch: 1029, loss: 4.6290, recall20: 0.0000 recall10: 0.0000 [28.1687]
train_epoch: 1030, loss: 4.6289, recall20: 0.0000 recall10: 0.0000 [28.2026]
train_epoch: 1031, loss: 4.6289, recall20: 0.0000 recall10: 0.0000 [28.2129]
train_epoch: 1032, loss: 4.6288, recall20: 0.0000 recall10: 0.0000 [28.2207]
train_epoch: 1033, loss: 4.6288, recall20: 0.0000 recall10: 0.0000 [28.2282]
train_epoch: 1034, loss: 4.6287, recall20: 0.0000 recall10: 0.0000 [28.2368]
train_epoch: 1035, loss: 4.6287, recall20: 0.0000 recall10: 0.0000 [28.2456]
train_epoch: 1036, loss: 4.6286, recall20: 0.0000 recall10: 0.0000 [28.2537]
train_epoch: 1037, loss: 4.6286, recall20: 0.0000 recall10: 0.0000 [28.2622]
