{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'i'}
train_epoch: 1001, loss: 2.6368, recall20: 0.0000 recall10: 0.0000 [35.4975]
train_epoch: 1002, loss: 2.6368, recall20: 0.0000 recall10: 0.0000 [35.5484]
train_epoch: 1003, loss: 2.6368, recall20: 0.0000 recall10: 0.0000 [35.5982]
train_epoch: 1004, loss: 2.6367, recall20: 0.0000 recall10: 0.0000 [35.6478]
train_epoch: 1005, loss: 2.6367, recall20: 0.0000 recall10: 0.0000 [35.6952]
train_epoch: 1006, loss: 2.6367, recall20: 0.0000 recall10: 0.0000 [35.7447]
train_epoch: 1007, loss: 2.6367, recall20: 0.0000 recall10: 0.0000 [35.7920]
train_epoch: 1008, loss: 2.6367, recall20: 0.0000 recall10: 0.0000 [35.8408]
train_epoch: 1009, loss: 2.6367, recall20: 0.0000 recall10: 0.0000 [35.8892]
train_epoch: 1010, loss: 2.6367, recall20: 0.0000 recall10: 0.0000 [35.9358]
train_epoch: 1011, loss: 2.6366, recall20: 0.0000 recall10: 0.0000 [35.9817]
train_epoch: 1012, loss: 2.6366, recall20: 0.0000 recall10: 0.0000 [36.0312]
train_epoch: 1013, loss: 2.6366, recall20: 0.0000 recall10: 0.0000 [36.0814]
train_epoch: 1014, loss: 2.6366, recall20: 0.0000 recall10: 0.0000 [36.1312]
train_epoch: 1015, loss: 2.6366, recall20: 0.0000 recall10: 0.0000 [36.1814]
train_epoch: 1016, loss: 2.6366, recall20: 0.0000 recall10: 0.0000 [36.2345]
train_epoch: 1017, loss: 2.6366, recall20: 0.0000 recall10: 0.0000 [36.2837]
train_epoch: 1018, loss: 2.6366, recall20: 0.0000 recall10: 0.0000 [36.3331]
train_epoch: 1019, loss: 2.6365, recall20: 0.0000 recall10: 0.0000 [36.3826]
train_epoch: 1020, loss: 2.6365, recall20: 0.0000 recall10: 0.0000 [36.4267]
train_epoch: 1021, loss: 2.6365, recall20: 0.0000 recall10: 0.0000 [36.4751]
train_epoch: 1022, loss: 2.6365, recall20: 0.0000 recall10: 0.0000 [36.5228]
train_epoch: 1023, loss: 2.6365, recall20: 0.0000 recall10: 0.0000 [36.5703]
train_epoch: 1024, loss: 2.6365, recall20: 0.0000 recall10: 0.0000 [36.6201]
train_epoch: 1025, loss: 2.6365, recall20: 0.0000 recall10: 0.0000 [36.6687]
train_epoch: 1026, loss: 2.6365, recall20: 0.0000 recall10: 0.0000 [36.7189]
train_epoch: 1027, loss: 2.6364, recall20: 0.0000 recall10: 0.0000 [36.7669]
train_epoch: 1028, loss: 2.6364, recall20: 0.0000 recall10: 0.0000 [36.8165]
train_epoch: 1029, loss: 2.6364, recall20: 0.0000 recall10: 0.0000 [36.8658]
train_epoch: 1030, loss: 2.6364, recall20: 0.0000 recall10: 0.0000 [36.9155]
train_epoch: 1031, loss: 2.6364, recall20: 0.0000 recall10: 0.0000 [36.9646]
train_epoch: 1032, loss: 2.6364, recall20: 0.0000 recall10: 0.0000 [37.0105]
train_epoch: 1033, loss: 2.6364, recall20: 0.0000 recall10: 0.0000 [37.0582]
train_epoch: 1034, loss: 2.6364, recall20: 0.0000 recall10: 0.0000 [37.1076]
train_epoch: 1035, loss: 2.6363, recall20: 0.0000 recall10: 0.0000 [37.1574]
train_epoch: 1036, loss: 2.6363, recall20: 0.0000 recall10: 0.0000 [37.2062]
train_epoch: 1037, loss: 2.6363, recall20: 0.0000 recall10: 0.0000 [37.2542]
train_epoch: 1038, loss: 2.6363, recall20: 0.0000 recall10: 0.0000 [37.3029]
train_epoch: 1039, loss: 2.6363, recall20: 0.0000 recall10: 0.0000 [37.3516]
train_epoch: 1040, loss: 2.6363, recall20: 0.0000 recall10: 0.0000 [37.4003]
train_epoch: 1041, loss: 2.6363, recall20: 0.0000 recall10: 0.0000 [37.4500]
train_epoch: 1042, loss: 2.6363, recall20: 0.0000 recall10: 0.0000 [37.4991]
train_epoch: 1043, loss: 2.6362, recall20: 0.0000 recall10: 0.0000 [37.5455]
train_epoch: 1044, loss: 2.6362, recall20: 0.0000 recall10: 0.0000 [37.5945]
train_epoch: 1045, loss: 2.6362, recall20: 0.0000 recall10: 0.0000 [37.6435]
train_epoch: 1046, loss: 2.6362, recall20: 0.0000 recall10: 0.0000 [37.6924]
train_epoch: 1047, loss: 2.6362, recall20: 0.0000 recall10: 0.0000 [37.7419]
train_epoch: 1048, loss: 2.6362, recall20: 0.0000 recall10: 0.0000 [37.7912]
train_epoch: 1049, loss: 2.6362, recall20: 0.0000 recall10: 0.0000 [37.8389]
train_epoch: 1050, loss: 2.6362, recall20: 0.0000 recall10: 0.0000 [37.8853]
train_epoch: 1051, loss: 2.6361, recall20: 0.0000 recall10: 0.0000 [37.9353]
train_epoch: 1052, loss: 2.6361, recall20: 0.0000 recall10: 0.0000 [37.9834]
train_epoch: 1053, loss: 2.6361, recall20: 0.0000 recall10: 0.0000 [38.0330]
train_epoch: 1054, loss: 2.6361, recall20: 0.0000 recall10: 0.0000 [38.0814]
train_epoch: 1055, loss: 2.6361, recall20: 0.0000 recall10: 0.0000 [38.1291]
train_epoch: 1056, loss: 2.6361, recall20: 0.0000 recall10: 0.0000 [38.1789]
train_epoch: 1057, loss: 2.6361, recall20: 0.0000 recall10: 0.0000 [38.2283]
train_epoch: 1058, loss: 2.6361, recall20: 0.0000 recall10: 0.0000 [38.2764]
train_epoch: 1059, loss: 2.6360, recall20: 0.0000 recall10: 0.0000 [38.3257]
train_epoch: 1060, loss: 2.6360, recall20: 0.0000 recall10: 0.0000 [38.3749]
train_epoch: 1061, loss: 2.6360, recall20: 0.0000 recall10: 0.0000 [38.4237]
train_epoch: 1062, loss: 2.6360, recall20: 0.0000 recall10: 0.0000 [38.4690]
train_epoch: 1063, loss: 2.6360, recall20: 0.0000 recall10: 0.0000 [38.5182]
train_epoch: 1064, loss: 2.6360, recall20: 0.0000 recall10: 0.0000 [38.5681]
train_epoch: 1065, loss: 2.6360, recall20: 0.0000 recall10: 0.0000 [38.6165]
train_epoch: 1066, loss: 2.6360, recall20: 0.0000 recall10: 0.0000 [38.6650]
train_epoch: 1067, loss: 2.6359, recall20: 0.0000 recall10: 0.0000 [38.7128]
train_epoch: 1068, loss: 2.6359, recall20: 0.0000 recall10: 0.0000 [38.7617]
train_epoch: 1069, loss: 2.6359, recall20: 0.0000 recall10: 0.0000 [38.8102]
train_epoch: 1070, loss: 2.6359, recall20: 0.0000 recall10: 0.0000 [38.8590]
train_epoch: 1071, loss: 2.6359, recall20: 0.0000 recall10: 0.0000 [38.9061]
train_epoch: 1072, loss: 2.6359, recall20: 0.0000 recall10: 0.0000 [38.9550]
train_epoch: 1073, loss: 2.6359, recall20: 0.0000 recall10: 0.0000 [39.0035]
train_epoch: 1074, loss: 2.6359, recall20: 0.0000 recall10: 0.0000 [39.0509]
train_epoch: 1075, loss: 2.6358, recall20: 0.0000 recall10: 0.0000 [39.1006]
train_epoch: 1076, loss: 2.6358, recall20: 0.0000 recall10: 0.0000 [39.1501]
train_epoch: 1077, loss: 2.6358, recall20: 0.0000 recall10: 0.0000 [39.1999]
train_epoch: 1078, loss: 2.6358, recall20: 0.0000 recall10: 0.0000 [39.2483]
train_epoch: 1079, loss: 2.6358, recall20: 0.0000 recall10: 0.0000 [39.2976]
train_epoch: 1080, loss: 2.6358, recall20: 0.0000 recall10: 0.0000 [39.3482]
train_epoch: 1081, loss: 2.6358, recall20: 0.0000 recall10: 0.0000 [39.3956]
train_epoch: 1082, loss: 2.6358, recall20: 0.0000 recall10: 0.0000 [39.4441]
train_epoch: 1083, loss: 2.6357, recall20: 0.0000 recall10: 0.0000 [39.4915]
train_epoch: 1084, loss: 2.6357, recall20: 0.0000 recall10: 0.0000 [39.5407]
train_epoch: 1085, loss: 2.6357, recall20: 0.0000 recall10: 0.0000 [39.5901]
train_epoch: 1086, loss: 2.6357, recall20: 0.0000 recall10: 0.0000 [39.6402]
train_epoch: 1087, loss: 2.6357, recall20: 0.0000 recall10: 0.0000 [39.6905]
train_epoch: 1088, loss: 2.6357, recall20: 0.0000 recall10: 0.0000 [39.7398]
train_epoch: 1089, loss: 2.6357, recall20: 0.0000 recall10: 0.0000 [39.7885]
train_epoch: 1090, loss: 2.6357, recall20: 0.0000 recall10: 0.0000 [39.8372]
train_epoch: 1091, loss: 2.6356, recall20: 0.0000 recall10: 0.0000 [39.8872]
train_epoch: 1092, loss: 2.6356, recall20: 0.0000 recall10: 0.0000 [39.9362]
train_epoch: 1093, loss: 2.6356, recall20: 0.0000 recall10: 0.0000 [39.9860]
train_epoch: 1094, loss: 2.6356, recall20: 0.0000 recall10: 0.0000 [40.0352]
train_epoch: 1095, loss: 2.6356, recall20: 0.0000 recall10: 0.0000 [40.0826]
train_epoch: 1096, loss: 2.6356, recall20: 0.0000 recall10: 0.0000 [40.1319]
train_epoch: 1097, loss: 2.6356, recall20: 0.0000 recall10: 0.0000 [40.1815]
train_epoch: 1098, loss: 2.6356, recall20: 0.0000 recall10: 0.0000 [40.2301]
train_epoch: 1099, loss: 2.6355, recall20: 0.0000 recall10: 0.0000 [40.2788]
train_epoch: 1100, loss: 2.6355, recall20: 0.0000 recall10: 0.0000 [40.3298]
train_epoch: 1101, loss: 2.6355, recall20: 0.0000 recall10: 0.0000 [40.3771]
train_epoch: 1102, loss: 2.6355, recall20: 0.0000 recall10: 0.0000 [40.4274]
train_epoch: 1103, loss: 2.6355, recall20: 0.0000 recall10: 0.0000 [40.4777]
train_epoch: 1104, loss: 2.6355, recall20: 0.0000 recall10: 0.0000 [40.5279]
train_epoch: 1105, loss: 2.6355, recall20: 0.0000 recall10: 0.0000 [40.5763]
train_epoch: 1106, loss: 2.6355, recall20: 0.0000 recall10: 0.0000 [40.6190]
train_epoch: 1107, loss: 2.6354, recall20: 0.0000 recall10: 0.0000 [40.6634]
train_epoch: 1108, loss: 2.6354, recall20: 0.0000 recall10: 0.0000 [40.7097]
train_epoch: 1109, loss: 2.6354, recall20: 0.0000 recall10: 0.0000 [40.7559]
train_epoch: 1110, loss: 2.6354, recall20: 0.0000 recall10: 0.0000 [40.8021]
