{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.1710]
train_epoch: 1002, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.1869]
train_epoch: 1003, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.2001]
train_epoch: 1004, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.2129]
train_epoch: 1005, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.2257]
train_epoch: 1006, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.2381]
train_epoch: 1007, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.2504]
train_epoch: 1008, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.2630]
train_epoch: 1009, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.2758]
train_epoch: 1010, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.2886]
train_epoch: 1011, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.3020]
train_epoch: 1012, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.3151]
train_epoch: 1013, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.3288]
train_epoch: 1014, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.3417]
train_epoch: 1015, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.3545]
train_epoch: 1016, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.3678]
train_epoch: 1017, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.3804]
train_epoch: 1018, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.3932]
train_epoch: 1019, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.4056]
train_epoch: 1020, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.4181]
train_epoch: 1021, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.4308]
train_epoch: 1022, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.4433]
train_epoch: 1023, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.4556]
train_epoch: 1024, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.4677]
train_epoch: 1025, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.4805]
train_epoch: 1026, loss: 0.6946, recall20: 0.0000 recall10: 0.0000 [12.4935]
