{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [46.2093]
train_epoch: 1002, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [46.2633]
train_epoch: 1003, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [46.3145]
train_epoch: 1004, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [46.3645]
train_epoch: 1005, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [46.4153]
train_epoch: 1006, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [46.4613]
train_epoch: 1007, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [46.5146]
train_epoch: 1008, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [46.5634]
train_epoch: 1009, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [46.6181]
train_epoch: 1010, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [46.6645]
train_epoch: 1011, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [46.7149]
train_epoch: 1012, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [46.7617]
train_epoch: 1013, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [46.8167]
train_epoch: 1014, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [46.8634]
train_epoch: 1015, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [46.9152]
train_epoch: 1016, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [46.9680]
train_epoch: 1017, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.0186]
train_epoch: 1018, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.0608]
train_epoch: 1019, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.1086]
train_epoch: 1020, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.1559]
train_epoch: 1021, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.2023]
train_epoch: 1022, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.2475]
train_epoch: 1023, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.2975]
train_epoch: 1024, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.3462]
train_epoch: 1025, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.3893]
train_epoch: 1026, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.4403]
train_epoch: 1027, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.4906]
train_epoch: 1028, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.5359]
train_epoch: 1029, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.5811]
train_epoch: 1030, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.6347]
train_epoch: 1031, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.6816]
train_epoch: 1032, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.7307]
train_epoch: 1033, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.7791]
train_epoch: 1034, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.8236]
train_epoch: 1035, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.8779]
train_epoch: 1036, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.9227]
train_epoch: 1037, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [47.9697]
train_epoch: 1038, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [48.0209]
train_epoch: 1039, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [48.0662]
train_epoch: 1040, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [48.1135]
train_epoch: 1041, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [48.1663]
train_epoch: 1042, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [48.2092]
train_epoch: 1043, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [48.2593]
train_epoch: 1044, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [48.3093]
train_epoch: 1045, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [48.3613]
train_epoch: 1046, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [48.4103]
train_epoch: 1047, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [48.4622]
train_epoch: 1048, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [48.5123]
train_epoch: 1049, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [48.5615]
train_epoch: 1050, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [48.6132]
train_epoch: 1051, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [48.6607]
train_epoch: 1052, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [48.7055]
train_epoch: 1053, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [48.7550]
train_epoch: 1054, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [48.8036]
train_epoch: 1055, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [48.8503]
train_epoch: 1056, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [48.9002]
train_epoch: 1057, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [48.9501]
train_epoch: 1058, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.0039]
train_epoch: 1059, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.0515]
train_epoch: 1060, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.0991]
train_epoch: 1061, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.1472]
train_epoch: 1062, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.2005]
train_epoch: 1063, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.2529]
train_epoch: 1064, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.3001]
train_epoch: 1065, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.3521]
train_epoch: 1066, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.3970]
train_epoch: 1067, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.4508]
train_epoch: 1068, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.5024]
train_epoch: 1069, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.5469]
train_epoch: 1070, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.5948]
train_epoch: 1071, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.6397]
train_epoch: 1072, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.6886]
train_epoch: 1073, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.7419]
train_epoch: 1074, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.7824]
train_epoch: 1075, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.8354]
train_epoch: 1076, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.8814]
train_epoch: 1077, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.9353]
train_epoch: 1078, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [49.9852]
train_epoch: 1079, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [50.0397]
train_epoch: 1080, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [50.0885]
train_epoch: 1081, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [50.1418]
train_epoch: 1082, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [50.1958]
train_epoch: 1083, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [50.2452]
train_epoch: 1084, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [50.2976]
train_epoch: 1085, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [50.3508]
train_epoch: 1086, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [50.4016]
train_epoch: 1087, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [50.4542]
train_epoch: 1088, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [50.5007]
train_epoch: 1089, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [50.5543]
train_epoch: 1090, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [50.6083]
train_epoch: 1091, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [50.6578]
train_epoch: 1092, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [50.7112]
train_epoch: 1093, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [50.7626]
