{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'max', 'pred': 'h'}
train_epoch: 1001, loss: 0.6963, recall20: 0.0000 recall10: 0.0000 [7.1141]
train_epoch: 1002, loss: 0.6963, recall20: 0.0000 recall10: 0.0000 [7.1251]
train_epoch: 1003, loss: 0.6963, recall20: 0.0000 recall10: 0.0000 [7.1334]
train_epoch: 1004, loss: 0.6963, recall20: 0.0000 recall10: 0.0000 [7.1411]
train_epoch: 1005, loss: 0.6963, recall20: 0.0000 recall10: 0.0000 [7.1487]
train_epoch: 1006, loss: 0.6963, recall20: 0.0000 recall10: 0.0000 [7.1567]
train_epoch: 1007, loss: 0.6963, recall20: 0.0000 recall10: 0.0000 [7.1646]
train_epoch: 1008, loss: 0.6962, recall20: 0.0000 recall10: 0.0000 [7.1718]
train_epoch: 1009, loss: 0.6962, recall20: 0.0000 recall10: 0.0000 [7.1799]
train_epoch: 1010, loss: 0.6962, recall20: 0.0000 recall10: 0.0000 [7.1879]
train_epoch: 1011, loss: 0.6962, recall20: 0.0000 recall10: 0.0000 [7.1962]
train_epoch: 1012, loss: 0.6962, recall20: 0.0000 recall10: 0.0000 [7.2050]
train_epoch: 1013, loss: 0.6962, recall20: 0.0000 recall10: 0.0000 [7.2135]
train_epoch: 1014, loss: 0.6962, recall20: 0.0000 recall10: 0.0000 [7.2213]
train_epoch: 1015, loss: 0.6961, recall20: 0.0000 recall10: 0.0000 [7.2290]
train_epoch: 1016, loss: 0.6961, recall20: 0.0000 recall10: 0.0000 [7.2372]
train_epoch: 1017, loss: 0.6961, recall20: 0.0000 recall10: 0.0000 [7.2454]
train_epoch: 1018, loss: 0.6961, recall20: 0.0000 recall10: 0.0000 [7.2532]
train_epoch: 1019, loss: 0.6961, recall20: 0.0000 recall10: 0.0000 [7.2612]
train_epoch: 1020, loss: 0.6961, recall20: 0.0000 recall10: 0.0000 [7.2691]
train_epoch: 1021, loss: 0.6961, recall20: 0.0000 recall10: 0.0000 [7.2769]
train_epoch: 1022, loss: 0.6960, recall20: 0.0000 recall10: 0.0000 [7.2849]
train_epoch: 1023, loss: 0.6960, recall20: 0.0000 recall10: 0.0000 [7.2937]
train_epoch: 1024, loss: 0.6960, recall20: 0.0000 recall10: 0.0000 [7.3017]
train_epoch: 1025, loss: 0.6960, recall20: 0.0000 recall10: 0.0000 [7.3098]
train_epoch: 1026, loss: 0.6960, recall20: 0.0000 recall10: 0.0000 [7.3183]
train_epoch: 1027, loss: 0.6960, recall20: 0.0000 recall10: 0.0000 [7.3267]
train_epoch: 1028, loss: 0.6960, recall20: 0.0000 recall10: 0.0000 [7.3343]
train_epoch: 1029, loss: 0.6959, recall20: 0.0000 recall10: 0.0000 [7.3423]
train_epoch: 1030, loss: 0.6959, recall20: 0.0000 recall10: 0.0000 [7.3503]
train_epoch: 1031, loss: 0.6959, recall20: 0.0000 recall10: 0.0000 [7.3582]
train_epoch: 1032, loss: 0.6959, recall20: 0.0000 recall10: 0.0000 [7.3664]
train_epoch: 1033, loss: 0.6959, recall20: 0.0000 recall10: 0.0000 [7.3742]
train_epoch: 1034, loss: 0.6959, recall20: 0.0000 recall10: 0.0000 [7.3818]
train_epoch: 1035, loss: 0.6959, recall20: 0.0000 recall10: 0.0000 [7.3903]
train_epoch: 1036, loss: 0.6958, recall20: 0.0000 recall10: 0.0000 [7.3981]
train_epoch: 1037, loss: 0.6958, recall20: 0.0000 recall10: 0.0000 [7.4058]
train_epoch: 1038, loss: 0.6958, recall20: 0.0000 recall10: 0.0000 [7.4142]
train_epoch: 1039, loss: 0.6958, recall20: 0.0000 recall10: 0.0000 [7.4228]
train_epoch: 1040, loss: 0.6958, recall20: 0.0000 recall10: 0.0000 [7.4314]
train_epoch: 1041, loss: 0.6958, recall20: 0.0000 recall10: 0.0000 [7.4393]
train_epoch: 1042, loss: 0.6958, recall20: 0.0000 recall10: 0.0000 [7.4477]
train_epoch: 1043, loss: 0.6957, recall20: 0.0000 recall10: 0.0000 [7.4562]
