{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'max', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.6007]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.6510]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.7000]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.7490]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.7997]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.8512]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.9037]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.9610]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.0119]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.0653]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.1173]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.1709]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.2216]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.2746]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.3282]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.3768]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.4275]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.4791]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.5398]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.6249]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.6784]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.7308]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.7839]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.8356]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.8874]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.9401]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.9930]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.0431]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.0963]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.1485]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.2023]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.2543]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.3058]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.3505]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.3998]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.4495]
train_epoch: 1037, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.4995]
train_epoch: 1038, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.5537]
train_epoch: 1039, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.6054]
train_epoch: 1040, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.6579]
train_epoch: 1041, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.7090]
train_epoch: 1042, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.7622]
train_epoch: 1043, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.8165]
train_epoch: 1044, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.8707]
train_epoch: 1045, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.9233]
train_epoch: 1046, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.9762]
train_epoch: 1047, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.0277]
train_epoch: 1048, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.0791]
train_epoch: 1049, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.1317]
train_epoch: 1050, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.1835]
train_epoch: 1051, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.2315]
train_epoch: 1052, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.2820]
train_epoch: 1053, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.3299]
train_epoch: 1054, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.3774]
train_epoch: 1055, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.4301]
train_epoch: 1056, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.4829]
train_epoch: 1057, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.5349]
train_epoch: 1058, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.5855]
train_epoch: 1059, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.6379]
train_epoch: 1060, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.6879]
train_epoch: 1061, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.7394]
train_epoch: 1062, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.7922]
train_epoch: 1063, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.8397]
train_epoch: 1064, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.8917]
train_epoch: 1065, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.9438]
train_epoch: 1066, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.9974]
train_epoch: 1067, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.0485]
train_epoch: 1068, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.1010]
