{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.0069, recall20: 0.0000 recall10: 0.0000 [41.7231]
train_epoch: 1002, loss: 0.0069, recall20: 0.0000 recall10: 0.0000 [41.7702]
train_epoch: 1003, loss: 0.0069, recall20: 0.0000 recall10: 0.0000 [41.8163]
train_epoch: 1004, loss: 0.0068, recall20: 0.0000 recall10: 0.0000 [41.8594]
train_epoch: 1005, loss: 0.0068, recall20: 0.0000 recall10: 0.0000 [41.9043]
train_epoch: 1006, loss: 0.0068, recall20: 0.0000 recall10: 0.0000 [41.9495]
train_epoch: 1007, loss: 0.0068, recall20: 0.0000 recall10: 0.0000 [41.9950]
train_epoch: 1008, loss: 0.0068, recall20: 0.0000 recall10: 0.0000 [42.0427]
train_epoch: 1009, loss: 0.0068, recall20: 0.0000 recall10: 0.0000 [42.0895]
train_epoch: 1010, loss: 0.0067, recall20: 0.0000 recall10: 0.0000 [42.1360]
train_epoch: 1011, loss: 0.0067, recall20: 0.0000 recall10: 0.0000 [42.1817]
train_epoch: 1012, loss: 0.0067, recall20: 0.0000 recall10: 0.0000 [42.2249]
train_epoch: 1013, loss: 0.0067, recall20: 0.0000 recall10: 0.0000 [42.2693]
train_epoch: 1014, loss: 0.0067, recall20: 0.0000 recall10: 0.0000 [42.3148]
train_epoch: 1015, loss: 0.0067, recall20: 0.0000 recall10: 0.0000 [42.3603]
train_epoch: 1016, loss: 0.0066, recall20: 0.0000 recall10: 0.0000 [42.4063]
train_epoch: 1017, loss: 0.0066, recall20: 0.0000 recall10: 0.0000 [42.4525]
train_epoch: 1018, loss: 0.0066, recall20: 0.0000 recall10: 0.0000 [42.4992]
train_epoch: 1019, loss: 0.0066, recall20: 0.0000 recall10: 0.0000 [42.5446]
train_epoch: 1020, loss: 0.0066, recall20: 0.0000 recall10: 0.0000 [42.5932]
train_epoch: 1021, loss: 0.0066, recall20: 0.0000 recall10: 0.0000 [42.6405]
train_epoch: 1022, loss: 0.0066, recall20: 0.0000 recall10: 0.0000 [42.6861]
train_epoch: 1023, loss: 0.0065, recall20: 0.0000 recall10: 0.0000 [42.7314]
train_epoch: 1024, loss: 0.0065, recall20: 0.0000 recall10: 0.0000 [42.7763]
train_epoch: 1025, loss: 0.0065, recall20: 0.0000 recall10: 0.0000 [42.8236]
train_epoch: 1026, loss: 0.0065, recall20: 0.0000 recall10: 0.0000 [42.8620]
train_epoch: 1027, loss: 0.0065, recall20: 0.0000 recall10: 0.0000 [42.9066]
train_epoch: 1028, loss: 0.0065, recall20: 0.0000 recall10: 0.0000 [42.9515]
train_epoch: 1029, loss: 0.0064, recall20: 0.0000 recall10: 0.0000 [42.9968]
train_epoch: 1030, loss: 0.0064, recall20: 0.0000 recall10: 0.0000 [43.0420]
