{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.6506, recall20: 0.0000 recall10: 0.0000 [9.0473]
train_epoch: 1002, loss: 0.6506, recall20: 0.0000 recall10: 0.0000 [9.0582]
train_epoch: 1003, loss: 0.6505, recall20: 0.0000 recall10: 0.0000 [9.0670]
train_epoch: 1004, loss: 0.6505, recall20: 0.0000 recall10: 0.0000 [9.0766]
train_epoch: 1005, loss: 0.6504, recall20: 0.0000 recall10: 0.0000 [9.0862]
train_epoch: 1006, loss: 0.6504, recall20: 0.0000 recall10: 0.0000 [9.0946]
train_epoch: 1007, loss: 0.6503, recall20: 0.0000 recall10: 0.0000 [9.1041]
train_epoch: 1008, loss: 0.6503, recall20: 0.0000 recall10: 0.0000 [9.1136]
train_epoch: 1009, loss: 0.6502, recall20: 0.0000 recall10: 0.0000 [9.1227]
train_epoch: 1010, loss: 0.6502, recall20: 0.0000 recall10: 0.0000 [9.1319]
train_epoch: 1011, loss: 0.6501, recall20: 0.0000 recall10: 0.0000 [9.1410]
train_epoch: 1012, loss: 0.6501, recall20: 0.0000 recall10: 0.0000 [9.1506]
train_epoch: 1013, loss: 0.6500, recall20: 0.0000 recall10: 0.0000 [9.1601]
train_epoch: 1014, loss: 0.6500, recall20: 0.0000 recall10: 0.0000 [9.1694]
train_epoch: 1015, loss: 0.6499, recall20: 0.0000 recall10: 0.0000 [9.1782]
train_epoch: 1016, loss: 0.6499, recall20: 0.0000 recall10: 0.0000 [9.1877]
train_epoch: 1017, loss: 0.6499, recall20: 0.0000 recall10: 0.0000 [9.1973]
train_epoch: 1018, loss: 0.6498, recall20: 0.0000 recall10: 0.0000 [9.2060]
train_epoch: 1019, loss: 0.6498, recall20: 0.0000 recall10: 0.0000 [9.2149]
train_epoch: 1020, loss: 0.6497, recall20: 0.0000 recall10: 0.0000 [9.2244]
train_epoch: 1021, loss: 0.6497, recall20: 0.0000 recall10: 0.0000 [9.2332]
train_epoch: 1022, loss: 0.6496, recall20: 0.0000 recall10: 0.0000 [9.2428]
