{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6799, recall20: 0.0000 recall10: 0.0000 [48.1889]
train_epoch: 1002, loss: 0.6799, recall20: 0.0000 recall10: 0.0000 [48.2399]
train_epoch: 1003, loss: 0.6799, recall20: 0.0000 recall10: 0.0000 [48.2919]
train_epoch: 1004, loss: 0.6799, recall20: 0.0000 recall10: 0.0000 [48.3457]
train_epoch: 1005, loss: 0.6799, recall20: 0.0000 recall10: 0.0000 [48.3961]
train_epoch: 1006, loss: 0.6799, recall20: 0.0000 recall10: 0.0000 [48.4468]
train_epoch: 1007, loss: 0.6799, recall20: 0.0000 recall10: 0.0000 [48.4980]
train_epoch: 1008, loss: 0.6799, recall20: 0.0000 recall10: 0.0000 [48.5490]
train_epoch: 1009, loss: 0.6798, recall20: 0.0000 recall10: 0.0000 [48.6005]
train_epoch: 1010, loss: 0.6798, recall20: 0.0000 recall10: 0.0000 [48.6507]
train_epoch: 1011, loss: 0.6798, recall20: 0.0000 recall10: 0.0000 [48.6977]
train_epoch: 1012, loss: 0.6798, recall20: 0.0000 recall10: 0.0000 [48.7463]
train_epoch: 1013, loss: 0.6798, recall20: 0.0000 recall10: 0.0000 [48.7921]
train_epoch: 1014, loss: 0.6798, recall20: 0.0000 recall10: 0.0000 [48.8341]
train_epoch: 1015, loss: 0.6798, recall20: 0.0000 recall10: 0.0000 [48.8745]
train_epoch: 1016, loss: 0.6798, recall20: 0.0000 recall10: 0.0000 [48.9177]
train_epoch: 1017, loss: 0.6798, recall20: 0.0000 recall10: 0.0000 [48.9571]
train_epoch: 1018, loss: 0.6797, recall20: 0.0000 recall10: 0.0000 [49.0013]
train_epoch: 1019, loss: 0.6797, recall20: 0.0000 recall10: 0.0000 [49.0372]
train_epoch: 1020, loss: 0.6797, recall20: 0.0000 recall10: 0.0000 [49.0845]
train_epoch: 1021, loss: 0.6797, recall20: 0.0000 recall10: 0.0000 [49.1321]
train_epoch: 1022, loss: 0.6797, recall20: 0.0000 recall10: 0.0000 [49.1783]
train_epoch: 1023, loss: 0.6797, recall20: 0.0000 recall10: 0.0000 [49.2222]
train_epoch: 1024, loss: 0.6797, recall20: 0.0000 recall10: 0.0000 [49.2595]
train_epoch: 1025, loss: 0.6797, recall20: 0.0000 recall10: 0.0000 [49.2936]
train_epoch: 1026, loss: 0.6796, recall20: 0.0000 recall10: 0.0000 [49.3408]
train_epoch: 1027, loss: 0.6796, recall20: 0.0000 recall10: 0.0000 [49.3905]
train_epoch: 1028, loss: 0.6796, recall20: 0.0000 recall10: 0.0000 [49.4411]
train_epoch: 1029, loss: 0.6796, recall20: 0.0000 recall10: 0.0000 [49.4904]
train_epoch: 1030, loss: 0.6796, recall20: 0.0000 recall10: 0.0000 [49.5378]
train_epoch: 1031, loss: 0.6796, recall20: 0.0000 recall10: 0.0000 [49.5768]
train_epoch: 1032, loss: 0.6796, recall20: 0.0000 recall10: 0.0000 [49.6219]
train_epoch: 1033, loss: 0.6796, recall20: 0.0000 recall10: 0.0000 [49.6562]
train_epoch: 1034, loss: 0.6796, recall20: 0.0000 recall10: 0.0000 [49.6955]
train_epoch: 1035, loss: 0.6795, recall20: 0.0000 recall10: 0.0000 [49.7412]
train_epoch: 1036, loss: 0.6795, recall20: 0.0000 recall10: 0.0000 [49.7898]
train_epoch: 1037, loss: 0.6795, recall20: 0.0000 recall10: 0.0000 [49.8322]
train_epoch: 1038, loss: 0.6795, recall20: 0.0000 recall10: 0.0000 [49.8780]
train_epoch: 1039, loss: 0.6795, recall20: 0.0000 recall10: 0.0000 [49.9261]
train_epoch: 1040, loss: 0.6795, recall20: 0.0000 recall10: 0.0000 [49.9676]
train_epoch: 1041, loss: 0.6795, recall20: 0.0000 recall10: 0.0000 [50.0090]
train_epoch: 1042, loss: 0.6795, recall20: 0.0000 recall10: 0.0000 [50.0512]
train_epoch: 1043, loss: 0.6795, recall20: 0.0000 recall10: 0.0000 [50.1025]
train_epoch: 1044, loss: 0.6794, recall20: 0.0000 recall10: 0.0000 [50.1539]
train_epoch: 1045, loss: 0.6794, recall20: 0.0000 recall10: 0.0000 [50.2047]
train_epoch: 1046, loss: 0.6794, recall20: 0.0000 recall10: 0.0000 [50.2515]
