{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'h'}
train_epoch: 1001, loss: 0.7921, recall20: 0.0000 recall10: 0.0000 [10.2099]
train_epoch: 1002, loss: 0.7920, recall20: 0.0000 recall10: 0.0000 [10.2221]
train_epoch: 1003, loss: 0.7920, recall20: 0.0000 recall10: 0.0000 [10.2316]
train_epoch: 1004, loss: 0.7920, recall20: 0.0000 recall10: 0.0000 [10.2411]
train_epoch: 1005, loss: 0.7920, recall20: 0.0000 recall10: 0.0000 [10.2529]
train_epoch: 1006, loss: 0.7919, recall20: 0.0000 recall10: 0.0000 [10.2636]
train_epoch: 1007, loss: 0.7919, recall20: 0.0000 recall10: 0.0000 [10.2727]
train_epoch: 1008, loss: 0.7919, recall20: 0.0000 recall10: 0.0000 [10.2820]
train_epoch: 1009, loss: 0.7918, recall20: 0.0000 recall10: 0.0000 [10.2915]
train_epoch: 1010, loss: 0.7918, recall20: 0.0000 recall10: 0.0000 [10.3011]
train_epoch: 1011, loss: 0.7918, recall20: 0.0000 recall10: 0.0000 [10.3111]
train_epoch: 1012, loss: 0.7917, recall20: 0.0000 recall10: 0.0000 [10.3210]
train_epoch: 1013, loss: 0.7917, recall20: 0.0000 recall10: 0.0000 [10.3307]
train_epoch: 1014, loss: 0.7917, recall20: 0.0000 recall10: 0.0000 [10.3400]
train_epoch: 1015, loss: 0.7917, recall20: 0.0000 recall10: 0.0000 [10.3499]
train_epoch: 1016, loss: 0.7916, recall20: 0.0000 recall10: 0.0000 [10.3609]
train_epoch: 1017, loss: 0.7916, recall20: 0.0000 recall10: 0.0000 [10.3717]
train_epoch: 1018, loss: 0.7916, recall20: 0.0000 recall10: 0.0000 [10.3814]
train_epoch: 1019, loss: 0.7916, recall20: 0.0000 recall10: 0.0000 [10.3920]
train_epoch: 1020, loss: 0.7915, recall20: 0.0000 recall10: 0.0000 [10.4018]
train_epoch: 1021, loss: 0.7915, recall20: 0.0000 recall10: 0.0000 [10.4131]
train_epoch: 1022, loss: 0.7915, recall20: 0.0000 recall10: 0.0000 [10.4231]
train_epoch: 1023, loss: 0.7915, recall20: 0.0000 recall10: 0.0000 [10.4328]
train_epoch: 1024, loss: 0.7914, recall20: 0.0000 recall10: 0.0000 [10.4433]
train_epoch: 1025, loss: 0.7914, recall20: 0.0000 recall10: 0.0000 [10.4538]
train_epoch: 1026, loss: 0.7914, recall20: 0.0000 recall10: 0.0000 [10.4644]
train_epoch: 1027, loss: 0.7914, recall20: 0.0000 recall10: 0.0000 [10.4735]
train_epoch: 1028, loss: 0.7913, recall20: 0.0000 recall10: 0.0000 [10.4852]
train_epoch: 1029, loss: 0.7913, recall20: 0.0000 recall10: 0.0000 [10.4960]
train_epoch: 1030, loss: 0.7913, recall20: 0.0000 recall10: 0.0000 [10.5051]
train_epoch: 1031, loss: 0.7913, recall20: 0.0000 recall10: 0.0000 [10.5175]
train_epoch: 1032, loss: 0.7912, recall20: 0.0000 recall10: 0.0000 [10.5274]
train_epoch: 1033, loss: 0.7912, recall20: 0.0000 recall10: 0.0000 [10.5371]
train_epoch: 1034, loss: 0.7912, recall20: 0.0000 recall10: 0.0000 [10.5479]
train_epoch: 1035, loss: 0.7912, recall20: 0.0000 recall10: 0.0000 [10.5584]
train_epoch: 1036, loss: 0.7911, recall20: 0.0000 recall10: 0.0000 [10.5690]
train_epoch: 1037, loss: 0.7911, recall20: 0.0000 recall10: 0.0000 [10.5788]
train_epoch: 1038, loss: 0.7911, recall20: 0.0000 recall10: 0.0000 [10.5887]
train_epoch: 1039, loss: 0.7911, recall20: 0.0000 recall10: 0.0000 [10.6002]
train_epoch: 1040, loss: 0.7910, recall20: 0.0000 recall10: 0.0000 [10.6093]
train_epoch: 1041, loss: 0.7910, recall20: 0.0000 recall10: 0.0000 [10.6193]
train_epoch: 1042, loss: 0.7910, recall20: 0.0000 recall10: 0.0000 [10.6418]
train_epoch: 1043, loss: 0.7909, recall20: 0.0000 recall10: 0.0000 [10.6547]
train_epoch: 1044, loss: 0.7909, recall20: 0.0000 recall10: 0.0000 [10.6645]
train_epoch: 1045, loss: 0.7909, recall20: 0.0000 recall10: 0.0000 [10.6737]
train_epoch: 1046, loss: 0.7909, recall20: 0.0000 recall10: 0.0000 [10.6849]
train_epoch: 1047, loss: 0.7908, recall20: 0.0000 recall10: 0.0000 [10.6969]
train_epoch: 1048, loss: 0.7908, recall20: 0.0000 recall10: 0.0000 [10.7061]
train_epoch: 1049, loss: 0.7908, recall20: 0.0000 recall10: 0.0000 [10.7159]
train_epoch: 1050, loss: 0.7908, recall20: 0.0000 recall10: 0.0000 [10.7253]
train_epoch: 1051, loss: 0.7907, recall20: 0.0000 recall10: 0.0000 [10.7349]
train_epoch: 1052, loss: 0.7907, recall20: 0.0000 recall10: 0.0000 [10.7447]
train_epoch: 1053, loss: 0.7907, recall20: 0.0000 recall10: 0.0000 [10.7571]
train_epoch: 1054, loss: 0.7906, recall20: 0.0000 recall10: 0.0000 [10.7670]
train_epoch: 1055, loss: 0.7906, recall20: 0.0000 recall10: 0.0000 [10.7769]
train_epoch: 1056, loss: 0.7906, recall20: 0.0000 recall10: 0.0000 [10.7873]
train_epoch: 1057, loss: 0.7906, recall20: 0.0000 recall10: 0.0000 [10.7971]
train_epoch: 1058, loss: 0.7905, recall20: 0.0000 recall10: 0.0000 [10.8061]
train_epoch: 1059, loss: 0.7905, recall20: 0.0000 recall10: 0.0000 [10.8166]
train_epoch: 1060, loss: 0.7905, recall20: 0.0000 recall10: 0.0000 [10.8255]
train_epoch: 1061, loss: 0.7905, recall20: 0.0000 recall10: 0.0000 [10.8374]
train_epoch: 1062, loss: 0.7905, recall20: 0.0000 recall10: 0.0000 [10.8489]
train_epoch: 1063, loss: 0.7904, recall20: 0.0000 recall10: 0.0000 [10.8598]
train_epoch: 1064, loss: 0.7904, recall20: 0.0000 recall10: 0.0000 [10.8704]
train_epoch: 1065, loss: 0.7904, recall20: 0.0000 recall10: 0.0000 [10.8806]
train_epoch: 1066, loss: 0.7903, recall20: 0.0000 recall10: 0.0000 [10.8896]
train_epoch: 1067, loss: 0.7903, recall20: 0.0000 recall10: 0.0000 [10.8986]
train_epoch: 1068, loss: 0.7903, recall20: 0.0000 recall10: 0.0000 [10.9090]
train_epoch: 1069, loss: 0.7903, recall20: 0.0000 recall10: 0.0000 [10.9184]
train_epoch: 1070, loss: 0.7902, recall20: 0.0000 recall10: 0.0000 [10.9285]
train_epoch: 1071, loss: 0.7902, recall20: 0.0000 recall10: 0.0000 [10.9384]
train_epoch: 1072, loss: 0.7902, recall20: 0.0000 recall10: 0.0000 [10.9478]
train_epoch: 1073, loss: 0.7902, recall20: 0.0000 recall10: 0.0000 [10.9584]
train_epoch: 1074, loss: 0.7901, recall20: 0.0000 recall10: 0.0000 [10.9681]
train_epoch: 1075, loss: 0.7901, recall20: 0.0000 recall10: 0.0000 [10.9769]
train_epoch: 1076, loss: 0.7901, recall20: 0.0000 recall10: 0.0000 [10.9864]
train_epoch: 1077, loss: 0.7901, recall20: 0.0000 recall10: 0.0000 [10.9956]
train_epoch: 1078, loss: 0.7900, recall20: 0.0000 recall10: 0.0000 [11.0052]
train_epoch: 1079, loss: 0.7900, recall20: 0.0000 recall10: 0.0000 [11.0148]
train_epoch: 1080, loss: 0.7900, recall20: 0.0000 recall10: 0.0000 [11.0242]
train_epoch: 1081, loss: 0.7900, recall20: 0.0000 recall10: 0.0000 [11.0329]
train_epoch: 1082, loss: 0.7899, recall20: 0.0000 recall10: 0.0000 [11.0447]
train_epoch: 1083, loss: 0.7899, recall20: 0.0000 recall10: 0.0000 [11.0554]
train_epoch: 1084, loss: 0.7899, recall20: 0.0000 recall10: 0.0000 [11.0650]
train_epoch: 1085, loss: 0.7898, recall20: 0.0000 recall10: 0.0000 [11.0743]
train_epoch: 1086, loss: 0.7898, recall20: 0.0000 recall10: 0.0000 [11.0838]
train_epoch: 1087, loss: 0.7898, recall20: 0.0000 recall10: 0.0000 [11.0930]
train_epoch: 1088, loss: 0.7898, recall20: 0.0000 recall10: 0.0000 [11.1036]
train_epoch: 1089, loss: 0.7897, recall20: 0.0000 recall10: 0.0000 [11.1135]
