{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'i'}
train_epoch: 1001, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.1328]
train_epoch: 1002, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.1443]
train_epoch: 1003, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.1541]
train_epoch: 1004, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.1641]
train_epoch: 1005, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.1740]
train_epoch: 1006, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.1846]
train_epoch: 1007, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.1954]
train_epoch: 1008, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.2055]
train_epoch: 1009, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.2173]
train_epoch: 1010, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.2277]
train_epoch: 1011, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.2368]
train_epoch: 1012, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.2478]
train_epoch: 1013, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.2579]
train_epoch: 1014, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.2685]
train_epoch: 1015, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.2792]
train_epoch: 1016, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.2886]
train_epoch: 1017, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.2991]
train_epoch: 1018, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.3095]
train_epoch: 1019, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.3189]
train_epoch: 1020, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.3282]
train_epoch: 1021, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.3370]
train_epoch: 1022, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.3463]
train_epoch: 1023, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.3553]
train_epoch: 1024, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.3644]
train_epoch: 1025, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.3728]
train_epoch: 1026, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.3826]
train_epoch: 1027, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.3938]
train_epoch: 1028, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.4032]
train_epoch: 1029, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.4129]
train_epoch: 1030, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.4229]
train_epoch: 1031, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.4325]
train_epoch: 1032, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.4420]
train_epoch: 1033, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.4514]
train_epoch: 1034, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.4609]
train_epoch: 1035, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.4706]
train_epoch: 1036, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.4804]
train_epoch: 1037, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.4896]
train_epoch: 1038, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.4987]
train_epoch: 1039, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.5077]
train_epoch: 1040, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.5167]
train_epoch: 1041, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.5260]
train_epoch: 1042, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.5348]
train_epoch: 1043, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.5441]
train_epoch: 1044, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.5535]
train_epoch: 1045, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.5627]
train_epoch: 1046, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.5721]
train_epoch: 1047, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.5824]
train_epoch: 1048, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.5936]
train_epoch: 1049, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.6035]
train_epoch: 1050, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.6128]
train_epoch: 1051, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.6228]
train_epoch: 1052, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.6322]
train_epoch: 1053, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.6411]
train_epoch: 1054, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.6496]
train_epoch: 1055, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.6584]
train_epoch: 1056, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.6670]
train_epoch: 1057, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.6761]
train_epoch: 1058, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.6846]
train_epoch: 1059, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.6934]
train_epoch: 1060, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.7021]
train_epoch: 1061, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [14.7106]
