{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6651, recall20: 0.0000 recall10: 0.0000 [74.0637]
train_epoch: 1002, loss: 0.6651, recall20: 0.0000 recall10: 0.0000 [74.1472]
train_epoch: 1003, loss: 0.6650, recall20: 0.0000 recall10: 0.0000 [74.2268]
train_epoch: 1004, loss: 0.6650, recall20: 0.0000 recall10: 0.0000 [74.3043]
train_epoch: 1005, loss: 0.6650, recall20: 0.0000 recall10: 0.0000 [74.3812]
train_epoch: 1006, loss: 0.6649, recall20: 0.0000 recall10: 0.0000 [74.4604]
train_epoch: 1007, loss: 0.6649, recall20: 0.0000 recall10: 0.0000 [74.5410]
train_epoch: 1008, loss: 0.6649, recall20: 0.0000 recall10: 0.0000 [74.6204]
train_epoch: 1009, loss: 0.6648, recall20: 0.0000 recall10: 0.0000 [74.7012]
train_epoch: 1010, loss: 0.6648, recall20: 0.0000 recall10: 0.0000 [74.7805]
train_epoch: 1011, loss: 0.6647, recall20: 0.0000 recall10: 0.0000 [74.8601]
train_epoch: 1012, loss: 0.6647, recall20: 0.0000 recall10: 0.0000 [74.9383]
train_epoch: 1013, loss: 0.6647, recall20: 0.0000 recall10: 0.0000 [75.0166]
train_epoch: 1014, loss: 0.6646, recall20: 0.0000 recall10: 0.0000 [75.0969]
train_epoch: 1015, loss: 0.6646, recall20: 0.0000 recall10: 0.0000 [75.1764]
train_epoch: 1016, loss: 0.6645, recall20: 0.0000 recall10: 0.0000 [75.2559]
train_epoch: 1017, loss: 0.6645, recall20: 0.0000 recall10: 0.0000 [75.3362]
train_epoch: 1018, loss: 0.6645, recall20: 0.0000 recall10: 0.0000 [75.4148]
train_epoch: 1019, loss: 0.6644, recall20: 0.0000 recall10: 0.0000 [75.4948]
train_epoch: 1020, loss: 0.6644, recall20: 0.0000 recall10: 0.0000 [75.5742]
train_epoch: 1021, loss: 0.6643, recall20: 0.0000 recall10: 0.0000 [75.6544]
train_epoch: 1022, loss: 0.6643, recall20: 0.0000 recall10: 0.0000 [75.7343]
train_epoch: 1023, loss: 0.6643, recall20: 0.0000 recall10: 0.0000 [75.8139]
train_epoch: 1024, loss: 0.6642, recall20: 0.0000 recall10: 0.0000 [75.8932]
train_epoch: 1025, loss: 0.6642, recall20: 0.0000 recall10: 0.0000 [75.9725]
train_epoch: 1026, loss: 0.6641, recall20: 0.0000 recall10: 0.0000 [76.0511]
train_epoch: 1027, loss: 0.6641, recall20: 0.0000 recall10: 0.0000 [76.1314]
train_epoch: 1028, loss: 0.6641, recall20: 0.0000 recall10: 0.0000 [76.2111]
train_epoch: 1029, loss: 0.6640, recall20: 0.0000 recall10: 0.0000 [76.2903]
train_epoch: 1030, loss: 0.6640, recall20: 0.0000 recall10: 0.0000 [76.3691]
train_epoch: 1031, loss: 0.6639, recall20: 0.0000 recall10: 0.0000 [76.4492]
train_epoch: 1032, loss: 0.6639, recall20: 0.0000 recall10: 0.0000 [76.5290]
train_epoch: 1033, loss: 0.6639, recall20: 0.0000 recall10: 0.0000 [76.6078]
train_epoch: 1034, loss: 0.6638, recall20: 0.0000 recall10: 0.0000 [76.6884]
train_epoch: 1035, loss: 0.6638, recall20: 0.0000 recall10: 0.0000 [76.7684]
train_epoch: 1036, loss: 0.6637, recall20: 0.0000 recall10: 0.0000 [76.8480]
train_epoch: 1037, loss: 0.6637, recall20: 0.0000 recall10: 0.0000 [76.9285]
train_epoch: 1038, loss: 0.6637, recall20: 0.0000 recall10: 0.0000 [77.0075]
train_epoch: 1039, loss: 0.6636, recall20: 0.0000 recall10: 0.0000 [77.0881]
train_epoch: 1040, loss: 0.6636, recall20: 0.0000 recall10: 0.0000 [77.1686]
train_epoch: 1041, loss: 0.6635, recall20: 0.0000 recall10: 0.0000 [77.2478]
train_epoch: 1042, loss: 0.6635, recall20: 0.0000 recall10: 0.0000 [77.3274]
train_epoch: 1043, loss: 0.6635, recall20: 0.0000 recall10: 0.0000 [77.4084]
train_epoch: 1044, loss: 0.6634, recall20: 0.0000 recall10: 0.0000 [77.4888]
train_epoch: 1045, loss: 0.6634, recall20: 0.0000 recall10: 0.0000 [77.5678]
train_epoch: 1046, loss: 0.6633, recall20: 0.0000 recall10: 0.0000 [77.6487]
train_epoch: 1047, loss: 0.6633, recall20: 0.0000 recall10: 0.0000 [77.7286]
train_epoch: 1048, loss: 0.6633, recall20: 0.0000 recall10: 0.0000 [77.8079]
train_epoch: 1049, loss: 0.6632, recall20: 0.0000 recall10: 0.0000 [77.8884]
train_epoch: 1050, loss: 0.6632, recall20: 0.0000 recall10: 0.0000 [77.9666]
train_epoch: 1051, loss: 0.6631, recall20: 0.0000 recall10: 0.0000 [78.0444]
train_epoch: 1052, loss: 0.6631, recall20: 0.0000 recall10: 0.0000 [78.1234]
train_epoch: 1053, loss: 0.6631, recall20: 0.0000 recall10: 0.0000 [78.2027]
train_epoch: 1054, loss: 0.6630, recall20: 0.0000 recall10: 0.0000 [78.2823]
train_epoch: 1055, loss: 0.6630, recall20: 0.0000 recall10: 0.0000 [78.3621]
train_epoch: 1056, loss: 0.6630, recall20: 0.0000 recall10: 0.0000 [78.4410]
train_epoch: 1057, loss: 0.6629, recall20: 0.0000 recall10: 0.0000 [78.5208]
train_epoch: 1058, loss: 0.6629, recall20: 0.0000 recall10: 0.0000 [78.6007]
train_epoch: 1059, loss: 0.6628, recall20: 0.0000 recall10: 0.0000 [78.6803]
train_epoch: 1060, loss: 0.6628, recall20: 0.0000 recall10: 0.0000 [78.7588]
train_epoch: 1061, loss: 0.6628, recall20: 0.0000 recall10: 0.0000 [78.8385]
train_epoch: 1062, loss: 0.6627, recall20: 0.0000 recall10: 0.0000 [78.9174]
train_epoch: 1063, loss: 0.6627, recall20: 0.0000 recall10: 0.0000 [78.9948]
train_epoch: 1064, loss: 0.6626, recall20: 0.0000 recall10: 0.0000 [79.0744]
train_epoch: 1065, loss: 0.6626, recall20: 0.0000 recall10: 0.0000 [79.1539]
train_epoch: 1066, loss: 0.6626, recall20: 0.0000 recall10: 0.0000 [79.2338]
train_epoch: 1067, loss: 0.6625, recall20: 0.0000 recall10: 0.0000 [79.3129]
train_epoch: 1068, loss: 0.6625, recall20: 0.0000 recall10: 0.0000 [79.3924]
train_epoch: 1069, loss: 0.6624, recall20: 0.0000 recall10: 0.0000 [79.4718]
train_epoch: 1070, loss: 0.6624, recall20: 0.0000 recall10: 0.0000 [79.5512]
train_epoch: 1071, loss: 0.6623, recall20: 0.0000 recall10: 0.0000 [79.6317]
train_epoch: 1072, loss: 0.6623, recall20: 0.0000 recall10: 0.0000 [79.7111]
train_epoch: 1073, loss: 0.6623, recall20: 0.0000 recall10: 0.0000 [79.7904]
train_epoch: 1074, loss: 0.6622, recall20: 0.0000 recall10: 0.0000 [79.8690]
train_epoch: 1075, loss: 0.6622, recall20: 0.0000 recall10: 0.0000 [79.9468]
train_epoch: 1076, loss: 0.6621, recall20: 0.0000 recall10: 0.0000 [80.0242]
train_epoch: 1077, loss: 0.6621, recall20: 0.0000 recall10: 0.0000 [80.1029]
train_epoch: 1078, loss: 0.6621, recall20: 0.0000 recall10: 0.0000 [80.1814]
train_epoch: 1079, loss: 0.6620, recall20: 0.0000 recall10: 0.0000 [80.2613]
train_epoch: 1080, loss: 0.6620, recall20: 0.0000 recall10: 0.0000 [80.3412]
train_epoch: 1081, loss: 0.6619, recall20: 0.0000 recall10: 0.0000 [80.4202]
train_epoch: 1082, loss: 0.6619, recall20: 0.0000 recall10: 0.0000 [80.4992]
train_epoch: 1083, loss: 0.6619, recall20: 0.0000 recall10: 0.0000 [80.5782]
train_epoch: 1084, loss: 0.6618, recall20: 0.0000 recall10: 0.0000 [80.6573]
train_epoch: 1085, loss: 0.6618, recall20: 0.0000 recall10: 0.0000 [80.7370]
train_epoch: 1086, loss: 0.6617, recall20: 0.0000 recall10: 0.0000 [80.8170]
train_epoch: 1087, loss: 0.6617, recall20: 0.0000 recall10: 0.0000 [80.8962]
train_epoch: 1088, loss: 0.6617, recall20: 0.0000 recall10: 0.0000 [80.9724]
train_epoch: 1089, loss: 0.6616, recall20: 0.0000 recall10: 0.0000 [81.0506]
train_epoch: 1090, loss: 0.6616, recall20: 0.0000 recall10: 0.0000 [81.1280]
train_epoch: 1091, loss: 0.6615, recall20: 0.0000 recall10: 0.0000 [81.2072]
train_epoch: 1092, loss: 0.6615, recall20: 0.0000 recall10: 0.0000 [81.2859]
train_epoch: 1093, loss: 0.6615, recall20: 0.0000 recall10: 0.0000 [81.3653]
train_epoch: 1094, loss: 0.6614, recall20: 0.0000 recall10: 0.0000 [81.4449]
train_epoch: 1095, loss: 0.6614, recall20: 0.0000 recall10: 0.0000 [81.5239]
train_epoch: 1096, loss: 0.6613, recall20: 0.0000 recall10: 0.0000 [81.6020]
train_epoch: 1097, loss: 0.6613, recall20: 0.0000 recall10: 0.0000 [81.6820]
train_epoch: 1098, loss: 0.6613, recall20: 0.0000 recall10: 0.0000 [81.7613]
train_epoch: 1099, loss: 0.6612, recall20: 0.0000 recall10: 0.0000 [81.8386]
train_epoch: 1100, loss: 0.6612, recall20: 0.0000 recall10: 0.0000 [81.9163]
train_epoch: 1101, loss: 0.6611, recall20: 0.0000 recall10: 0.0000 [81.9959]
train_epoch: 1102, loss: 0.6611, recall20: 0.0000 recall10: 0.0000 [82.0733]
train_epoch: 1103, loss: 0.6611, recall20: 0.0000 recall10: 0.0000 [82.1517]
train_epoch: 1104, loss: 0.6610, recall20: 0.0000 recall10: 0.0000 [82.2302]
train_epoch: 1105, loss: 0.6610, recall20: 0.0000 recall10: 0.0000 [82.3090]
train_epoch: 1106, loss: 0.6609, recall20: 0.0000 recall10: 0.0000 [82.3880]
train_epoch: 1107, loss: 0.6609, recall20: 0.0000 recall10: 0.0000 [82.4669]
train_epoch: 1108, loss: 0.6609, recall20: 0.0000 recall10: 0.0000 [82.5453]
train_epoch: 1109, loss: 0.6608, recall20: 0.0000 recall10: 0.0000 [82.6248]
train_epoch: 1110, loss: 0.6608, recall20: 0.0000 recall10: 0.0000 [82.7040]
train_epoch: 1111, loss: 0.6607, recall20: 0.0000 recall10: 0.0000 [82.7821]
train_epoch: 1112, loss: 0.6607, recall20: 0.0000 recall10: 0.0000 [82.8605]
train_epoch: 1113, loss: 0.6606, recall20: 0.0000 recall10: 0.0000 [82.9395]
train_epoch: 1114, loss: 0.6606, recall20: 0.0000 recall10: 0.0000 [83.0188]
train_epoch: 1115, loss: 0.6606, recall20: 0.0000 recall10: 0.0000 [83.0966]
train_epoch: 1116, loss: 0.6605, recall20: 0.0000 recall10: 0.0000 [83.1761]
train_epoch: 1117, loss: 0.6605, recall20: 0.0000 recall10: 0.0000 [83.2561]
train_epoch: 1118, loss: 0.6604, recall20: 0.0000 recall10: 0.0000 [83.3345]
train_epoch: 1119, loss: 0.6604, recall20: 0.0000 recall10: 0.0000 [83.4161]
train_epoch: 1120, loss: 0.6604, recall20: 0.0000 recall10: 0.0000 [83.4954]
train_epoch: 1121, loss: 0.6603, recall20: 0.0000 recall10: 0.0000 [83.5758]
train_epoch: 1122, loss: 0.6603, recall20: 0.0000 recall10: 0.0000 [83.6550]
train_epoch: 1123, loss: 0.6602, recall20: 0.0000 recall10: 0.0000 [83.7341]
train_epoch: 1124, loss: 0.6602, recall20: 0.0000 recall10: 0.0000 [83.8137]
train_epoch: 1125, loss: 0.6602, recall20: 0.0000 recall10: 0.0000 [83.8920]
train_epoch: 1126, loss: 0.6601, recall20: 0.0000 recall10: 0.0000 [83.9704]
train_epoch: 1127, loss: 0.6601, recall20: 0.0000 recall10: 0.0000 [84.0491]
train_epoch: 1128, loss: 0.6600, recall20: 0.0000 recall10: 0.0000 [84.1280]
train_epoch: 1129, loss: 0.6600, recall20: 0.0000 recall10: 0.0000 [84.2072]
train_epoch: 1130, loss: 0.6600, recall20: 0.0000 recall10: 0.0000 [84.2879]
train_epoch: 1131, loss: 0.6599, recall20: 0.0000 recall10: 0.0000 [84.3663]
train_epoch: 1132, loss: 0.6599, recall20: 0.0000 recall10: 0.0000 [84.4446]
train_epoch: 1133, loss: 0.6598, recall20: 0.0000 recall10: 0.0000 [84.5224]
train_epoch: 1134, loss: 0.6598, recall20: 0.0000 recall10: 0.0000 [84.6013]
train_epoch: 1135, loss: 0.6598, recall20: 0.0000 recall10: 0.0000 [84.6803]
