{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.9990]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0150]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0267]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0381]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0491]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0606]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0718]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0834]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0955]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1068]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1193]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1303]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1413]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1521]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1631]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1740]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1862]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1973]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2083]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2200]
