{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 2.8984, recall20: 0.0000 recall10: 0.0000 [16.4570]
train_epoch: 1002, loss: 2.8984, recall20: 0.0000 recall10: 0.0000 [16.4988]
train_epoch: 1003, loss: 2.8984, recall20: 0.0000 recall10: 0.0000 [16.5422]
train_epoch: 1004, loss: 2.8984, recall20: 0.0000 recall10: 0.0000 [16.5860]
train_epoch: 1005, loss: 2.8984, recall20: 0.0000 recall10: 0.0000 [16.6281]
train_epoch: 1006, loss: 2.8983, recall20: 0.0000 recall10: 0.0000 [16.6717]
train_epoch: 1007, loss: 2.8983, recall20: 0.0000 recall10: 0.0000 [16.7163]
train_epoch: 1008, loss: 2.8983, recall20: 0.0000 recall10: 0.0000 [16.7604]
train_epoch: 1009, loss: 2.8983, recall20: 0.0000 recall10: 0.0000 [16.8044]
train_epoch: 1010, loss: 2.8983, recall20: 0.0000 recall10: 0.0000 [16.8455]
train_epoch: 1011, loss: 2.8983, recall20: 0.0000 recall10: 0.0000 [16.8827]
train_epoch: 1012, loss: 2.8982, recall20: 0.0000 recall10: 0.0000 [16.9246]
train_epoch: 1013, loss: 2.8982, recall20: 0.0000 recall10: 0.0000 [16.9680]
train_epoch: 1014, loss: 2.8982, recall20: 0.0000 recall10: 0.0000 [17.0044]
train_epoch: 1015, loss: 2.8982, recall20: 0.0000 recall10: 0.0000 [17.0465]
train_epoch: 1016, loss: 2.8982, recall20: 0.0000 recall10: 0.0000 [17.0906]
train_epoch: 1017, loss: 2.8981, recall20: 0.0000 recall10: 0.0000 [17.1353]
train_epoch: 1018, loss: 2.8981, recall20: 0.0000 recall10: 0.0000 [17.1804]
train_epoch: 1019, loss: 2.8981, recall20: 0.0000 recall10: 0.0000 [17.2172]
train_epoch: 1020, loss: 2.8981, recall20: 0.0000 recall10: 0.0000 [17.2594]
train_epoch: 1021, loss: 2.8981, recall20: 0.0000 recall10: 0.0000 [17.3004]
train_epoch: 1022, loss: 2.8981, recall20: 0.0000 recall10: 0.0000 [17.3398]
train_epoch: 1023, loss: 2.8980, recall20: 0.0000 recall10: 0.0000 [17.3797]
train_epoch: 1024, loss: 2.8980, recall20: 0.0000 recall10: 0.0000 [17.4233]
train_epoch: 1025, loss: 2.8980, recall20: 0.0000 recall10: 0.0000 [17.4670]
train_epoch: 1026, loss: 2.8980, recall20: 0.0000 recall10: 0.0000 [17.5121]
train_epoch: 1027, loss: 2.8980, recall20: 0.0000 recall10: 0.0000 [17.5556]
train_epoch: 1028, loss: 2.8979, recall20: 0.0000 recall10: 0.0000 [17.5994]
train_epoch: 1029, loss: 2.8979, recall20: 0.0000 recall10: 0.0000 [17.6431]
train_epoch: 1030, loss: 2.8979, recall20: 0.0000 recall10: 0.0000 [17.6852]
train_epoch: 1031, loss: 2.8979, recall20: 0.0000 recall10: 0.0000 [17.7256]
train_epoch: 1032, loss: 2.8979, recall20: 0.0000 recall10: 0.0000 [17.7667]
train_epoch: 1033, loss: 2.8979, recall20: 0.0000 recall10: 0.0000 [17.8101]
train_epoch: 1034, loss: 2.8978, recall20: 0.0000 recall10: 0.0000 [17.8532]
train_epoch: 1035, loss: 2.8978, recall20: 0.0000 recall10: 0.0000 [17.8945]
train_epoch: 1036, loss: 2.8978, recall20: 0.0000 recall10: 0.0000 [17.9401]
train_epoch: 1037, loss: 2.8978, recall20: 0.0000 recall10: 0.0000 [17.9830]
train_epoch: 1038, loss: 2.8978, recall20: 0.0000 recall10: 0.0000 [18.0233]
train_epoch: 1039, loss: 2.8977, recall20: 0.0000 recall10: 0.0000 [18.0641]
train_epoch: 1040, loss: 2.8977, recall20: 0.0000 recall10: 0.0000 [18.1041]
train_epoch: 1041, loss: 2.8977, recall20: 0.0000 recall10: 0.0000 [18.1465]
train_epoch: 1042, loss: 2.8977, recall20: 0.0000 recall10: 0.0000 [18.1852]
train_epoch: 1043, loss: 2.8977, recall20: 0.0000 recall10: 0.0000 [18.2283]
train_epoch: 1044, loss: 2.8976, recall20: 0.0000 recall10: 0.0000 [18.2723]
train_epoch: 1045, loss: 2.8976, recall20: 0.0000 recall10: 0.0000 [18.3166]
train_epoch: 1046, loss: 2.8976, recall20: 0.0000 recall10: 0.0000 [18.3614]
train_epoch: 1047, loss: 2.8976, recall20: 0.0000 recall10: 0.0000 [18.4041]
train_epoch: 1048, loss: 2.8976, recall20: 0.0000 recall10: 0.0000 [18.4468]
train_epoch: 1049, loss: 2.8976, recall20: 0.0000 recall10: 0.0000 [18.4890]
train_epoch: 1050, loss: 2.8975, recall20: 0.0000 recall10: 0.0000 [18.5322]
train_epoch: 1051, loss: 2.8975, recall20: 0.0000 recall10: 0.0000 [18.5704]
train_epoch: 1052, loss: 2.8975, recall20: 0.0000 recall10: 0.0000 [18.6063]
train_epoch: 1053, loss: 2.8975, recall20: 0.0000 recall10: 0.0000 [18.6456]
train_epoch: 1054, loss: 2.8975, recall20: 0.0000 recall10: 0.0000 [18.6888]
train_epoch: 1055, loss: 2.8974, recall20: 0.0000 recall10: 0.0000 [18.7324]
train_epoch: 1056, loss: 2.8974, recall20: 0.0000 recall10: 0.0000 [18.7770]
train_epoch: 1057, loss: 2.8974, recall20: 0.0000 recall10: 0.0000 [18.8167]
train_epoch: 1058, loss: 2.8974, recall20: 0.0000 recall10: 0.0000 [18.8567]
train_epoch: 1059, loss: 2.8974, recall20: 0.0000 recall10: 0.0000 [18.8942]
