{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [75.1094]
train_epoch: 1002, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [75.1956]
train_epoch: 1003, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [75.2780]
train_epoch: 1004, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [75.3613]
train_epoch: 1005, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [75.4438]
train_epoch: 1006, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [75.5276]
train_epoch: 1007, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [75.6100]
train_epoch: 1008, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [75.6936]
train_epoch: 1009, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [75.7770]
train_epoch: 1010, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [75.8603]
train_epoch: 1011, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [75.9434]
train_epoch: 1012, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [76.0265]
train_epoch: 1013, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [76.1102]
train_epoch: 1014, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [76.1939]
train_epoch: 1015, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [76.2770]
train_epoch: 1016, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [76.3600]
train_epoch: 1017, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [76.4434]
train_epoch: 1018, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [76.5266]
train_epoch: 1019, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [76.6105]
train_epoch: 1020, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [76.6936]
train_epoch: 1021, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [76.7761]
train_epoch: 1022, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [76.8590]
train_epoch: 1023, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [76.9421]
train_epoch: 1024, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [77.0249]
train_epoch: 1025, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [77.1076]
train_epoch: 1026, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [77.1899]
train_epoch: 1027, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [77.2723]
train_epoch: 1028, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [77.3550]
train_epoch: 1029, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [77.4371]
train_epoch: 1030, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [77.5201]
train_epoch: 1031, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [77.6027]
train_epoch: 1032, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [77.6854]
train_epoch: 1033, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [77.7686]
train_epoch: 1034, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [77.8524]
train_epoch: 1035, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [77.9350]
train_epoch: 1036, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [78.0180]
train_epoch: 1037, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [78.1015]
train_epoch: 1038, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [78.1848]
train_epoch: 1039, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [78.2674]
train_epoch: 1040, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [78.3506]
train_epoch: 1041, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [78.4333]
train_epoch: 1042, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [78.5166]
train_epoch: 1043, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [78.5991]
train_epoch: 1044, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [78.6814]
train_epoch: 1045, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [78.7640]
train_epoch: 1046, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [78.8460]
train_epoch: 1047, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [78.9288]
train_epoch: 1048, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [79.0124]
train_epoch: 1049, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [79.0950]
train_epoch: 1050, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [79.1785]
train_epoch: 1051, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [79.2612]
train_epoch: 1052, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [79.3440]
train_epoch: 1053, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [79.4270]
train_epoch: 1054, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [79.5095]
