{'cf': 'ri', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6924, recall20: 0.0000 recall10: 0.0000 [21.1348]
train_epoch: 1002, loss: 0.6924, recall20: 0.0000 recall10: 0.0000 [21.1865]
train_epoch: 1003, loss: 0.6924, recall20: 0.0000 recall10: 0.0000 [21.2353]
train_epoch: 1004, loss: 0.6924, recall20: 0.0000 recall10: 0.0000 [21.2841]
train_epoch: 1005, loss: 0.6924, recall20: 0.0000 recall10: 0.0000 [21.3354]
train_epoch: 1006, loss: 0.6924, recall20: 0.0000 recall10: 0.0000 [21.3832]
train_epoch: 1007, loss: 0.6924, recall20: 0.0000 recall10: 0.0000 [21.4300]
train_epoch: 1008, loss: 0.6924, recall20: 0.0000 recall10: 0.0000 [21.4801]
train_epoch: 1009, loss: 0.6924, recall20: 0.0000 recall10: 0.0000 [21.5257]
train_epoch: 1010, loss: 0.6924, recall20: 0.0000 recall10: 0.0000 [21.5750]
train_epoch: 1011, loss: 0.6924, recall20: 0.0000 recall10: 0.0000 [21.6232]
train_epoch: 1012, loss: 0.6924, recall20: 0.0000 recall10: 0.0000 [21.6672]
train_epoch: 1013, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [21.7169]
train_epoch: 1014, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [21.7621]
train_epoch: 1015, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [21.7988]
train_epoch: 1016, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [21.8489]
train_epoch: 1017, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [21.8965]
train_epoch: 1018, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [21.9433]
train_epoch: 1019, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [21.9767]
train_epoch: 1020, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [22.0257]
train_epoch: 1021, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [22.0733]
train_epoch: 1022, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [22.1214]
train_epoch: 1023, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [22.1702]
train_epoch: 1024, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [22.1943]
train_epoch: 1025, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [22.2429]
train_epoch: 1026, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [22.2914]
train_epoch: 1027, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [22.3389]
train_epoch: 1028, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [22.3855]
train_epoch: 1029, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [22.4289]
train_epoch: 1030, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [22.4759]
train_epoch: 1031, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [22.5203]
train_epoch: 1032, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [22.5677]
train_epoch: 1033, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [22.6169]
train_epoch: 1034, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [22.6632]
train_epoch: 1035, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [22.7114]
