{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [41.9250]
train_epoch: 1002, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [41.9376]
train_epoch: 1003, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [41.9465]
train_epoch: 1004, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [41.9554]
train_epoch: 1005, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [41.9642]
train_epoch: 1006, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [41.9729]
train_epoch: 1007, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [41.9821]
train_epoch: 1008, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [41.9916]
train_epoch: 1009, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.0014]
train_epoch: 1010, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.0107]
train_epoch: 1011, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.0205]
train_epoch: 1012, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.0315]
train_epoch: 1013, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.0425]
train_epoch: 1014, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.0525]
train_epoch: 1015, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.0619]
train_epoch: 1016, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.0710]
train_epoch: 1017, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.0797]
train_epoch: 1018, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.0886]
train_epoch: 1019, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.0969]
train_epoch: 1020, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.1049]
train_epoch: 1021, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.1134]
train_epoch: 1022, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.1222]
train_epoch: 1023, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.1314]
train_epoch: 1024, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.1402]
train_epoch: 1025, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.1489]
train_epoch: 1026, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.1573]
train_epoch: 1027, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.1654]
train_epoch: 1028, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.1736]
train_epoch: 1029, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.1826]
train_epoch: 1030, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.1925]
train_epoch: 1031, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.2012]
train_epoch: 1032, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.2103]
train_epoch: 1033, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.2190]
train_epoch: 1034, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.2275]
train_epoch: 1035, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.2362]
train_epoch: 1036, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.2445]
train_epoch: 1037, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.2525]
train_epoch: 1038, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.2611]
train_epoch: 1039, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.2702]
train_epoch: 1040, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.2792]
train_epoch: 1041, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.2886]
train_epoch: 1042, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.2977]
train_epoch: 1043, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.3065]
train_epoch: 1044, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.3156]
train_epoch: 1045, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.3254]
train_epoch: 1046, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.3352]
train_epoch: 1047, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.3444]
train_epoch: 1048, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.3536]
train_epoch: 1049, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.3624]
train_epoch: 1050, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.3728]
train_epoch: 1051, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.3823]
train_epoch: 1052, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.3916]
train_epoch: 1053, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.4011]
train_epoch: 1054, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.4111]
train_epoch: 1055, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.4201]
train_epoch: 1056, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.4294]
train_epoch: 1057, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.4408]
train_epoch: 1058, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.4511]
train_epoch: 1059, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.4597]
train_epoch: 1060, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.4696]
train_epoch: 1061, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.4794]
train_epoch: 1062, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.4913]
train_epoch: 1063, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.5016]
train_epoch: 1064, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.5117]
train_epoch: 1065, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.5214]
train_epoch: 1066, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.5310]
train_epoch: 1067, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.5410]
train_epoch: 1068, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.5517]
train_epoch: 1069, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.5649]
train_epoch: 1070, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.5743]
train_epoch: 1071, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.5836]
train_epoch: 1072, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.5926]
train_epoch: 1073, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.6022]
train_epoch: 1074, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.6111]
train_epoch: 1075, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.6207]
train_epoch: 1076, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.6305]
train_epoch: 1077, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.6398]
train_epoch: 1078, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.6494]
train_epoch: 1079, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.6608]
train_epoch: 1080, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [42.6703]
