{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [89.5517]
train_epoch: 1002, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [89.6215]
train_epoch: 1003, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [89.6932]
train_epoch: 1004, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [89.7634]
train_epoch: 1005, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [89.8346]
train_epoch: 1006, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [89.9049]
train_epoch: 1007, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [89.9742]
train_epoch: 1008, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [90.0454]
train_epoch: 1009, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [90.1176]
train_epoch: 1010, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [90.1882]
train_epoch: 1011, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [90.2578]
train_epoch: 1012, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [90.3270]
train_epoch: 1013, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [90.3975]
train_epoch: 1014, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [90.4646]
train_epoch: 1015, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [90.5372]
train_epoch: 1016, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [90.6037]
train_epoch: 1017, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [90.6734]
train_epoch: 1018, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [90.7421]
train_epoch: 1019, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [90.8082]
train_epoch: 1020, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [90.8802]
train_epoch: 1021, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [90.9466]
train_epoch: 1022, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [91.0172]
train_epoch: 1023, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [91.0862]
train_epoch: 1024, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [91.1537]
train_epoch: 1025, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [91.2240]
train_epoch: 1026, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [91.2928]
train_epoch: 1027, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [91.3634]
train_epoch: 1028, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [91.4400]
train_epoch: 1029, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [91.5014]
train_epoch: 1030, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [91.5712]
train_epoch: 1031, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [91.6415]
train_epoch: 1032, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [91.7114]
train_epoch: 1033, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [91.7822]
train_epoch: 1034, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [91.8504]
train_epoch: 1035, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [91.9155]
train_epoch: 1036, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [91.9864]
train_epoch: 1037, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [92.0570]
train_epoch: 1038, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [92.1280]
train_epoch: 1039, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [92.2000]
train_epoch: 1040, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [92.2715]
train_epoch: 1041, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [92.3363]
train_epoch: 1042, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [92.3985]
train_epoch: 1043, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [92.4660]
train_epoch: 1044, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [92.5372]
train_epoch: 1045, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [92.6022]
train_epoch: 1046, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [92.6674]
train_epoch: 1047, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [92.7357]
train_epoch: 1048, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [92.8063]
train_epoch: 1049, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [92.8739]
train_epoch: 1050, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [92.9455]
train_epoch: 1051, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [93.0124]
train_epoch: 1052, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [93.0836]
train_epoch: 1053, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [93.1512]
train_epoch: 1054, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [93.2252]
train_epoch: 1055, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [93.2884]
train_epoch: 1056, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [93.3597]
train_epoch: 1057, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [93.4274]
train_epoch: 1058, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [93.4960]
train_epoch: 1059, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [93.5647]
train_epoch: 1060, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [93.6330]
train_epoch: 1061, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [93.7049]
train_epoch: 1062, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [93.7758]
train_epoch: 1063, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [93.8474]
train_epoch: 1064, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [93.9205]
train_epoch: 1065, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [93.9905]
train_epoch: 1066, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [94.0602]
train_epoch: 1067, loss: 0.3388, recall20: 0.0000 recall10: 0.0000 [94.1263]
train_epoch: 1068, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [94.1995]
train_epoch: 1069, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [94.2702]
train_epoch: 1070, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [94.3416]
train_epoch: 1071, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [94.4093]
train_epoch: 1072, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [94.4783]
train_epoch: 1073, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [94.5437]
train_epoch: 1074, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [94.6123]
train_epoch: 1075, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [94.6845]
train_epoch: 1076, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [94.7533]
train_epoch: 1077, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [94.8238]
train_epoch: 1078, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [94.8948]
train_epoch: 1079, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [94.9617]
train_epoch: 1080, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [95.0312]
train_epoch: 1081, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [95.0993]
train_epoch: 1082, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [95.1732]
train_epoch: 1083, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [95.2472]
train_epoch: 1084, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [95.3211]
train_epoch: 1085, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [95.3916]
train_epoch: 1086, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [95.4627]
train_epoch: 1087, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [95.5318]
train_epoch: 1088, loss: 0.3387, recall20: 0.0000 recall10: 0.0000 [95.6001]
