{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6553, recall20: 0.0000 recall10: 0.0000 [110.1468]
train_epoch: 1002, loss: 0.6553, recall20: 0.0000 recall10: 0.0000 [110.2641]
train_epoch: 1003, loss: 0.6553, recall20: 0.0000 recall10: 0.0000 [110.3785]
train_epoch: 1004, loss: 0.6552, recall20: 0.0000 recall10: 0.0000 [110.4923]
train_epoch: 1005, loss: 0.6552, recall20: 0.0000 recall10: 0.0000 [110.6064]
train_epoch: 1006, loss: 0.6551, recall20: 0.0000 recall10: 0.0000 [110.7201]
train_epoch: 1007, loss: 0.6551, recall20: 0.0000 recall10: 0.0000 [110.8347]
train_epoch: 1008, loss: 0.6551, recall20: 0.0000 recall10: 0.0000 [110.9488]
train_epoch: 1009, loss: 0.6550, recall20: 0.0000 recall10: 0.0000 [111.0633]
train_epoch: 1010, loss: 0.6550, recall20: 0.0000 recall10: 0.0000 [111.1777]
train_epoch: 1011, loss: 0.6549, recall20: 0.0000 recall10: 0.0000 [111.2912]
train_epoch: 1012, loss: 0.6549, recall20: 0.0000 recall10: 0.0000 [111.4056]
train_epoch: 1013, loss: 0.6548, recall20: 0.0000 recall10: 0.0000 [111.5204]
train_epoch: 1014, loss: 0.6548, recall20: 0.0000 recall10: 0.0000 [111.6350]
train_epoch: 1015, loss: 0.6548, recall20: 0.0000 recall10: 0.0000 [111.7494]
train_epoch: 1016, loss: 0.6547, recall20: 0.0000 recall10: 0.0000 [111.8640]
train_epoch: 1017, loss: 0.6547, recall20: 0.0000 recall10: 0.0000 [111.9773]
train_epoch: 1018, loss: 0.6546, recall20: 0.0000 recall10: 0.0000 [112.0920]
train_epoch: 1019, loss: 0.6546, recall20: 0.0000 recall10: 0.0000 [112.2061]
train_epoch: 1020, loss: 0.6546, recall20: 0.0000 recall10: 0.0000 [112.3209]
train_epoch: 1021, loss: 0.6545, recall20: 0.0000 recall10: 0.0000 [112.4358]
train_epoch: 1022, loss: 0.6545, recall20: 0.0000 recall10: 0.0000 [112.5496]
train_epoch: 1023, loss: 0.6544, recall20: 0.0000 recall10: 0.0000 [112.6642]
train_epoch: 1024, loss: 0.6544, recall20: 0.0000 recall10: 0.0000 [112.7787]
train_epoch: 1025, loss: 0.6543, recall20: 0.0000 recall10: 0.0000 [112.8926]
train_epoch: 1026, loss: 0.6543, recall20: 0.0000 recall10: 0.0000 [113.0077]
train_epoch: 1027, loss: 0.6543, recall20: 0.0000 recall10: 0.0000 [113.1216]
train_epoch: 1028, loss: 0.6542, recall20: 0.0000 recall10: 0.0000 [113.2359]
train_epoch: 1029, loss: 0.6542, recall20: 0.0000 recall10: 0.0000 [113.3499]
train_epoch: 1030, loss: 0.6541, recall20: 0.0000 recall10: 0.0000 [113.4642]
train_epoch: 1031, loss: 0.6541, recall20: 0.0000 recall10: 0.0000 [113.5788]
train_epoch: 1032, loss: 0.6541, recall20: 0.0000 recall10: 0.0000 [113.6929]
train_epoch: 1033, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [113.8065]
train_epoch: 1034, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [113.9211]
train_epoch: 1035, loss: 0.6539, recall20: 0.0000 recall10: 0.0000 [114.0359]
train_epoch: 1036, loss: 0.6539, recall20: 0.0000 recall10: 0.0000 [114.1496]
train_epoch: 1037, loss: 0.6538, recall20: 0.0000 recall10: 0.0000 [114.2640]
train_epoch: 1038, loss: 0.6538, recall20: 0.0000 recall10: 0.0000 [114.3786]
train_epoch: 1039, loss: 0.6538, recall20: 0.0000 recall10: 0.0000 [114.4943]
train_epoch: 1040, loss: 0.6537, recall20: 0.0000 recall10: 0.0000 [114.6089]
train_epoch: 1041, loss: 0.6537, recall20: 0.0000 recall10: 0.0000 [114.7246]
train_epoch: 1042, loss: 0.6536, recall20: 0.0000 recall10: 0.0000 [114.8391]
train_epoch: 1043, loss: 0.6536, recall20: 0.0000 recall10: 0.0000 [114.9521]
train_epoch: 1044, loss: 0.6536, recall20: 0.0000 recall10: 0.0000 [115.0665]
train_epoch: 1045, loss: 0.6535, recall20: 0.0000 recall10: 0.0000 [115.1809]
train_epoch: 1046, loss: 0.6535, recall20: 0.0000 recall10: 0.0000 [115.2949]
train_epoch: 1047, loss: 0.6534, recall20: 0.0000 recall10: 0.0000 [115.4083]
train_epoch: 1048, loss: 0.6534, recall20: 0.0000 recall10: 0.0000 [115.5221]
train_epoch: 1049, loss: 0.6533, recall20: 0.0000 recall10: 0.0000 [115.6363]
train_epoch: 1050, loss: 0.6533, recall20: 0.0000 recall10: 0.0000 [115.7515]
train_epoch: 1051, loss: 0.6533, recall20: 0.0000 recall10: 0.0000 [115.8664]
train_epoch: 1052, loss: 0.6532, recall20: 0.0000 recall10: 0.0000 [115.9810]
train_epoch: 1053, loss: 0.6532, recall20: 0.0000 recall10: 0.0000 [116.0951]
train_epoch: 1054, loss: 0.6531, recall20: 0.0000 recall10: 0.0000 [116.2094]
train_epoch: 1055, loss: 0.6531, recall20: 0.0000 recall10: 0.0000 [116.3244]
train_epoch: 1056, loss: 0.6531, recall20: 0.0000 recall10: 0.0000 [116.4387]
train_epoch: 1057, loss: 0.6530, recall20: 0.0000 recall10: 0.0000 [116.5534]
train_epoch: 1058, loss: 0.6530, recall20: 0.0000 recall10: 0.0000 [116.6676]
train_epoch: 1059, loss: 0.6529, recall20: 0.0000 recall10: 0.0000 [116.7821]
train_epoch: 1060, loss: 0.6529, recall20: 0.0000 recall10: 0.0000 [116.8960]
train_epoch: 1061, loss: 0.6528, recall20: 0.0000 recall10: 0.0000 [117.0175]
train_epoch: 1062, loss: 0.6528, recall20: 0.0000 recall10: 0.0000 [117.1322]
train_epoch: 1063, loss: 0.6528, recall20: 0.0000 recall10: 0.0000 [117.2525]
train_epoch: 1064, loss: 0.6527, recall20: 0.0000 recall10: 0.0000 [117.3737]
train_epoch: 1065, loss: 0.6527, recall20: 0.0000 recall10: 0.0000 [117.4879]
train_epoch: 1066, loss: 0.6526, recall20: 0.0000 recall10: 0.0000 [117.6063]
train_epoch: 1067, loss: 0.6526, recall20: 0.0000 recall10: 0.0000 [117.7311]
train_epoch: 1068, loss: 0.6526, recall20: 0.0000 recall10: 0.0000 [117.8452]
train_epoch: 1069, loss: 0.6525, recall20: 0.0000 recall10: 0.0000 [117.9594]
train_epoch: 1070, loss: 0.6525, recall20: 0.0000 recall10: 0.0000 [118.0765]
train_epoch: 1071, loss: 0.6524, recall20: 0.0000 recall10: 0.0000 [118.1907]
train_epoch: 1072, loss: 0.6524, recall20: 0.0000 recall10: 0.0000 [118.3024]
train_epoch: 1073, loss: 0.6523, recall20: 0.0000 recall10: 0.0000 [118.4167]
train_epoch: 1074, loss: 0.6523, recall20: 0.0000 recall10: 0.0000 [118.5318]
train_epoch: 1075, loss: 0.6523, recall20: 0.0000 recall10: 0.0000 [118.6468]
train_epoch: 1076, loss: 0.6522, recall20: 0.0000 recall10: 0.0000 [118.7615]
train_epoch: 1077, loss: 0.6522, recall20: 0.0000 recall10: 0.0000 [118.8759]
train_epoch: 1078, loss: 0.6521, recall20: 0.0000 recall10: 0.0000 [118.9903]
train_epoch: 1079, loss: 0.6521, recall20: 0.0000 recall10: 0.0000 [119.1048]
train_epoch: 1080, loss: 0.6521, recall20: 0.0000 recall10: 0.0000 [119.2198]
train_epoch: 1081, loss: 0.6520, recall20: 0.0000 recall10: 0.0000 [119.3335]
train_epoch: 1082, loss: 0.6520, recall20: 0.0000 recall10: 0.0000 [119.4475]
train_epoch: 1083, loss: 0.6519, recall20: 0.0000 recall10: 0.0000 [119.5617]
train_epoch: 1084, loss: 0.6519, recall20: 0.0000 recall10: 0.0000 [119.6757]
train_epoch: 1085, loss: 0.6519, recall20: 0.0000 recall10: 0.0000 [119.7893]
train_epoch: 1086, loss: 0.6518, recall20: 0.0000 recall10: 0.0000 [119.9034]
train_epoch: 1087, loss: 0.6518, recall20: 0.0000 recall10: 0.0000 [120.0180]
train_epoch: 1088, loss: 0.6517, recall20: 0.0000 recall10: 0.0000 [120.1324]
train_epoch: 1089, loss: 0.6517, recall20: 0.0000 recall10: 0.0000 [120.2462]
train_epoch: 1090, loss: 0.6516, recall20: 0.0000 recall10: 0.0000 [120.3599]
train_epoch: 1091, loss: 0.6516, recall20: 0.0000 recall10: 0.0000 [120.4738]
