{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [74.4317]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [74.5236]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [74.6133]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [74.7024]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [74.7924]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [74.8818]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [74.9707]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [75.0607]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [75.1507]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [75.2397]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [75.3286]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [75.4172]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [75.5067]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [75.5955]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [75.6851]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [75.7750]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [75.8642]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [75.9545]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [76.0443]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [76.1345]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [76.2245]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [76.3143]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [76.4030]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [76.4922]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [76.5821]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [76.6728]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [76.7622]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [76.8509]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [76.9409]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [77.0296]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [77.1197]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [77.2097]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [77.2989]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [77.3875]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [77.4772]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [77.5662]
train_epoch: 1037, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [77.6566]
train_epoch: 1038, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [77.7466]
train_epoch: 1039, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [77.8370]
train_epoch: 1040, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [77.9264]
train_epoch: 1041, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [78.0159]
train_epoch: 1042, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [78.1062]
train_epoch: 1043, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [78.1957]
train_epoch: 1044, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [78.2858]
train_epoch: 1045, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [78.3759]
train_epoch: 1046, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [78.4653]
train_epoch: 1047, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [78.5547]
train_epoch: 1048, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [78.6453]
train_epoch: 1049, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [78.7345]
train_epoch: 1050, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [78.8238]
train_epoch: 1051, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [78.9136]
train_epoch: 1052, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [79.0033]
train_epoch: 1053, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [79.0939]
train_epoch: 1054, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [79.1841]
train_epoch: 1055, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [79.2740]
train_epoch: 1056, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [79.3642]
train_epoch: 1057, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [79.4535]
train_epoch: 1058, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [79.5445]
train_epoch: 1059, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [79.6345]
