{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'max', 'pred': 'h'}
train_epoch: 1001, loss: 0.7193, recall20: 0.0000 recall10: 0.0000 [47.0888]
train_epoch: 1002, loss: 0.7193, recall20: 0.0000 recall10: 0.0000 [47.1343]
train_epoch: 1003, loss: 0.7193, recall20: 0.0000 recall10: 0.0000 [47.1822]
train_epoch: 1004, loss: 0.7193, recall20: 0.0000 recall10: 0.0000 [47.2307]
train_epoch: 1005, loss: 0.7193, recall20: 0.0000 recall10: 0.0000 [47.2805]
train_epoch: 1006, loss: 0.7193, recall20: 0.0000 recall10: 0.0000 [47.3301]
train_epoch: 1007, loss: 0.7193, recall20: 0.0000 recall10: 0.0000 [47.3805]
train_epoch: 1008, loss: 0.7193, recall20: 0.0000 recall10: 0.0000 [47.4311]
train_epoch: 1009, loss: 0.7193, recall20: 0.0000 recall10: 0.0000 [47.4821]
train_epoch: 1010, loss: 0.7193, recall20: 0.0000 recall10: 0.0000 [47.5296]
train_epoch: 1011, loss: 0.7192, recall20: 0.0000 recall10: 0.0000 [47.5800]
train_epoch: 1012, loss: 0.7192, recall20: 0.0000 recall10: 0.0000 [47.6304]
train_epoch: 1013, loss: 0.7192, recall20: 0.0000 recall10: 0.0000 [47.6757]
train_epoch: 1014, loss: 0.7192, recall20: 0.0000 recall10: 0.0000 [47.7245]
train_epoch: 1015, loss: 0.7192, recall20: 0.0000 recall10: 0.0000 [47.7742]
train_epoch: 1016, loss: 0.7192, recall20: 0.0000 recall10: 0.0000 [47.8220]
train_epoch: 1017, loss: 0.7192, recall20: 0.0000 recall10: 0.0000 [47.8678]
train_epoch: 1018, loss: 0.7192, recall20: 0.0000 recall10: 0.0000 [47.9159]
train_epoch: 1019, loss: 0.7192, recall20: 0.0000 recall10: 0.0000 [47.9664]
train_epoch: 1020, loss: 0.7192, recall20: 0.0000 recall10: 0.0000 [48.0182]
train_epoch: 1021, loss: 0.7192, recall20: 0.0000 recall10: 0.0000 [48.0693]
train_epoch: 1022, loss: 0.7192, recall20: 0.0000 recall10: 0.0000 [48.1169]
train_epoch: 1023, loss: 0.7192, recall20: 0.0000 recall10: 0.0000 [48.1673]
train_epoch: 1024, loss: 0.7192, recall20: 0.0000 recall10: 0.0000 [48.2088]
train_epoch: 1025, loss: 0.7192, recall20: 0.0000 recall10: 0.0000 [48.2565]
train_epoch: 1026, loss: 0.7192, recall20: 0.0000 recall10: 0.0000 [48.3064]
train_epoch: 1027, loss: 0.7191, recall20: 0.0000 recall10: 0.0000 [48.3577]
train_epoch: 1028, loss: 0.7191, recall20: 0.0000 recall10: 0.0000 [48.4076]
train_epoch: 1029, loss: 0.7191, recall20: 0.0000 recall10: 0.0000 [48.4556]
train_epoch: 1030, loss: 0.7191, recall20: 0.0000 recall10: 0.0000 [48.5061]
train_epoch: 1031, loss: 0.7191, recall20: 0.0000 recall10: 0.0000 [48.5566]
train_epoch: 1032, loss: 0.7191, recall20: 0.0000 recall10: 0.0000 [48.6050]
train_epoch: 1033, loss: 0.7191, recall20: 0.0000 recall10: 0.0000 [48.6537]
train_epoch: 1034, loss: 0.7191, recall20: 0.0000 recall10: 0.0000 [48.7040]
train_epoch: 1035, loss: 0.7191, recall20: 0.0000 recall10: 0.0000 [48.7535]
train_epoch: 1036, loss: 0.7191, recall20: 0.0000 recall10: 0.0000 [48.8057]
train_epoch: 1037, loss: 0.7191, recall20: 0.0000 recall10: 0.0000 [48.8582]
train_epoch: 1038, loss: 0.7191, recall20: 0.0000 recall10: 0.0000 [48.9101]
train_epoch: 1039, loss: 0.7191, recall20: 0.0000 recall10: 0.0000 [48.9620]
train_epoch: 1040, loss: 0.7191, recall20: 0.0000 recall10: 0.0000 [49.0113]
train_epoch: 1041, loss: 0.7191, recall20: 0.0000 recall10: 0.0000 [49.0589]
