{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'max', 'pred': 'i'}
train_epoch: 1001, loss: 1.2168, recall20: 0.0000 recall10: 0.0000 [44.1881]
train_epoch: 1002, loss: 1.2168, recall20: 0.0000 recall10: 0.0000 [44.2353]
train_epoch: 1003, loss: 1.2167, recall20: 0.0000 recall10: 0.0000 [44.2827]
train_epoch: 1004, loss: 1.2167, recall20: 0.0000 recall10: 0.0000 [44.3311]
train_epoch: 1005, loss: 1.2166, recall20: 0.0000 recall10: 0.0000 [44.3788]
train_epoch: 1006, loss: 1.2166, recall20: 0.0000 recall10: 0.0000 [44.4244]
train_epoch: 1007, loss: 1.2165, recall20: 0.0000 recall10: 0.0000 [44.4714]
train_epoch: 1008, loss: 1.2165, recall20: 0.0000 recall10: 0.0000 [44.5161]
train_epoch: 1009, loss: 1.2164, recall20: 0.0000 recall10: 0.0000 [44.5600]
train_epoch: 1010, loss: 1.2164, recall20: 0.0000 recall10: 0.0000 [44.6030]
train_epoch: 1011, loss: 1.2164, recall20: 0.0000 recall10: 0.0000 [44.6496]
train_epoch: 1012, loss: 1.2163, recall20: 0.0000 recall10: 0.0000 [44.6974]
train_epoch: 1013, loss: 1.2163, recall20: 0.0000 recall10: 0.0000 [44.7461]
train_epoch: 1014, loss: 1.2162, recall20: 0.0000 recall10: 0.0000 [44.7952]
train_epoch: 1015, loss: 1.2162, recall20: 0.0000 recall10: 0.0000 [44.8418]
train_epoch: 1016, loss: 1.2161, recall20: 0.0000 recall10: 0.0000 [44.8877]
train_epoch: 1017, loss: 1.2161, recall20: 0.0000 recall10: 0.0000 [44.9337]
train_epoch: 1018, loss: 1.2161, recall20: 0.0000 recall10: 0.0000 [44.9795]
train_epoch: 1019, loss: 1.2160, recall20: 0.0000 recall10: 0.0000 [45.0244]
train_epoch: 1020, loss: 1.2160, recall20: 0.0000 recall10: 0.0000 [45.0686]
train_epoch: 1021, loss: 1.2159, recall20: 0.0000 recall10: 0.0000 [45.1134]
train_epoch: 1022, loss: 1.2159, recall20: 0.0000 recall10: 0.0000 [45.1614]
train_epoch: 1023, loss: 1.2158, recall20: 0.0000 recall10: 0.0000 [45.2091]
train_epoch: 1024, loss: 1.2158, recall20: 0.0000 recall10: 0.0000 [45.2567]
train_epoch: 1025, loss: 1.2158, recall20: 0.0000 recall10: 0.0000 [45.3011]
train_epoch: 1026, loss: 1.2157, recall20: 0.0000 recall10: 0.0000 [45.3469]
train_epoch: 1027, loss: 1.2157, recall20: 0.0000 recall10: 0.0000 [45.3925]
train_epoch: 1028, loss: 1.2156, recall20: 0.0000 recall10: 0.0000 [45.4380]
train_epoch: 1029, loss: 1.2156, recall20: 0.0000 recall10: 0.0000 [45.4835]
train_epoch: 1030, loss: 1.2155, recall20: 0.0000 recall10: 0.0000 [45.5298]
train_epoch: 1031, loss: 1.2155, recall20: 0.0000 recall10: 0.0000 [45.5746]
train_epoch: 1032, loss: 1.2155, recall20: 0.0000 recall10: 0.0000 [45.6219]
train_epoch: 1033, loss: 1.2154, recall20: 0.0000 recall10: 0.0000 [45.6701]
train_epoch: 1034, loss: 1.2154, recall20: 0.0000 recall10: 0.0000 [45.7136]
train_epoch: 1035, loss: 1.2153, recall20: 0.0000 recall10: 0.0000 [45.7609]
train_epoch: 1036, loss: 1.2153, recall20: 0.0000 recall10: 0.0000 [45.8074]
train_epoch: 1037, loss: 1.2152, recall20: 0.0000 recall10: 0.0000 [45.8505]
train_epoch: 1038, loss: 1.2152, recall20: 0.0000 recall10: 0.0000 [45.8974]
train_epoch: 1039, loss: 1.2152, recall20: 0.0000 recall10: 0.0000 [45.9446]
train_epoch: 1040, loss: 1.2151, recall20: 0.0000 recall10: 0.0000 [45.9922]
train_epoch: 1041, loss: 1.2151, recall20: 0.0000 recall10: 0.0000 [46.0397]
train_epoch: 1042, loss: 1.2150, recall20: 0.0000 recall10: 0.0000 [46.0870]
train_epoch: 1043, loss: 1.2150, recall20: 0.0000 recall10: 0.0000 [46.1320]
train_epoch: 1044, loss: 1.2149, recall20: 0.0000 recall10: 0.0000 [46.1764]
train_epoch: 1045, loss: 1.2149, recall20: 0.0000 recall10: 0.0000 [46.2211]
train_epoch: 1046, loss: 1.2149, recall20: 0.0000 recall10: 0.0000 [46.2662]
train_epoch: 1047, loss: 1.2148, recall20: 0.0000 recall10: 0.0000 [46.3118]
train_epoch: 1048, loss: 1.2148, recall20: 0.0000 recall10: 0.0000 [46.3566]
train_epoch: 1049, loss: 1.2147, recall20: 0.0000 recall10: 0.0000 [46.4020]
train_epoch: 1050, loss: 1.2147, recall20: 0.0000 recall10: 0.0000 [46.4466]
train_epoch: 1051, loss: 1.2146, recall20: 0.0000 recall10: 0.0000 [46.4929]
train_epoch: 1052, loss: 1.2146, recall20: 0.0000 recall10: 0.0000 [46.5385]
train_epoch: 1053, loss: 1.2146, recall20: 0.0000 recall10: 0.0000 [46.5865]
train_epoch: 1054, loss: 1.2145, recall20: 0.0000 recall10: 0.0000 [46.6340]
train_epoch: 1055, loss: 1.2145, recall20: 0.0000 recall10: 0.0000 [46.6829]
train_epoch: 1056, loss: 1.2144, recall20: 0.0000 recall10: 0.0000 [46.7297]
train_epoch: 1057, loss: 1.2144, recall20: 0.0000 recall10: 0.0000 [46.7775]
train_epoch: 1058, loss: 1.2143, recall20: 0.0000 recall10: 0.0000 [46.8267]
train_epoch: 1059, loss: 1.2143, recall20: 0.0000 recall10: 0.0000 [46.8712]
train_epoch: 1060, loss: 1.2143, recall20: 0.0000 recall10: 0.0000 [46.9188]
train_epoch: 1061, loss: 1.2142, recall20: 0.0000 recall10: 0.0000 [46.9638]
train_epoch: 1062, loss: 1.2142, recall20: 0.0000 recall10: 0.0000 [47.0087]
train_epoch: 1063, loss: 1.2141, recall20: 0.0000 recall10: 0.0000 [47.0544]
train_epoch: 1064, loss: 1.2141, recall20: 0.0000 recall10: 0.0000 [47.0984]
train_epoch: 1065, loss: 1.2140, recall20: 0.0000 recall10: 0.0000 [47.1443]
train_epoch: 1066, loss: 1.2140, recall20: 0.0000 recall10: 0.0000 [47.1914]
train_epoch: 1067, loss: 1.2140, recall20: 0.0000 recall10: 0.0000 [47.2399]
train_epoch: 1068, loss: 1.2139, recall20: 0.0000 recall10: 0.0000 [47.2844]
train_epoch: 1069, loss: 1.2139, recall20: 0.0000 recall10: 0.0000 [47.3295]
train_epoch: 1070, loss: 1.2138, recall20: 0.0000 recall10: 0.0000 [47.3724]
train_epoch: 1071, loss: 1.2138, recall20: 0.0000 recall10: 0.0000 [47.4155]
