{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'max', 'pred': 'i'}
train_epoch: 1001, loss: 0.6873, recall20: 0.0000 recall10: 0.0000 [62.3819]
train_epoch: 1002, loss: 0.6873, recall20: 0.0000 recall10: 0.0000 [62.4522]
train_epoch: 1003, loss: 0.6872, recall20: 0.0000 recall10: 0.0000 [62.5209]
train_epoch: 1004, loss: 0.6872, recall20: 0.0000 recall10: 0.0000 [62.5895]
train_epoch: 1005, loss: 0.6872, recall20: 0.0000 recall10: 0.0000 [62.6584]
train_epoch: 1006, loss: 0.6872, recall20: 0.0000 recall10: 0.0000 [62.7259]
train_epoch: 1007, loss: 0.6871, recall20: 0.0000 recall10: 0.0000 [62.7936]
train_epoch: 1008, loss: 0.6871, recall20: 0.0000 recall10: 0.0000 [62.8614]
train_epoch: 1009, loss: 0.6871, recall20: 0.0000 recall10: 0.0000 [62.9296]
train_epoch: 1010, loss: 0.6870, recall20: 0.0000 recall10: 0.0000 [62.9985]
train_epoch: 1011, loss: 0.6870, recall20: 0.0000 recall10: 0.0000 [63.0670]
train_epoch: 1012, loss: 0.6870, recall20: 0.0000 recall10: 0.0000 [63.1364]
train_epoch: 1013, loss: 0.6870, recall20: 0.0000 recall10: 0.0000 [63.2056]
train_epoch: 1014, loss: 0.6869, recall20: 0.0000 recall10: 0.0000 [63.2731]
train_epoch: 1015, loss: 0.6869, recall20: 0.0000 recall10: 0.0000 [63.3428]
train_epoch: 1016, loss: 0.6869, recall20: 0.0000 recall10: 0.0000 [63.4105]
train_epoch: 1017, loss: 0.6868, recall20: 0.0000 recall10: 0.0000 [63.4780]
train_epoch: 1018, loss: 0.6868, recall20: 0.0000 recall10: 0.0000 [63.5475]
train_epoch: 1019, loss: 0.6868, recall20: 0.0000 recall10: 0.0000 [63.6155]
train_epoch: 1020, loss: 0.6868, recall20: 0.0000 recall10: 0.0000 [63.6843]
train_epoch: 1021, loss: 0.6867, recall20: 0.0000 recall10: 0.0000 [63.7531]
train_epoch: 1022, loss: 0.6867, recall20: 0.0000 recall10: 0.0000 [63.8214]
train_epoch: 1023, loss: 0.6867, recall20: 0.0000 recall10: 0.0000 [63.8900]
train_epoch: 1024, loss: 0.6867, recall20: 0.0000 recall10: 0.0000 [63.9580]
train_epoch: 1025, loss: 0.6866, recall20: 0.0000 recall10: 0.0000 [64.0256]
train_epoch: 1026, loss: 0.6866, recall20: 0.0000 recall10: 0.0000 [64.0929]
train_epoch: 1027, loss: 0.6866, recall20: 0.0000 recall10: 0.0000 [64.1604]
train_epoch: 1028, loss: 0.6865, recall20: 0.0000 recall10: 0.0000 [64.2243]
train_epoch: 1029, loss: 0.6865, recall20: 0.0000 recall10: 0.0000 [64.2931]
train_epoch: 1030, loss: 0.6865, recall20: 0.0000 recall10: 0.0000 [64.3609]
train_epoch: 1031, loss: 0.6865, recall20: 0.0000 recall10: 0.0000 [64.4290]
train_epoch: 1032, loss: 0.6864, recall20: 0.0000 recall10: 0.0000 [64.4991]
train_epoch: 1033, loss: 0.6864, recall20: 0.0000 recall10: 0.0000 [64.5683]
train_epoch: 1034, loss: 0.6864, recall20: 0.0000 recall10: 0.0000 [64.6370]
train_epoch: 1035, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [64.7059]
train_epoch: 1036, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [64.7709]
train_epoch: 1037, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [64.8394]
train_epoch: 1038, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [64.9052]
train_epoch: 1039, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [64.9730]
train_epoch: 1040, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [65.0410]
train_epoch: 1041, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [65.1097]
train_epoch: 1042, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [65.1777]
train_epoch: 1043, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [65.2461]
train_epoch: 1044, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [65.3153]
train_epoch: 1045, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [65.3834]
train_epoch: 1046, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [65.4528]
train_epoch: 1047, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [65.5212]
train_epoch: 1048, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [65.5890]
train_epoch: 1049, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [65.6577]
train_epoch: 1050, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [65.7268]
train_epoch: 1051, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [65.7958]
train_epoch: 1052, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [65.8646]
train_epoch: 1053, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [65.9306]
train_epoch: 1054, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [65.9997]
train_epoch: 1055, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [66.0690]
train_epoch: 1056, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [66.1381]
train_epoch: 1057, loss: 0.6857, recall20: 0.0000 recall10: 0.0000 [66.2069]
train_epoch: 1058, loss: 0.6857, recall20: 0.0000 recall10: 0.0000 [66.2752]
train_epoch: 1059, loss: 0.6857, recall20: 0.0000 recall10: 0.0000 [66.3446]
train_epoch: 1060, loss: 0.6857, recall20: 0.0000 recall10: 0.0000 [66.4129]
train_epoch: 1061, loss: 0.6856, recall20: 0.0000 recall10: 0.0000 [66.4818]
train_epoch: 1062, loss: 0.6856, recall20: 0.0000 recall10: 0.0000 [66.5508]
train_epoch: 1063, loss: 0.6856, recall20: 0.0000 recall10: 0.0000 [66.6196]
train_epoch: 1064, loss: 0.6855, recall20: 0.0000 recall10: 0.0000 [66.6884]
train_epoch: 1065, loss: 0.6855, recall20: 0.0000 recall10: 0.0000 [66.7576]
train_epoch: 1066, loss: 0.6855, recall20: 0.0000 recall10: 0.0000 [66.8260]
train_epoch: 1067, loss: 0.6855, recall20: 0.0000 recall10: 0.0000 [66.8929]
train_epoch: 1068, loss: 0.6854, recall20: 0.0000 recall10: 0.0000 [66.9625]
train_epoch: 1069, loss: 0.6854, recall20: 0.0000 recall10: 0.0000 [67.0316]
train_epoch: 1070, loss: 0.6854, recall20: 0.0000 recall10: 0.0000 [67.0979]
train_epoch: 1071, loss: 0.6854, recall20: 0.0000 recall10: 0.0000 [67.1674]
train_epoch: 1072, loss: 0.6853, recall20: 0.0000 recall10: 0.0000 [67.2358]
train_epoch: 1073, loss: 0.6853, recall20: 0.0000 recall10: 0.0000 [67.3042]
train_epoch: 1074, loss: 0.6853, recall20: 0.0000 recall10: 0.0000 [67.3733]
train_epoch: 1075, loss: 0.6852, recall20: 0.0000 recall10: 0.0000 [67.4421]
train_epoch: 1076, loss: 0.6852, recall20: 0.0000 recall10: 0.0000 [67.5101]
train_epoch: 1077, loss: 0.6852, recall20: 0.0000 recall10: 0.0000 [67.5772]
train_epoch: 1078, loss: 0.6851, recall20: 0.0000 recall10: 0.0000 [67.6434]
train_epoch: 1079, loss: 0.6851, recall20: 0.0000 recall10: 0.0000 [67.7107]
train_epoch: 1080, loss: 0.6851, recall20: 0.0000 recall10: 0.0000 [67.7793]
train_epoch: 1081, loss: 0.6851, recall20: 0.0000 recall10: 0.0000 [67.8484]
train_epoch: 1082, loss: 0.6851, recall20: 0.0000 recall10: 0.0000 [67.9169]
train_epoch: 1083, loss: 0.6850, recall20: 0.0000 recall10: 0.0000 [67.9849]
train_epoch: 1084, loss: 0.6850, recall20: 0.0000 recall10: 0.0000 [68.0514]
train_epoch: 1085, loss: 0.6850, recall20: 0.0000 recall10: 0.0000 [68.1179]
train_epoch: 1086, loss: 0.6849, recall20: 0.0000 recall10: 0.0000 [68.1862]
train_epoch: 1087, loss: 0.6849, recall20: 0.0000 recall10: 0.0000 [68.2554]
train_epoch: 1088, loss: 0.6849, recall20: 0.0000 recall10: 0.0000 [68.3224]
train_epoch: 1089, loss: 0.6849, recall20: 0.0000 recall10: 0.0000 [68.3901]
train_epoch: 1090, loss: 0.6848, recall20: 0.0000 recall10: 0.0000 [68.4567]
train_epoch: 1091, loss: 0.6848, recall20: 0.0000 recall10: 0.0000 [68.5260]
train_epoch: 1092, loss: 0.6848, recall20: 0.0000 recall10: 0.0000 [68.5954]
train_epoch: 1093, loss: 0.6848, recall20: 0.0000 recall10: 0.0000 [68.6638]
train_epoch: 1094, loss: 0.6847, recall20: 0.0000 recall10: 0.0000 [68.7316]
train_epoch: 1095, loss: 0.6847, recall20: 0.0000 recall10: 0.0000 [68.7990]
train_epoch: 1096, loss: 0.6847, recall20: 0.0000 recall10: 0.0000 [68.8673]
train_epoch: 1097, loss: 0.6846, recall20: 0.0000 recall10: 0.0000 [68.9370]
train_epoch: 1098, loss: 0.6846, recall20: 0.0000 recall10: 0.0000 [69.0044]
train_epoch: 1099, loss: 0.6846, recall20: 0.0000 recall10: 0.0000 [69.0733]
train_epoch: 1100, loss: 0.6846, recall20: 0.0000 recall10: 0.0000 [69.1423]
train_epoch: 1101, loss: 0.6845, recall20: 0.0000 recall10: 0.0000 [69.2111]
train_epoch: 1102, loss: 0.6845, recall20: 0.0000 recall10: 0.0000 [69.2795]
train_epoch: 1103, loss: 0.6845, recall20: 0.0000 recall10: 0.0000 [69.3488]
train_epoch: 1104, loss: 0.6845, recall20: 0.0000 recall10: 0.0000 [69.4180]
train_epoch: 1105, loss: 0.6844, recall20: 0.0000 recall10: 0.0000 [69.4867]
train_epoch: 1106, loss: 0.6844, recall20: 0.0000 recall10: 0.0000 [69.5558]
train_epoch: 1107, loss: 0.6844, recall20: 0.0000 recall10: 0.0000 [69.6244]
train_epoch: 1108, loss: 0.6843, recall20: 0.0000 recall10: 0.0000 [69.6924]
train_epoch: 1109, loss: 0.6843, recall20: 0.0000 recall10: 0.0000 [69.7610]
train_epoch: 1110, loss: 0.6843, recall20: 0.0000 recall10: 0.0000 [69.8297]
train_epoch: 1111, loss: 0.6843, recall20: 0.0000 recall10: 0.0000 [69.8987]
train_epoch: 1112, loss: 0.6842, recall20: 0.0000 recall10: 0.0000 [69.9678]
train_epoch: 1113, loss: 0.6842, recall20: 0.0000 recall10: 0.0000 [70.0361]
train_epoch: 1114, loss: 0.6842, recall20: 0.0000 recall10: 0.0000 [70.1041]
train_epoch: 1115, loss: 0.6842, recall20: 0.0000 recall10: 0.0000 [70.1691]
train_epoch: 1116, loss: 0.6841, recall20: 0.0000 recall10: 0.0000 [70.2351]
train_epoch: 1117, loss: 0.6841, recall20: 0.0000 recall10: 0.0000 [70.3046]
train_epoch: 1118, loss: 0.6841, recall20: 0.0000 recall10: 0.0000 [70.3728]
train_epoch: 1119, loss: 0.6841, recall20: 0.0000 recall10: 0.0000 [70.4389]
train_epoch: 1120, loss: 0.6840, recall20: 0.0000 recall10: 0.0000 [70.5049]
train_epoch: 1121, loss: 0.6840, recall20: 0.0000 recall10: 0.0000 [70.5740]
train_epoch: 1122, loss: 0.6840, recall20: 0.0000 recall10: 0.0000 [70.6398]
train_epoch: 1123, loss: 0.6839, recall20: 0.0000 recall10: 0.0000 [70.7071]
train_epoch: 1124, loss: 0.6839, recall20: 0.0000 recall10: 0.0000 [70.7744]
train_epoch: 1125, loss: 0.6839, recall20: 0.0000 recall10: 0.0000 [70.8437]
train_epoch: 1126, loss: 0.6838, recall20: 0.0000 recall10: 0.0000 [70.9129]
train_epoch: 1127, loss: 0.6838, recall20: 0.0000 recall10: 0.0000 [70.9818]
train_epoch: 1128, loss: 0.6838, recall20: 0.0000 recall10: 0.0000 [71.0432]
train_epoch: 1129, loss: 0.6838, recall20: 0.0000 recall10: 0.0000 [71.1096]
train_epoch: 1130, loss: 0.6838, recall20: 0.0000 recall10: 0.0000 [71.1771]
train_epoch: 1131, loss: 0.6837, recall20: 0.0000 recall10: 0.0000 [71.2462]
train_epoch: 1132, loss: 0.6837, recall20: 0.0000 recall10: 0.0000 [71.3156]
train_epoch: 1133, loss: 0.6837, recall20: 0.0000 recall10: 0.0000 [71.3814]
train_epoch: 1134, loss: 0.6836, recall20: 0.0000 recall10: 0.0000 [71.4501]
train_epoch: 1135, loss: 0.6836, recall20: 0.0000 recall10: 0.0000 [71.5195]
train_epoch: 1136, loss: 0.6836, recall20: 0.0000 recall10: 0.0000 [71.5882]
train_epoch: 1137, loss: 0.6836, recall20: 0.0000 recall10: 0.0000 [71.6570]
train_epoch: 1138, loss: 0.6835, recall20: 0.0000 recall10: 0.0000 [71.7260]
train_epoch: 1139, loss: 0.6835, recall20: 0.0000 recall10: 0.0000 [71.7949]
train_epoch: 1140, loss: 0.6835, recall20: 0.0000 recall10: 0.0000 [71.8624]
train_epoch: 1141, loss: 0.6835, recall20: 0.0000 recall10: 0.0000 [71.9311]
train_epoch: 1142, loss: 0.6834, recall20: 0.0000 recall10: 0.0000 [71.9989]
