{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'max', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.3391]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.3525]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.3637]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.3756]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.3876]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.3994]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.4108]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.4226]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.4339]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.4458]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.4573]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.4686]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.4803]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.4915]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.5043]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.5192]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.5348]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.5466]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.5597]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.5716]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.5832]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.5945]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.6066]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.6187]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.6307]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.6429]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.6546]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.6668]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.6783]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.6904]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.7017]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.7131]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.7245]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.7362]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.7479]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.7590]
train_epoch: 1037, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.7705]
train_epoch: 1038, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.7822]
train_epoch: 1039, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.7945]
train_epoch: 1040, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.8062]
train_epoch: 1041, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.8177]
train_epoch: 1042, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.8290]
train_epoch: 1043, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.8410]
train_epoch: 1044, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.8533]
train_epoch: 1045, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.8649]
train_epoch: 1046, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.8762]
train_epoch: 1047, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.8879]
train_epoch: 1048, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.8995]
train_epoch: 1049, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.9112]
train_epoch: 1050, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.9225]
train_epoch: 1051, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.9343]
train_epoch: 1052, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.9485]
train_epoch: 1053, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.9623]
train_epoch: 1054, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.9747]
train_epoch: 1055, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.9864]
train_epoch: 1056, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.9979]
train_epoch: 1057, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0101]
train_epoch: 1058, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0216]
train_epoch: 1059, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0342]
train_epoch: 1060, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0458]
train_epoch: 1061, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0574]
train_epoch: 1062, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0693]
train_epoch: 1063, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0810]
train_epoch: 1064, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0929]
train_epoch: 1065, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1045]
train_epoch: 1066, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1158]
train_epoch: 1067, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1276]
train_epoch: 1068, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1393]
train_epoch: 1069, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1512]
train_epoch: 1070, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1625]
train_epoch: 1071, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1736]
train_epoch: 1072, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1856]
train_epoch: 1073, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1973]
train_epoch: 1074, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2094]
train_epoch: 1075, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2208]
train_epoch: 1076, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2317]
train_epoch: 1077, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2444]
train_epoch: 1078, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2560]
train_epoch: 1079, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2677]
train_epoch: 1080, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2791]
train_epoch: 1081, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2914]
train_epoch: 1082, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.3042]
train_epoch: 1083, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.3155]
train_epoch: 1084, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.3266]
train_epoch: 1085, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.3381]
train_epoch: 1086, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.3517]
train_epoch: 1087, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.3649]
