{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [42.9865]
train_epoch: 1002, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.0059]
train_epoch: 1003, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.0214]
train_epoch: 1004, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.0366]
train_epoch: 1005, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.0533]
train_epoch: 1006, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.0681]
train_epoch: 1007, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.0828]
train_epoch: 1008, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.0978]
train_epoch: 1009, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.1125]
train_epoch: 1010, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.1262]
train_epoch: 1011, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.1425]
train_epoch: 1012, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.1560]
train_epoch: 1013, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.1693]
train_epoch: 1014, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.1841]
train_epoch: 1015, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.1984]
train_epoch: 1016, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.2138]
train_epoch: 1017, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.2287]
train_epoch: 1018, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.2433]
train_epoch: 1019, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.2590]
train_epoch: 1020, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.2748]
train_epoch: 1021, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.2889]
train_epoch: 1022, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.3018]
train_epoch: 1023, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.3168]
train_epoch: 1024, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.3318]
train_epoch: 1025, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.3478]
train_epoch: 1026, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.3625]
train_epoch: 1027, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.3769]
train_epoch: 1028, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.3909]
train_epoch: 1029, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.4055]
train_epoch: 1030, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.4179]
train_epoch: 1031, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.4327]
train_epoch: 1032, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.4506]
train_epoch: 1033, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.4657]
train_epoch: 1034, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.4795]
train_epoch: 1035, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.4942]
train_epoch: 1036, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [43.5094]
