{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.7024, recall20: 0.0000 recall10: 0.0000 [8.6476]
train_epoch: 1002, loss: 0.7024, recall20: 0.0000 recall10: 0.0000 [8.6612]
train_epoch: 1003, loss: 0.7024, recall20: 0.0000 recall10: 0.0000 [8.6708]
train_epoch: 1004, loss: 0.7024, recall20: 0.0000 recall10: 0.0000 [8.6801]
train_epoch: 1005, loss: 0.7024, recall20: 0.0000 recall10: 0.0000 [8.6898]
train_epoch: 1006, loss: 0.7024, recall20: 0.0000 recall10: 0.0000 [8.6992]
train_epoch: 1007, loss: 0.7024, recall20: 0.0000 recall10: 0.0000 [8.7083]
train_epoch: 1008, loss: 0.7024, recall20: 0.0000 recall10: 0.0000 [8.7174]
train_epoch: 1009, loss: 0.7023, recall20: 0.0000 recall10: 0.0000 [8.7274]
train_epoch: 1010, loss: 0.7023, recall20: 0.0000 recall10: 0.0000 [8.7372]
train_epoch: 1011, loss: 0.7023, recall20: 0.0000 recall10: 0.0000 [8.7460]
train_epoch: 1012, loss: 0.7023, recall20: 0.0000 recall10: 0.0000 [8.7546]
train_epoch: 1013, loss: 0.7023, recall20: 0.0000 recall10: 0.0000 [8.7637]
train_epoch: 1014, loss: 0.7023, recall20: 0.0000 recall10: 0.0000 [8.7743]
train_epoch: 1015, loss: 0.7023, recall20: 0.0000 recall10: 0.0000 [8.7844]
train_epoch: 1016, loss: 0.7023, recall20: 0.0000 recall10: 0.0000 [8.7941]
train_epoch: 1017, loss: 0.7023, recall20: 0.0000 recall10: 0.0000 [8.8040]
train_epoch: 1018, loss: 0.7023, recall20: 0.0000 recall10: 0.0000 [8.8141]
train_epoch: 1019, loss: 0.7023, recall20: 0.0000 recall10: 0.0000 [8.8245]
train_epoch: 1020, loss: 0.7023, recall20: 0.0000 recall10: 0.0000 [8.8338]
train_epoch: 1021, loss: 0.7022, recall20: 0.0000 recall10: 0.0000 [8.8431]
train_epoch: 1022, loss: 0.7022, recall20: 0.0000 recall10: 0.0000 [8.8524]
train_epoch: 1023, loss: 0.7022, recall20: 0.0000 recall10: 0.0000 [8.8626]
train_epoch: 1024, loss: 0.7022, recall20: 0.0000 recall10: 0.0000 [8.8717]
train_epoch: 1025, loss: 0.7022, recall20: 0.0000 recall10: 0.0000 [8.8809]
train_epoch: 1026, loss: 0.7022, recall20: 0.0000 recall10: 0.0000 [8.8901]
train_epoch: 1027, loss: 0.7022, recall20: 0.0000 recall10: 0.0000 [8.8995]
train_epoch: 1028, loss: 0.7022, recall20: 0.0000 recall10: 0.0000 [8.9089]
train_epoch: 1029, loss: 0.7022, recall20: 0.0000 recall10: 0.0000 [8.9186]
train_epoch: 1030, loss: 0.7022, recall20: 0.0000 recall10: 0.0000 [8.9283]
train_epoch: 1031, loss: 0.7022, recall20: 0.0000 recall10: 0.0000 [8.9371]
train_epoch: 1032, loss: 0.7022, recall20: 0.0000 recall10: 0.0000 [8.9463]
train_epoch: 1033, loss: 0.7022, recall20: 0.0000 recall10: 0.0000 [8.9558]
train_epoch: 1034, loss: 0.7022, recall20: 0.0000 recall10: 0.0000 [8.9650]
train_epoch: 1035, loss: 0.7021, recall20: 0.0000 recall10: 0.0000 [8.9744]
train_epoch: 1036, loss: 0.7021, recall20: 0.0000 recall10: 0.0000 [8.9835]
train_epoch: 1037, loss: 0.7021, recall20: 0.0000 recall10: 0.0000 [8.9924]
train_epoch: 1038, loss: 0.7021, recall20: 0.0000 recall10: 0.0000 [9.0027]
train_epoch: 1039, loss: 0.7021, recall20: 0.0000 recall10: 0.0000 [9.0118]
train_epoch: 1040, loss: 0.7021, recall20: 0.0000 recall10: 0.0000 [9.0208]
train_epoch: 1041, loss: 0.7021, recall20: 0.0000 recall10: 0.0000 [9.0308]
train_epoch: 1042, loss: 0.7021, recall20: 0.0000 recall10: 0.0000 [9.0459]
train_epoch: 1043, loss: 0.7021, recall20: 0.0000 recall10: 0.0000 [9.0575]
train_epoch: 1044, loss: 0.7021, recall20: 0.0000 recall10: 0.0000 [9.0682]
train_epoch: 1045, loss: 0.7021, recall20: 0.0000 recall10: 0.0000 [9.0787]
train_epoch: 1046, loss: 0.7021, recall20: 0.0000 recall10: 0.0000 [9.0886]
train_epoch: 1047, loss: 0.7021, recall20: 0.0000 recall10: 0.0000 [9.0987]
train_epoch: 1048, loss: 0.7021, recall20: 0.0000 recall10: 0.0000 [9.1087]
train_epoch: 1049, loss: 0.7020, recall20: 0.0000 recall10: 0.0000 [9.1187]
train_epoch: 1050, loss: 0.7020, recall20: 0.0000 recall10: 0.0000 [9.1287]
train_epoch: 1051, loss: 0.7020, recall20: 0.0000 recall10: 0.0000 [9.1383]
train_epoch: 1052, loss: 0.7020, recall20: 0.0000 recall10: 0.0000 [9.1482]
train_epoch: 1053, loss: 0.7020, recall20: 0.0000 recall10: 0.0000 [9.1581]
train_epoch: 1054, loss: 0.7020, recall20: 0.0000 recall10: 0.0000 [9.1686]
train_epoch: 1055, loss: 0.7020, recall20: 0.0000 recall10: 0.0000 [9.1792]
train_epoch: 1056, loss: 0.7020, recall20: 0.0000 recall10: 0.0000 [9.1890]
train_epoch: 1057, loss: 0.7020, recall20: 0.0000 recall10: 0.0000 [9.1987]
train_epoch: 1058, loss: 0.7020, recall20: 0.0000 recall10: 0.0000 [9.2091]
