{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'h'}
train_epoch: 1001, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [10.5782]
train_epoch: 1002, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [10.5941]
train_epoch: 1003, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [10.6085]
train_epoch: 1004, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [10.6225]
train_epoch: 1005, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [10.6363]
train_epoch: 1006, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [10.6497]
train_epoch: 1007, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [10.6633]
train_epoch: 1008, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [10.6768]
train_epoch: 1009, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [10.6899]
train_epoch: 1010, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [10.7027]
train_epoch: 1011, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [10.7161]
train_epoch: 1012, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [10.7294]
train_epoch: 1013, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [10.7425]
train_epoch: 1014, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [10.7551]
train_epoch: 1015, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [10.7678]
train_epoch: 1016, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [10.7802]
train_epoch: 1017, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [10.7924]
train_epoch: 1018, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [10.8051]
train_epoch: 1019, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [10.8183]
train_epoch: 1020, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [10.8308]
train_epoch: 1021, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [10.8438]
train_epoch: 1022, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [10.8563]
train_epoch: 1023, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [10.8693]
train_epoch: 1024, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [10.8831]
train_epoch: 1025, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [10.8960]
train_epoch: 1026, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [10.9091]
train_epoch: 1027, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [10.9229]
train_epoch: 1028, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [10.9361]
train_epoch: 1029, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [10.9492]
train_epoch: 1030, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [10.9622]
train_epoch: 1031, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [10.9751]
train_epoch: 1032, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [10.9876]
train_epoch: 1033, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [11.0004]
train_epoch: 1034, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [11.0128]
train_epoch: 1035, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [11.0249]
train_epoch: 1036, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [11.0369]
train_epoch: 1037, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [11.0490]
train_epoch: 1038, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [11.0611]
train_epoch: 1039, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [11.0730]
train_epoch: 1040, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [11.0849]
train_epoch: 1041, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [11.0970]
train_epoch: 1042, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [11.1091]
train_epoch: 1043, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [11.1216]
train_epoch: 1044, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [11.1344]
train_epoch: 1045, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [11.1478]
train_epoch: 1046, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [11.1614]
train_epoch: 1047, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [11.1732]
train_epoch: 1048, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [11.1841]
train_epoch: 1049, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [11.1959]
train_epoch: 1050, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [11.2078]
train_epoch: 1051, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [11.2195]
train_epoch: 1052, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [11.2312]
train_epoch: 1053, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [11.2426]
train_epoch: 1054, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [11.2548]
train_epoch: 1055, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [11.2673]
train_epoch: 1056, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [11.2797]
train_epoch: 1057, loss: 0.6857, recall20: 0.0000 recall10: 0.0000 [11.2917]
train_epoch: 1058, loss: 0.6857, recall20: 0.0000 recall10: 0.0000 [11.3037]
train_epoch: 1059, loss: 0.6857, recall20: 0.0000 recall10: 0.0000 [11.3149]
train_epoch: 1060, loss: 0.6857, recall20: 0.0000 recall10: 0.0000 [11.3261]
train_epoch: 1061, loss: 0.6857, recall20: 0.0000 recall10: 0.0000 [11.3375]
train_epoch: 1062, loss: 0.6857, recall20: 0.0000 recall10: 0.0000 [11.3491]
train_epoch: 1063, loss: 0.6857, recall20: 0.0000 recall10: 0.0000 [11.3607]
train_epoch: 1064, loss: 0.6857, recall20: 0.0000 recall10: 0.0000 [11.3723]
train_epoch: 1065, loss: 0.6857, recall20: 0.0000 recall10: 0.0000 [11.3840]
train_epoch: 1066, loss: 0.6856, recall20: 0.0000 recall10: 0.0000 [11.3963]
train_epoch: 1067, loss: 0.6856, recall20: 0.0000 recall10: 0.0000 [11.4087]
train_epoch: 1068, loss: 0.6856, recall20: 0.0000 recall10: 0.0000 [11.4210]
train_epoch: 1069, loss: 0.6856, recall20: 0.0000 recall10: 0.0000 [11.4337]
