{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'h'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.1676]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.1874]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.2003]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.2114]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.2227]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.2342]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.2454]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.2566]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.2681]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.2793]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.2903]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.3014]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.3120]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.3230]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.3338]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.3445]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.3550]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.3656]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.3764]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.3870]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.3980]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.4086]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.4189]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.4294]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.4397]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.4504]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.4613]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.4727]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.4849]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.4964]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.5077]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.5188]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.5306]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.5433]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.5547]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.5668]
train_epoch: 1037, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.5794]
train_epoch: 1038, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.5919]
train_epoch: 1039, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.6035]
train_epoch: 1040, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.6169]
train_epoch: 1041, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.6284]
train_epoch: 1042, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.6393]
train_epoch: 1043, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.6499]
train_epoch: 1044, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.6606]
train_epoch: 1045, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.6715]
train_epoch: 1046, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.6822]
train_epoch: 1047, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.6930]
train_epoch: 1048, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.7037]
train_epoch: 1049, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.7145]
train_epoch: 1050, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.7252]
train_epoch: 1051, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.7358]
train_epoch: 1052, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.7464]
train_epoch: 1053, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.7588]
train_epoch: 1054, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.7710]
train_epoch: 1055, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.7827]
train_epoch: 1056, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.7947]
train_epoch: 1057, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.8064]
train_epoch: 1058, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.8181]
train_epoch: 1059, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.8300]
train_epoch: 1060, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.8418]
train_epoch: 1061, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.8536]
train_epoch: 1062, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.8650]
train_epoch: 1063, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.8767]
train_epoch: 1064, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.8879]
train_epoch: 1065, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.8993]
train_epoch: 1066, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.9110]
train_epoch: 1067, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.9227]
train_epoch: 1068, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.9342]
train_epoch: 1069, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.9473]
train_epoch: 1070, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.9583]
train_epoch: 1071, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.9693]
train_epoch: 1072, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.9798]
train_epoch: 1073, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [10.9903]
train_epoch: 1074, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.0012]
train_epoch: 1075, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.0120]
train_epoch: 1076, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.0227]
train_epoch: 1077, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.0333]
train_epoch: 1078, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.0441]
train_epoch: 1079, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.0553]
train_epoch: 1080, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.0670]
train_epoch: 1081, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.0789]
train_epoch: 1082, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.0904]
train_epoch: 1083, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.1017]
train_epoch: 1084, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.1132]
train_epoch: 1085, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.1243]
train_epoch: 1086, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.1355]
train_epoch: 1087, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.1465]
train_epoch: 1088, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.1574]
train_epoch: 1089, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.1678]
train_epoch: 1090, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.1788]
