{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'h'}
train_epoch: 1001, loss: 0.0036, recall20: 0.0000 recall10: 0.0000 [26.3057]
train_epoch: 1002, loss: 0.0036, recall20: 0.0000 recall10: 0.0000 [26.3384]
train_epoch: 1003, loss: 0.0036, recall20: 0.0000 recall10: 0.0000 [26.3660]
train_epoch: 1004, loss: 0.0036, recall20: 0.0000 recall10: 0.0000 [26.3952]
train_epoch: 1005, loss: 0.0036, recall20: 0.0000 recall10: 0.0000 [26.4254]
train_epoch: 1006, loss: 0.0036, recall20: 0.0000 recall10: 0.0000 [26.4554]
train_epoch: 1007, loss: 0.0036, recall20: 0.0000 recall10: 0.0000 [26.4858]
train_epoch: 1008, loss: 0.0035, recall20: 0.0000 recall10: 0.0000 [26.5174]
train_epoch: 1009, loss: 0.0035, recall20: 0.0000 recall10: 0.0000 [26.5480]
train_epoch: 1010, loss: 0.0035, recall20: 0.0000 recall10: 0.0000 [26.5772]
train_epoch: 1011, loss: 0.0035, recall20: 0.0000 recall10: 0.0000 [26.6080]
train_epoch: 1012, loss: 0.0035, recall20: 0.0000 recall10: 0.0000 [26.6376]
train_epoch: 1013, loss: 0.0035, recall20: 0.0000 recall10: 0.0000 [26.6681]
train_epoch: 1014, loss: 0.0035, recall20: 0.0000 recall10: 0.0000 [26.6960]
train_epoch: 1015, loss: 0.0035, recall20: 0.0000 recall10: 0.0000 [26.7243]
train_epoch: 1016, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [26.7527]
train_epoch: 1017, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [26.7813]
train_epoch: 1018, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [26.8093]
train_epoch: 1019, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [26.8381]
train_epoch: 1020, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [26.8670]
train_epoch: 1021, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [26.8949]
train_epoch: 1022, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [26.9229]
train_epoch: 1023, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [26.9507]
train_epoch: 1024, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [26.9798]
train_epoch: 1025, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [27.0084]
train_epoch: 1026, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [27.0376]
train_epoch: 1027, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [27.0662]
train_epoch: 1028, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [27.0947]
train_epoch: 1029, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [27.1212]
train_epoch: 1030, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [27.1479]
train_epoch: 1031, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [27.1751]
train_epoch: 1032, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [27.2038]
train_epoch: 1033, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [27.2331]
train_epoch: 1034, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [27.2622]
train_epoch: 1035, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [27.2917]
train_epoch: 1036, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [27.3189]
train_epoch: 1037, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [27.3463]
train_epoch: 1038, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [27.3715]
train_epoch: 1039, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [27.4003]
train_epoch: 1040, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [27.4298]
train_epoch: 1041, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [27.4591]
train_epoch: 1042, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [27.4833]
train_epoch: 1043, loss: 0.0031, recall20: 0.0000 recall10: 0.0000 [27.5088]
train_epoch: 1044, loss: 0.0031, recall20: 0.0000 recall10: 0.0000 [27.5343]
train_epoch: 1045, loss: 0.0031, recall20: 0.0000 recall10: 0.0000 [27.5611]
train_epoch: 1046, loss: 0.0031, recall20: 0.0000 recall10: 0.0000 [27.5882]
train_epoch: 1047, loss: 0.0031, recall20: 0.0000 recall10: 0.0000 [27.6140]
train_epoch: 1048, loss: 0.0031, recall20: 0.0000 recall10: 0.0000 [27.6403]
train_epoch: 1049, loss: 0.0031, recall20: 0.0000 recall10: 0.0000 [27.6649]
train_epoch: 1050, loss: 0.0031, recall20: 0.0000 recall10: 0.0000 [27.6899]
train_epoch: 1051, loss: 0.0031, recall20: 0.0000 recall10: 0.0000 [27.7159]
train_epoch: 1052, loss: 0.0030, recall20: 0.0000 recall10: 0.0000 [27.7420]
train_epoch: 1053, loss: 0.0030, recall20: 0.0000 recall10: 0.0000 [27.7693]
train_epoch: 1054, loss: 0.0030, recall20: 0.0000 recall10: 0.0000 [27.7956]
train_epoch: 1055, loss: 0.0030, recall20: 0.0000 recall10: 0.0000 [27.8221]
train_epoch: 1056, loss: 0.0030, recall20: 0.0000 recall10: 0.0000 [27.8490]
train_epoch: 1057, loss: 0.0030, recall20: 0.0000 recall10: 0.0000 [27.8768]
train_epoch: 1058, loss: 0.0030, recall20: 0.0000 recall10: 0.0000 [27.9043]
train_epoch: 1059, loss: 0.0030, recall20: 0.0000 recall10: 0.0000 [27.9327]
train_epoch: 1060, loss: 0.0030, recall20: 0.0000 recall10: 0.0000 [27.9614]
train_epoch: 1061, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [27.9899]
train_epoch: 1062, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [28.0180]
train_epoch: 1063, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [28.0452]
train_epoch: 1064, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [28.0709]
train_epoch: 1065, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [28.0963]
train_epoch: 1066, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [28.1221]
train_epoch: 1067, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [28.1477]
train_epoch: 1068, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [28.1742]
train_epoch: 1069, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [28.2002]
train_epoch: 1070, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [28.2262]
train_epoch: 1071, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [28.2516]
train_epoch: 1072, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [28.2772]
train_epoch: 1073, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [28.3020]
train_epoch: 1074, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [28.3269]
train_epoch: 1075, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [28.3519]
train_epoch: 1076, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [28.3772]
