{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'h'}
train_epoch: 1001, loss: 0.6878, recall20: 0.0000 recall10: 0.0000 [26.3459]
train_epoch: 1002, loss: 0.6878, recall20: 0.0000 recall10: 0.0000 [26.3783]
train_epoch: 1003, loss: 0.6878, recall20: 0.0000 recall10: 0.0000 [26.4071]
train_epoch: 1004, loss: 0.6877, recall20: 0.0000 recall10: 0.0000 [26.4375]
train_epoch: 1005, loss: 0.6877, recall20: 0.0000 recall10: 0.0000 [26.4665]
train_epoch: 1006, loss: 0.6877, recall20: 0.0000 recall10: 0.0000 [26.4958]
train_epoch: 1007, loss: 0.6877, recall20: 0.0000 recall10: 0.0000 [26.5259]
train_epoch: 1008, loss: 0.6877, recall20: 0.0000 recall10: 0.0000 [26.5556]
train_epoch: 1009, loss: 0.6877, recall20: 0.0000 recall10: 0.0000 [26.5858]
train_epoch: 1010, loss: 0.6877, recall20: 0.0000 recall10: 0.0000 [26.6156]
train_epoch: 1011, loss: 0.6877, recall20: 0.0000 recall10: 0.0000 [26.6466]
train_epoch: 1012, loss: 0.6877, recall20: 0.0000 recall10: 0.0000 [26.6761]
train_epoch: 1013, loss: 0.6877, recall20: 0.0000 recall10: 0.0000 [26.7066]
train_epoch: 1014, loss: 0.6877, recall20: 0.0000 recall10: 0.0000 [26.7356]
train_epoch: 1015, loss: 0.6877, recall20: 0.0000 recall10: 0.0000 [26.7657]
train_epoch: 1016, loss: 0.6877, recall20: 0.0000 recall10: 0.0000 [26.7949]
train_epoch: 1017, loss: 0.6877, recall20: 0.0000 recall10: 0.0000 [26.8240]
train_epoch: 1018, loss: 0.6877, recall20: 0.0000 recall10: 0.0000 [26.8558]
train_epoch: 1019, loss: 0.6877, recall20: 0.0000 recall10: 0.0000 [26.8861]
train_epoch: 1020, loss: 0.6876, recall20: 0.0000 recall10: 0.0000 [26.9157]
train_epoch: 1021, loss: 0.6876, recall20: 0.0000 recall10: 0.0000 [26.9460]
train_epoch: 1022, loss: 0.6876, recall20: 0.0000 recall10: 0.0000 [26.9756]
train_epoch: 1023, loss: 0.6876, recall20: 0.0000 recall10: 0.0000 [27.0028]
train_epoch: 1024, loss: 0.6876, recall20: 0.0000 recall10: 0.0000 [27.0299]
train_epoch: 1025, loss: 0.6876, recall20: 0.0000 recall10: 0.0000 [27.0588]
train_epoch: 1026, loss: 0.6876, recall20: 0.0000 recall10: 0.0000 [27.0871]
train_epoch: 1027, loss: 0.6876, recall20: 0.0000 recall10: 0.0000 [27.1146]
train_epoch: 1028, loss: 0.6876, recall20: 0.0000 recall10: 0.0000 [27.1419]
train_epoch: 1029, loss: 0.6876, recall20: 0.0000 recall10: 0.0000 [27.1701]
train_epoch: 1030, loss: 0.6876, recall20: 0.0000 recall10: 0.0000 [27.1977]
train_epoch: 1031, loss: 0.6876, recall20: 0.0000 recall10: 0.0000 [27.2258]
train_epoch: 1032, loss: 0.6876, recall20: 0.0000 recall10: 0.0000 [27.2541]
train_epoch: 1033, loss: 0.6876, recall20: 0.0000 recall10: 0.0000 [27.2848]
train_epoch: 1034, loss: 0.6876, recall20: 0.0000 recall10: 0.0000 [27.3136]
train_epoch: 1035, loss: 0.6875, recall20: 0.0000 recall10: 0.0000 [27.3429]
train_epoch: 1036, loss: 0.6875, recall20: 0.0000 recall10: 0.0000 [27.3706]
train_epoch: 1037, loss: 0.6875, recall20: 0.0000 recall10: 0.0000 [27.3991]
train_epoch: 1038, loss: 0.6875, recall20: 0.0000 recall10: 0.0000 [27.4277]
train_epoch: 1039, loss: 0.6875, recall20: 0.0000 recall10: 0.0000 [27.4572]
train_epoch: 1040, loss: 0.6875, recall20: 0.0000 recall10: 0.0000 [27.4861]
train_epoch: 1041, loss: 0.6875, recall20: 0.0000 recall10: 0.0000 [27.5141]
train_epoch: 1042, loss: 0.6875, recall20: 0.0000 recall10: 0.0000 [27.5420]
train_epoch: 1043, loss: 0.6875, recall20: 0.0000 recall10: 0.0000 [27.5700]
train_epoch: 1044, loss: 0.6875, recall20: 0.0000 recall10: 0.0000 [27.5971]
train_epoch: 1045, loss: 0.6875, recall20: 0.0000 recall10: 0.0000 [27.6250]
train_epoch: 1046, loss: 0.6875, recall20: 0.0000 recall10: 0.0000 [27.6528]
train_epoch: 1047, loss: 0.6875, recall20: 0.0000 recall10: 0.0000 [27.6810]
train_epoch: 1048, loss: 0.6875, recall20: 0.0000 recall10: 0.0000 [27.7079]
train_epoch: 1049, loss: 0.6875, recall20: 0.0000 recall10: 0.0000 [27.7351]
train_epoch: 1050, loss: 0.6874, recall20: 0.0000 recall10: 0.0000 [27.7628]
train_epoch: 1051, loss: 0.6874, recall20: 0.0000 recall10: 0.0000 [27.7898]
train_epoch: 1052, loss: 0.6874, recall20: 0.0000 recall10: 0.0000 [27.8188]
train_epoch: 1053, loss: 0.6874, recall20: 0.0000 recall10: 0.0000 [27.8472]
train_epoch: 1054, loss: 0.6874, recall20: 0.0000 recall10: 0.0000 [27.8748]
train_epoch: 1055, loss: 0.6874, recall20: 0.0000 recall10: 0.0000 [27.9026]
train_epoch: 1056, loss: 0.6874, recall20: 0.0000 recall10: 0.0000 [27.9300]
train_epoch: 1057, loss: 0.6874, recall20: 0.0000 recall10: 0.0000 [27.9584]
train_epoch: 1058, loss: 0.6874, recall20: 0.0000 recall10: 0.0000 [27.9867]
train_epoch: 1059, loss: 0.6874, recall20: 0.0000 recall10: 0.0000 [28.0147]
train_epoch: 1060, loss: 0.6874, recall20: 0.0000 recall10: 0.0000 [28.0409]
train_epoch: 1061, loss: 0.6874, recall20: 0.0000 recall10: 0.0000 [28.0687]
train_epoch: 1062, loss: 0.6874, recall20: 0.0000 recall10: 0.0000 [28.0949]
train_epoch: 1063, loss: 0.6874, recall20: 0.0000 recall10: 0.0000 [28.1232]
train_epoch: 1064, loss: 0.6874, recall20: 0.0000 recall10: 0.0000 [28.1509]
train_epoch: 1065, loss: 0.6873, recall20: 0.0000 recall10: 0.0000 [28.1790]
train_epoch: 1066, loss: 0.6873, recall20: 0.0000 recall10: 0.0000 [28.2067]
train_epoch: 1067, loss: 0.6873, recall20: 0.0000 recall10: 0.0000 [28.2347]
train_epoch: 1068, loss: 0.6873, recall20: 0.0000 recall10: 0.0000 [28.2633]
train_epoch: 1069, loss: 0.6873, recall20: 0.0000 recall10: 0.0000 [28.2909]
train_epoch: 1070, loss: 0.6873, recall20: 0.0000 recall10: 0.0000 [28.3187]
train_epoch: 1071, loss: 0.6873, recall20: 0.0000 recall10: 0.0000 [28.3467]
train_epoch: 1072, loss: 0.6873, recall20: 0.0000 recall10: 0.0000 [28.3738]
train_epoch: 1073, loss: 0.6873, recall20: 0.0000 recall10: 0.0000 [28.4022]
train_epoch: 1074, loss: 0.6873, recall20: 0.0000 recall10: 0.0000 [28.4307]
