{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'i'}
train_epoch: 1001, loss: 0.6579, recall20: 0.0000 recall10: 0.0000 [7.8553]
train_epoch: 1002, loss: 0.6578, recall20: 0.0000 recall10: 0.0000 [7.8660]
train_epoch: 1003, loss: 0.6578, recall20: 0.0000 recall10: 0.0000 [7.8741]
train_epoch: 1004, loss: 0.6577, recall20: 0.0000 recall10: 0.0000 [7.8820]
train_epoch: 1005, loss: 0.6577, recall20: 0.0000 recall10: 0.0000 [7.8929]
train_epoch: 1006, loss: 0.6577, recall20: 0.0000 recall10: 0.0000 [7.9007]
train_epoch: 1007, loss: 0.6576, recall20: 0.0000 recall10: 0.0000 [7.9087]
train_epoch: 1008, loss: 0.6576, recall20: 0.0000 recall10: 0.0000 [7.9175]
train_epoch: 1009, loss: 0.6576, recall20: 0.0000 recall10: 0.0000 [7.9257]
train_epoch: 1010, loss: 0.6575, recall20: 0.0000 recall10: 0.0000 [7.9339]
train_epoch: 1011, loss: 0.6575, recall20: 0.0000 recall10: 0.0000 [7.9426]
train_epoch: 1012, loss: 0.6575, recall20: 0.0000 recall10: 0.0000 [7.9507]
train_epoch: 1013, loss: 0.6574, recall20: 0.0000 recall10: 0.0000 [7.9587]
train_epoch: 1014, loss: 0.6574, recall20: 0.0000 recall10: 0.0000 [7.9672]
train_epoch: 1015, loss: 0.6574, recall20: 0.0000 recall10: 0.0000 [7.9752]
train_epoch: 1016, loss: 0.6573, recall20: 0.0000 recall10: 0.0000 [7.9832]
train_epoch: 1017, loss: 0.6573, recall20: 0.0000 recall10: 0.0000 [7.9913]
train_epoch: 1018, loss: 0.6572, recall20: 0.0000 recall10: 0.0000 [7.9994]
train_epoch: 1019, loss: 0.6572, recall20: 0.0000 recall10: 0.0000 [8.0073]
train_epoch: 1020, loss: 0.6572, recall20: 0.0000 recall10: 0.0000 [8.0156]
train_epoch: 1021, loss: 0.6571, recall20: 0.0000 recall10: 0.0000 [8.0252]
train_epoch: 1022, loss: 0.6571, recall20: 0.0000 recall10: 0.0000 [8.0337]
train_epoch: 1023, loss: 0.6571, recall20: 0.0000 recall10: 0.0000 [8.0425]
train_epoch: 1024, loss: 0.6570, recall20: 0.0000 recall10: 0.0000 [8.0530]
train_epoch: 1025, loss: 0.6570, recall20: 0.0000 recall10: 0.0000 [8.0626]
train_epoch: 1026, loss: 0.6570, recall20: 0.0000 recall10: 0.0000 [8.0707]
train_epoch: 1027, loss: 0.6569, recall20: 0.0000 recall10: 0.0000 [8.0797]
train_epoch: 1028, loss: 0.6569, recall20: 0.0000 recall10: 0.0000 [8.0883]
train_epoch: 1029, loss: 0.6568, recall20: 0.0000 recall10: 0.0000 [8.0973]
train_epoch: 1030, loss: 0.6568, recall20: 0.0000 recall10: 0.0000 [8.1057]
train_epoch: 1031, loss: 0.6568, recall20: 0.0000 recall10: 0.0000 [8.1138]
train_epoch: 1032, loss: 0.6567, recall20: 0.0000 recall10: 0.0000 [8.1228]
train_epoch: 1033, loss: 0.6567, recall20: 0.0000 recall10: 0.0000 [8.1318]
train_epoch: 1034, loss: 0.6567, recall20: 0.0000 recall10: 0.0000 [8.1404]
train_epoch: 1035, loss: 0.6566, recall20: 0.0000 recall10: 0.0000 [8.1505]
train_epoch: 1036, loss: 0.6566, recall20: 0.0000 recall10: 0.0000 [8.1589]
train_epoch: 1037, loss: 0.6566, recall20: 0.0000 recall10: 0.0000 [8.1674]
train_epoch: 1038, loss: 0.6565, recall20: 0.0000 recall10: 0.0000 [8.1763]
train_epoch: 1039, loss: 0.6565, recall20: 0.0000 recall10: 0.0000 [8.1846]
train_epoch: 1040, loss: 0.6565, recall20: 0.0000 recall10: 0.0000 [8.1931]
train_epoch: 1041, loss: 0.6564, recall20: 0.0000 recall10: 0.0000 [8.2017]
train_epoch: 1042, loss: 0.6564, recall20: 0.0000 recall10: 0.0000 [8.2113]
train_epoch: 1043, loss: 0.6563, recall20: 0.0000 recall10: 0.0000 [8.2218]
train_epoch: 1044, loss: 0.6563, recall20: 0.0000 recall10: 0.0000 [8.2311]
train_epoch: 1045, loss: 0.6563, recall20: 0.0000 recall10: 0.0000 [8.2392]
train_epoch: 1046, loss: 0.6562, recall20: 0.0000 recall10: 0.0000 [8.2475]
train_epoch: 1047, loss: 0.6562, recall20: 0.0000 recall10: 0.0000 [8.2561]
train_epoch: 1048, loss: 0.6562, recall20: 0.0000 recall10: 0.0000 [8.2651]
train_epoch: 1049, loss: 0.6561, recall20: 0.0000 recall10: 0.0000 [8.2735]
train_epoch: 1050, loss: 0.6561, recall20: 0.0000 recall10: 0.0000 [8.2827]
train_epoch: 1051, loss: 0.6561, recall20: 0.0000 recall10: 0.0000 [8.2916]
train_epoch: 1052, loss: 0.6560, recall20: 0.0000 recall10: 0.0000 [8.3012]
train_epoch: 1053, loss: 0.6560, recall20: 0.0000 recall10: 0.0000 [8.3093]
train_epoch: 1054, loss: 0.6560, recall20: 0.0000 recall10: 0.0000 [8.3182]
train_epoch: 1055, loss: 0.6559, recall20: 0.0000 recall10: 0.0000 [8.3280]
train_epoch: 1056, loss: 0.6559, recall20: 0.0000 recall10: 0.0000 [8.3374]
train_epoch: 1057, loss: 0.6559, recall20: 0.0000 recall10: 0.0000 [8.3457]
train_epoch: 1058, loss: 0.6558, recall20: 0.0000 recall10: 0.0000 [8.3546]
train_epoch: 1059, loss: 0.6558, recall20: 0.0000 recall10: 0.0000 [8.3635]
train_epoch: 1060, loss: 0.6558, recall20: 0.0000 recall10: 0.0000 [8.3714]
train_epoch: 1061, loss: 0.6557, recall20: 0.0000 recall10: 0.0000 [8.3801]
train_epoch: 1062, loss: 0.6557, recall20: 0.0000 recall10: 0.0000 [8.3897]
train_epoch: 1063, loss: 0.6557, recall20: 0.0000 recall10: 0.0000 [8.3984]
train_epoch: 1064, loss: 0.6556, recall20: 0.0000 recall10: 0.0000 [8.4068]
train_epoch: 1065, loss: 0.6556, recall20: 0.0000 recall10: 0.0000 [8.4153]
train_epoch: 1066, loss: 0.6556, recall20: 0.0000 recall10: 0.0000 [8.4238]
train_epoch: 1067, loss: 0.6555, recall20: 0.0000 recall10: 0.0000 [8.4324]
train_epoch: 1068, loss: 0.6555, recall20: 0.0000 recall10: 0.0000 [8.4414]
train_epoch: 1069, loss: 0.6555, recall20: 0.0000 recall10: 0.0000 [8.4498]
train_epoch: 1070, loss: 0.6554, recall20: 0.0000 recall10: 0.0000 [8.4582]
train_epoch: 1071, loss: 0.6554, recall20: 0.0000 recall10: 0.0000 [8.4665]
train_epoch: 1072, loss: 0.6554, recall20: 0.0000 recall10: 0.0000 [8.4747]
train_epoch: 1073, loss: 0.6553, recall20: 0.0000 recall10: 0.0000 [8.4829]
train_epoch: 1074, loss: 0.6553, recall20: 0.0000 recall10: 0.0000 [8.4909]
train_epoch: 1075, loss: 0.6553, recall20: 0.0000 recall10: 0.0000 [8.4992]
train_epoch: 1076, loss: 0.6552, recall20: 0.0000 recall10: 0.0000 [8.5073]
train_epoch: 1077, loss: 0.6552, recall20: 0.0000 recall10: 0.0000 [8.5152]
train_epoch: 1078, loss: 0.6552, recall20: 0.0000 recall10: 0.0000 [8.5232]
train_epoch: 1079, loss: 0.6551, recall20: 0.0000 recall10: 0.0000 [8.5305]
train_epoch: 1080, loss: 0.6551, recall20: 0.0000 recall10: 0.0000 [8.5389]
train_epoch: 1081, loss: 0.6550, recall20: 0.0000 recall10: 0.0000 [8.5471]
train_epoch: 1082, loss: 0.6550, recall20: 0.0000 recall10: 0.0000 [8.5560]
train_epoch: 1083, loss: 0.6550, recall20: 0.0000 recall10: 0.0000 [8.5641]
train_epoch: 1084, loss: 0.6549, recall20: 0.0000 recall10: 0.0000 [8.5720]
train_epoch: 1085, loss: 0.6549, recall20: 0.0000 recall10: 0.0000 [8.5795]
train_epoch: 1086, loss: 0.6549, recall20: 0.0000 recall10: 0.0000 [8.5879]
train_epoch: 1087, loss: 0.6548, recall20: 0.0000 recall10: 0.0000 [8.5970]
train_epoch: 1088, loss: 0.6548, recall20: 0.0000 recall10: 0.0000 [8.6065]
train_epoch: 1089, loss: 0.6548, recall20: 0.0000 recall10: 0.0000 [8.6153]
train_epoch: 1090, loss: 0.6547, recall20: 0.0000 recall10: 0.0000 [8.6236]
train_epoch: 1091, loss: 0.6547, recall20: 0.0000 recall10: 0.0000 [8.6319]
train_epoch: 1092, loss: 0.6547, recall20: 0.0000 recall10: 0.0000 [8.6398]
train_epoch: 1093, loss: 0.6546, recall20: 0.0000 recall10: 0.0000 [8.6479]
train_epoch: 1094, loss: 0.6546, recall20: 0.0000 recall10: 0.0000 [8.6563]
train_epoch: 1095, loss: 0.6546, recall20: 0.0000 recall10: 0.0000 [8.6649]
train_epoch: 1096, loss: 0.6545, recall20: 0.0000 recall10: 0.0000 [8.6738]
train_epoch: 1097, loss: 0.6545, recall20: 0.0000 recall10: 0.0000 [8.6823]
train_epoch: 1098, loss: 0.6545, recall20: 0.0000 recall10: 0.0000 [8.6904]
train_epoch: 1099, loss: 0.6544, recall20: 0.0000 recall10: 0.0000 [8.6986]
train_epoch: 1100, loss: 0.6544, recall20: 0.0000 recall10: 0.0000 [8.7068]
train_epoch: 1101, loss: 0.6544, recall20: 0.0000 recall10: 0.0000 [8.7158]
train_epoch: 1102, loss: 0.6543, recall20: 0.0000 recall10: 0.0000 [8.7246]
train_epoch: 1103, loss: 0.6543, recall20: 0.0000 recall10: 0.0000 [8.7341]
train_epoch: 1104, loss: 0.6542, recall20: 0.0000 recall10: 0.0000 [8.7430]
train_epoch: 1105, loss: 0.6542, recall20: 0.0000 recall10: 0.0000 [8.7579]
train_epoch: 1106, loss: 0.6542, recall20: 0.0000 recall10: 0.0000 [8.7665]
train_epoch: 1107, loss: 0.6541, recall20: 0.0000 recall10: 0.0000 [8.7754]
train_epoch: 1108, loss: 0.6541, recall20: 0.0000 recall10: 0.0000 [8.7841]
train_epoch: 1109, loss: 0.6541, recall20: 0.0000 recall10: 0.0000 [8.7928]
train_epoch: 1110, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [8.8023]
train_epoch: 1111, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [8.8112]
train_epoch: 1112, loss: 0.6540, recall20: 0.0000 recall10: 0.0000 [8.8205]
train_epoch: 1113, loss: 0.6539, recall20: 0.0000 recall10: 0.0000 [8.8295]
train_epoch: 1114, loss: 0.6539, recall20: 0.0000 recall10: 0.0000 [8.8376]
train_epoch: 1115, loss: 0.6539, recall20: 0.0000 recall10: 0.0000 [8.8456]
train_epoch: 1116, loss: 0.6538, recall20: 0.0000 recall10: 0.0000 [8.8534]
train_epoch: 1117, loss: 0.6538, recall20: 0.0000 recall10: 0.0000 [8.8615]
