{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6890, recall20: 0.0000 recall10: 0.0000 [35.5052]
train_epoch: 1002, loss: 0.6890, recall20: 0.0000 recall10: 0.0000 [35.5596]
train_epoch: 1003, loss: 0.6890, recall20: 0.0000 recall10: 0.0000 [35.6102]
train_epoch: 1004, loss: 0.6890, recall20: 0.0000 recall10: 0.0000 [35.6622]
train_epoch: 1005, loss: 0.6890, recall20: 0.0000 recall10: 0.0000 [35.6995]
train_epoch: 1006, loss: 0.6890, recall20: 0.0000 recall10: 0.0000 [35.7556]
train_epoch: 1007, loss: 0.6890, recall20: 0.0000 recall10: 0.0000 [35.8104]
train_epoch: 1008, loss: 0.6890, recall20: 0.0000 recall10: 0.0000 [35.8285]
train_epoch: 1009, loss: 0.6890, recall20: 0.0000 recall10: 0.0000 [35.8429]
train_epoch: 1010, loss: 0.6890, recall20: 0.0000 recall10: 0.0000 [35.8567]
train_epoch: 1011, loss: 0.6890, recall20: 0.0000 recall10: 0.0000 [35.8732]
train_epoch: 1012, loss: 0.6890, recall20: 0.0000 recall10: 0.0000 [35.8869]
train_epoch: 1013, loss: 0.6890, recall20: 0.0000 recall10: 0.0000 [35.8988]
train_epoch: 1014, loss: 0.6890, recall20: 0.0000 recall10: 0.0000 [35.9106]
train_epoch: 1015, loss: 0.6890, recall20: 0.0000 recall10: 0.0000 [35.9227]
train_epoch: 1016, loss: 0.6890, recall20: 0.0000 recall10: 0.0000 [35.9345]
train_epoch: 1017, loss: 0.6889, recall20: 0.0000 recall10: 0.0000 [35.9464]
train_epoch: 1018, loss: 0.6889, recall20: 0.0000 recall10: 0.0000 [35.9580]
train_epoch: 1019, loss: 0.6889, recall20: 0.0000 recall10: 0.0000 [35.9996]
train_epoch: 1020, loss: 0.6889, recall20: 0.0000 recall10: 0.0000 [36.0545]
train_epoch: 1021, loss: 0.6889, recall20: 0.0000 recall10: 0.0000 [36.1102]
train_epoch: 1022, loss: 0.6889, recall20: 0.0000 recall10: 0.0000 [36.1588]
train_epoch: 1023, loss: 0.6889, recall20: 0.0000 recall10: 0.0000 [36.2190]
train_epoch: 1024, loss: 0.6889, recall20: 0.0000 recall10: 0.0000 [36.2746]
train_epoch: 1025, loss: 0.6889, recall20: 0.0000 recall10: 0.0000 [36.3244]
train_epoch: 1026, loss: 0.6889, recall20: 0.0000 recall10: 0.0000 [36.3818]
train_epoch: 1027, loss: 0.6889, recall20: 0.0000 recall10: 0.0000 [36.4381]
train_epoch: 1028, loss: 0.6889, recall20: 0.0000 recall10: 0.0000 [36.4884]
train_epoch: 1029, loss: 0.6889, recall20: 0.0000 recall10: 0.0000 [36.5450]
train_epoch: 1030, loss: 0.6889, recall20: 0.0000 recall10: 0.0000 [36.5811]
train_epoch: 1031, loss: 0.6889, recall20: 0.0000 recall10: 0.0000 [36.6375]
train_epoch: 1032, loss: 0.6889, recall20: 0.0000 recall10: 0.0000 [36.6518]
train_epoch: 1033, loss: 0.6889, recall20: 0.0000 recall10: 0.0000 [36.6676]
train_epoch: 1034, loss: 0.6888, recall20: 0.0000 recall10: 0.0000 [36.6815]
train_epoch: 1035, loss: 0.6888, recall20: 0.0000 recall10: 0.0000 [36.6961]
train_epoch: 1036, loss: 0.6888, recall20: 0.0000 recall10: 0.0000 [36.7113]
