{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'h'}
train_epoch: 1001, loss: 0.7495, recall20: 0.0000 recall10: 0.0000 [60.5054]
train_epoch: 1002, loss: 0.7495, recall20: 0.0000 recall10: 0.0000 [60.5864]
train_epoch: 1003, loss: 0.7495, recall20: 0.0000 recall10: 0.0000 [60.6624]
train_epoch: 1004, loss: 0.7494, recall20: 0.0000 recall10: 0.0000 [60.7375]
train_epoch: 1005, loss: 0.7494, recall20: 0.0000 recall10: 0.0000 [60.8135]
train_epoch: 1006, loss: 0.7494, recall20: 0.0000 recall10: 0.0000 [60.8902]
train_epoch: 1007, loss: 0.7494, recall20: 0.0000 recall10: 0.0000 [60.9663]
train_epoch: 1008, loss: 0.7493, recall20: 0.0000 recall10: 0.0000 [61.0425]
train_epoch: 1009, loss: 0.7493, recall20: 0.0000 recall10: 0.0000 [61.1190]
train_epoch: 1010, loss: 0.7493, recall20: 0.0000 recall10: 0.0000 [61.1946]
train_epoch: 1011, loss: 0.7493, recall20: 0.0000 recall10: 0.0000 [61.2714]
train_epoch: 1012, loss: 0.7492, recall20: 0.0000 recall10: 0.0000 [61.3481]
train_epoch: 1013, loss: 0.7492, recall20: 0.0000 recall10: 0.0000 [61.4248]
train_epoch: 1014, loss: 0.7492, recall20: 0.0000 recall10: 0.0000 [61.5009]
train_epoch: 1015, loss: 0.7491, recall20: 0.0000 recall10: 0.0000 [61.5760]
train_epoch: 1016, loss: 0.7491, recall20: 0.0000 recall10: 0.0000 [61.6510]
train_epoch: 1017, loss: 0.7491, recall20: 0.0000 recall10: 0.0000 [61.7268]
train_epoch: 1018, loss: 0.7491, recall20: 0.0000 recall10: 0.0000 [61.8019]
train_epoch: 1019, loss: 0.7490, recall20: 0.0000 recall10: 0.0000 [61.8770]
train_epoch: 1020, loss: 0.7490, recall20: 0.0000 recall10: 0.0000 [61.9534]
train_epoch: 1021, loss: 0.7490, recall20: 0.0000 recall10: 0.0000 [62.0300]
train_epoch: 1022, loss: 0.7490, recall20: 0.0000 recall10: 0.0000 [62.1059]
train_epoch: 1023, loss: 0.7489, recall20: 0.0000 recall10: 0.0000 [62.1817]
train_epoch: 1024, loss: 0.7489, recall20: 0.0000 recall10: 0.0000 [62.2575]
train_epoch: 1025, loss: 0.7489, recall20: 0.0000 recall10: 0.0000 [62.3395]
train_epoch: 1026, loss: 0.7489, recall20: 0.0000 recall10: 0.0000 [62.4160]
train_epoch: 1027, loss: 0.7488, recall20: 0.0000 recall10: 0.0000 [62.4921]
train_epoch: 1028, loss: 0.7488, recall20: 0.0000 recall10: 0.0000 [62.5692]
train_epoch: 1029, loss: 0.7488, recall20: 0.0000 recall10: 0.0000 [62.6459]
train_epoch: 1030, loss: 0.7487, recall20: 0.0000 recall10: 0.0000 [62.7223]
train_epoch: 1031, loss: 0.7487, recall20: 0.0000 recall10: 0.0000 [62.7980]
train_epoch: 1032, loss: 0.7487, recall20: 0.0000 recall10: 0.0000 [62.8719]
train_epoch: 1033, loss: 0.7487, recall20: 0.0000 recall10: 0.0000 [62.9476]
train_epoch: 1034, loss: 0.7486, recall20: 0.0000 recall10: 0.0000 [63.0240]
train_epoch: 1035, loss: 0.7486, recall20: 0.0000 recall10: 0.0000 [63.1008]
train_epoch: 1036, loss: 0.7486, recall20: 0.0000 recall10: 0.0000 [63.1772]
train_epoch: 1037, loss: 0.7486, recall20: 0.0000 recall10: 0.0000 [63.2517]
train_epoch: 1038, loss: 0.7485, recall20: 0.0000 recall10: 0.0000 [63.3267]
train_epoch: 1039, loss: 0.7485, recall20: 0.0000 recall10: 0.0000 [63.4027]
train_epoch: 1040, loss: 0.7485, recall20: 0.0000 recall10: 0.0000 [63.4785]
train_epoch: 1041, loss: 0.7484, recall20: 0.0000 recall10: 0.0000 [63.5545]
train_epoch: 1042, loss: 0.7484, recall20: 0.0000 recall10: 0.0000 [63.6306]
train_epoch: 1043, loss: 0.7484, recall20: 0.0000 recall10: 0.0000 [63.7061]
train_epoch: 1044, loss: 0.7484, recall20: 0.0000 recall10: 0.0000 [63.7828]
train_epoch: 1045, loss: 0.7483, recall20: 0.0000 recall10: 0.0000 [63.8590]
train_epoch: 1046, loss: 0.7483, recall20: 0.0000 recall10: 0.0000 [63.9353]
train_epoch: 1047, loss: 0.7483, recall20: 0.0000 recall10: 0.0000 [64.0113]
train_epoch: 1048, loss: 0.7483, recall20: 0.0000 recall10: 0.0000 [64.0878]
train_epoch: 1049, loss: 0.7483, recall20: 0.0000 recall10: 0.0000 [64.1638]
train_epoch: 1050, loss: 0.7482, recall20: 0.0000 recall10: 0.0000 [64.2407]
train_epoch: 1051, loss: 0.7482, recall20: 0.0000 recall10: 0.0000 [64.3167]
train_epoch: 1052, loss: 0.7482, recall20: 0.0000 recall10: 0.0000 [64.3933]
train_epoch: 1053, loss: 0.7481, recall20: 0.0000 recall10: 0.0000 [64.4691]
train_epoch: 1054, loss: 0.7481, recall20: 0.0000 recall10: 0.0000 [64.5459]
train_epoch: 1055, loss: 0.7481, recall20: 0.0000 recall10: 0.0000 [64.6221]
train_epoch: 1056, loss: 0.7481, recall20: 0.0000 recall10: 0.0000 [64.6981]
train_epoch: 1057, loss: 0.7480, recall20: 0.0000 recall10: 0.0000 [64.7744]
train_epoch: 1058, loss: 0.7480, recall20: 0.0000 recall10: 0.0000 [64.8503]
train_epoch: 1059, loss: 0.7480, recall20: 0.0000 recall10: 0.0000 [64.9257]
train_epoch: 1060, loss: 0.7480, recall20: 0.0000 recall10: 0.0000 [65.0022]
train_epoch: 1061, loss: 0.7479, recall20: 0.0000 recall10: 0.0000 [65.0786]
train_epoch: 1062, loss: 0.7479, recall20: 0.0000 recall10: 0.0000 [65.1552]
train_epoch: 1063, loss: 0.7479, recall20: 0.0000 recall10: 0.0000 [65.2314]
train_epoch: 1064, loss: 0.7478, recall20: 0.0000 recall10: 0.0000 [65.3062]
train_epoch: 1065, loss: 0.7478, recall20: 0.0000 recall10: 0.0000 [65.3823]
train_epoch: 1066, loss: 0.7478, recall20: 0.0000 recall10: 0.0000 [65.4555]
train_epoch: 1067, loss: 0.7478, recall20: 0.0000 recall10: 0.0000 [65.5281]
train_epoch: 1068, loss: 0.7477, recall20: 0.0000 recall10: 0.0000 [65.5836]
train_epoch: 1069, loss: 0.7477, recall20: 0.0000 recall10: 0.0000 [65.6312]
train_epoch: 1070, loss: 0.7477, recall20: 0.0000 recall10: 0.0000 [65.6809]
train_epoch: 1071, loss: 0.7477, recall20: 0.0000 recall10: 0.0000 [65.7294]
train_epoch: 1072, loss: 0.7476, recall20: 0.0000 recall10: 0.0000 [65.7766]
