{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [43.2348]
train_epoch: 1002, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [43.2816]
train_epoch: 1003, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [43.3241]
train_epoch: 1004, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [43.3619]
train_epoch: 1005, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [43.4043]
train_epoch: 1006, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [43.4478]
train_epoch: 1007, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [43.4927]
train_epoch: 1008, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [43.5366]
train_epoch: 1009, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [43.5820]
train_epoch: 1010, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [43.6281]
train_epoch: 1011, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [43.6753]
train_epoch: 1012, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [43.7219]
train_epoch: 1013, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [43.7666]
train_epoch: 1014, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [43.8130]
train_epoch: 1015, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [43.8578]
train_epoch: 1016, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [43.8963]
train_epoch: 1017, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [43.9385]
train_epoch: 1018, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [43.9757]
train_epoch: 1019, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.0076]
train_epoch: 1020, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.0498]
train_epoch: 1021, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.0867]
train_epoch: 1022, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.1260]
train_epoch: 1023, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.1719]
train_epoch: 1024, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.2154]
train_epoch: 1025, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.2615]
train_epoch: 1026, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.3090]
train_epoch: 1027, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.3578]
train_epoch: 1028, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.4023]
train_epoch: 1029, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.4552]
train_epoch: 1030, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.5002]
train_epoch: 1031, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.5385]
train_epoch: 1032, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.5742]
train_epoch: 1033, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.6046]
train_epoch: 1034, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.6692]
train_epoch: 1035, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.7567]
train_epoch: 1036, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.8303]
train_epoch: 1037, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.8811]
train_epoch: 1038, loss: 1.0289, recall20: 0.0000 recall10: 0.0000 [44.9281]
