{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6914, recall20: 0.0000 recall10: 0.0000 [33.4713]
train_epoch: 1002, loss: 0.6914, recall20: 0.0000 recall10: 0.0000 [33.5215]
train_epoch: 1003, loss: 0.6914, recall20: 0.0000 recall10: 0.0000 [33.5757]
train_epoch: 1004, loss: 0.6914, recall20: 0.0000 recall10: 0.0000 [33.6300]
train_epoch: 1005, loss: 0.6914, recall20: 0.0000 recall10: 0.0000 [33.6800]
train_epoch: 1006, loss: 0.6914, recall20: 0.0000 recall10: 0.0000 [33.7323]
train_epoch: 1007, loss: 0.6914, recall20: 0.0000 recall10: 0.0000 [33.7853]
train_epoch: 1008, loss: 0.6914, recall20: 0.0000 recall10: 0.0000 [33.8359]
train_epoch: 1009, loss: 0.6914, recall20: 0.0000 recall10: 0.0000 [33.8894]
train_epoch: 1010, loss: 0.6914, recall20: 0.0000 recall10: 0.0000 [33.9416]
train_epoch: 1011, loss: 0.6914, recall20: 0.0000 recall10: 0.0000 [33.9962]
train_epoch: 1012, loss: 0.6914, recall20: 0.0000 recall10: 0.0000 [34.0495]
train_epoch: 1013, loss: 0.6914, recall20: 0.0000 recall10: 0.0000 [34.0949]
train_epoch: 1014, loss: 0.6914, recall20: 0.0000 recall10: 0.0000 [34.1453]
train_epoch: 1015, loss: 0.6914, recall20: 0.0000 recall10: 0.0000 [34.1972]
train_epoch: 1016, loss: 0.6914, recall20: 0.0000 recall10: 0.0000 [34.2484]
train_epoch: 1017, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [34.3028]
train_epoch: 1018, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [34.3555]
train_epoch: 1019, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [34.3958]
train_epoch: 1020, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [34.4074]
train_epoch: 1021, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [34.4247]
train_epoch: 1022, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [34.4773]
train_epoch: 1023, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [34.5307]
train_epoch: 1024, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [34.5829]
train_epoch: 1025, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [34.6363]
train_epoch: 1026, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [34.6869]
train_epoch: 1027, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [34.7402]
train_epoch: 1028, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [34.7958]
train_epoch: 1029, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [34.8490]
train_epoch: 1030, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [34.8981]
train_epoch: 1031, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [34.9462]
train_epoch: 1032, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [34.9990]
train_epoch: 1033, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [35.0520]
train_epoch: 1034, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [35.1035]
train_epoch: 1035, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [35.1562]
train_epoch: 1036, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [35.2113]
train_epoch: 1037, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [35.2633]
train_epoch: 1038, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [35.3221]
train_epoch: 1039, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [35.3921]
train_epoch: 1040, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [35.4469]
train_epoch: 1041, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [35.5014]
train_epoch: 1042, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [35.5560]
train_epoch: 1043, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [35.6089]
train_epoch: 1044, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [35.6645]
train_epoch: 1045, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [35.7177]
train_epoch: 1046, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [35.7739]
train_epoch: 1047, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [35.8258]
train_epoch: 1048, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [35.8808]
train_epoch: 1049, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [35.9239]
train_epoch: 1050, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [35.9765]
train_epoch: 1051, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.0305]
train_epoch: 1052, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.0843]
train_epoch: 1053, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.1384]
train_epoch: 1054, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.1906]
train_epoch: 1055, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.2440]
train_epoch: 1056, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.2969]
train_epoch: 1057, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.3468]
train_epoch: 1058, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.3905]
train_epoch: 1059, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.4076]
train_epoch: 1060, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.4480]
train_epoch: 1061, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.5008]
train_epoch: 1062, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.5530]
train_epoch: 1063, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.6069]
train_epoch: 1064, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.6608]
train_epoch: 1065, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.7122]
train_epoch: 1066, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.7660]
train_epoch: 1067, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.8211]
train_epoch: 1068, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.8700]
train_epoch: 1069, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.9260]
train_epoch: 1070, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [36.9791]
train_epoch: 1071, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [37.0293]
train_epoch: 1072, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [37.0804]
train_epoch: 1073, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [37.1348]
train_epoch: 1074, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [37.1827]
train_epoch: 1075, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [37.2329]
train_epoch: 1076, loss: 0.6913, recall20: 0.0000 recall10: 0.0000 [37.2799]
