{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.4203, recall20: 0.0000 recall10: 0.0000 [8.8954]
train_epoch: 1002, loss: 0.4203, recall20: 0.0000 recall10: 0.0000 [8.9110]
train_epoch: 1003, loss: 0.4202, recall20: 0.0000 recall10: 0.0000 [8.9217]
train_epoch: 1004, loss: 0.4202, recall20: 0.0000 recall10: 0.0000 [8.9314]
train_epoch: 1005, loss: 0.4202, recall20: 0.0000 recall10: 0.0000 [8.9411]
train_epoch: 1006, loss: 0.4201, recall20: 0.0000 recall10: 0.0000 [8.9519]
train_epoch: 1007, loss: 0.4201, recall20: 0.0000 recall10: 0.0000 [8.9665]
train_epoch: 1008, loss: 0.4200, recall20: 0.0000 recall10: 0.0000 [8.9779]
train_epoch: 1009, loss: 0.4200, recall20: 0.0000 recall10: 0.0000 [8.9879]
train_epoch: 1010, loss: 0.4200, recall20: 0.0000 recall10: 0.0000 [8.9977]
train_epoch: 1011, loss: 0.4199, recall20: 0.0000 recall10: 0.0000 [9.0071]
train_epoch: 1012, loss: 0.4199, recall20: 0.0000 recall10: 0.0000 [9.0167]
train_epoch: 1013, loss: 0.4199, recall20: 0.0000 recall10: 0.0000 [9.0266]
train_epoch: 1014, loss: 0.4198, recall20: 0.0000 recall10: 0.0000 [9.0365]
train_epoch: 1015, loss: 0.4198, recall20: 0.0000 recall10: 0.0000 [9.0461]
train_epoch: 1016, loss: 0.4197, recall20: 0.0000 recall10: 0.0000 [9.0561]
train_epoch: 1017, loss: 0.4197, recall20: 0.0000 recall10: 0.0000 [9.0659]
train_epoch: 1018, loss: 0.4197, recall20: 0.0000 recall10: 0.0000 [9.0755]
train_epoch: 1019, loss: 0.4196, recall20: 0.0000 recall10: 0.0000 [9.0848]
train_epoch: 1020, loss: 0.4196, recall20: 0.0000 recall10: 0.0000 [9.0941]
train_epoch: 1021, loss: 0.4196, recall20: 0.0000 recall10: 0.0000 [9.1045]
train_epoch: 1022, loss: 0.4195, recall20: 0.0000 recall10: 0.0000 [9.1149]
train_epoch: 1023, loss: 0.4195, recall20: 0.0000 recall10: 0.0000 [9.1252]
train_epoch: 1024, loss: 0.4195, recall20: 0.0000 recall10: 0.0000 [9.1358]
train_epoch: 1025, loss: 0.4194, recall20: 0.0000 recall10: 0.0000 [9.1464]
train_epoch: 1026, loss: 0.4194, recall20: 0.0000 recall10: 0.0000 [9.1572]
train_epoch: 1027, loss: 0.4193, recall20: 0.0000 recall10: 0.0000 [9.1676]
train_epoch: 1028, loss: 0.4193, recall20: 0.0000 recall10: 0.0000 [9.1781]
train_epoch: 1029, loss: 0.4193, recall20: 0.0000 recall10: 0.0000 [9.1887]
train_epoch: 1030, loss: 0.4192, recall20: 0.0000 recall10: 0.0000 [9.1994]
train_epoch: 1031, loss: 0.4192, recall20: 0.0000 recall10: 0.0000 [9.2099]
train_epoch: 1032, loss: 0.4192, recall20: 0.0000 recall10: 0.0000 [9.2202]
train_epoch: 1033, loss: 0.4191, recall20: 0.0000 recall10: 0.0000 [9.2305]
train_epoch: 1034, loss: 0.4191, recall20: 0.0000 recall10: 0.0000 [9.2412]
train_epoch: 1035, loss: 0.4191, recall20: 0.0000 recall10: 0.0000 [9.2520]
train_epoch: 1036, loss: 0.4190, recall20: 0.0000 recall10: 0.0000 [9.2627]
train_epoch: 1037, loss: 0.4190, recall20: 0.0000 recall10: 0.0000 [9.2734]
train_epoch: 1038, loss: 0.4190, recall20: 0.0000 recall10: 0.0000 [9.2840]
train_epoch: 1039, loss: 0.4189, recall20: 0.0000 recall10: 0.0000 [9.2945]
train_epoch: 1040, loss: 0.4189, recall20: 0.0000 recall10: 0.0000 [9.3054]
train_epoch: 1041, loss: 0.4188, recall20: 0.0000 recall10: 0.0000 [9.3161]
train_epoch: 1042, loss: 0.4188, recall20: 0.0000 recall10: 0.0000 [9.3270]
train_epoch: 1043, loss: 0.4188, recall20: 0.0000 recall10: 0.0000 [9.3380]
train_epoch: 1044, loss: 0.4187, recall20: 0.0000 recall10: 0.0000 [9.3485]
train_epoch: 1045, loss: 0.4187, recall20: 0.0000 recall10: 0.0000 [9.3591]
train_epoch: 1046, loss: 0.4187, recall20: 0.0000 recall10: 0.0000 [9.3701]
