{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.3630, recall20: 0.0000 recall10: 0.0000 [32.5833]
train_epoch: 1002, loss: 0.3630, recall20: 0.0000 recall10: 0.0000 [32.6261]
train_epoch: 1003, loss: 0.3630, recall20: 0.0000 recall10: 0.0000 [32.6605]
train_epoch: 1004, loss: 0.3630, recall20: 0.0000 recall10: 0.0000 [32.6953]
train_epoch: 1005, loss: 0.3629, recall20: 0.0000 recall10: 0.0000 [32.7301]
train_epoch: 1006, loss: 0.3629, recall20: 0.0000 recall10: 0.0000 [32.7650]
train_epoch: 1007, loss: 0.3629, recall20: 0.0000 recall10: 0.0000 [32.8007]
train_epoch: 1008, loss: 0.3629, recall20: 0.0000 recall10: 0.0000 [32.8359]
train_epoch: 1009, loss: 0.3629, recall20: 0.0000 recall10: 0.0000 [32.8713]
train_epoch: 1010, loss: 0.3629, recall20: 0.0000 recall10: 0.0000 [32.9052]
train_epoch: 1011, loss: 0.3628, recall20: 0.0000 recall10: 0.0000 [32.9417]
train_epoch: 1012, loss: 0.3628, recall20: 0.0000 recall10: 0.0000 [32.9782]
train_epoch: 1013, loss: 0.3628, recall20: 0.0000 recall10: 0.0000 [33.0142]
train_epoch: 1014, loss: 0.3628, recall20: 0.0000 recall10: 0.0000 [33.0501]
train_epoch: 1015, loss: 0.3628, recall20: 0.0000 recall10: 0.0000 [33.0857]
train_epoch: 1016, loss: 0.3628, recall20: 0.0000 recall10: 0.0000 [33.1212]
train_epoch: 1017, loss: 0.3627, recall20: 0.0000 recall10: 0.0000 [33.1567]
train_epoch: 1018, loss: 0.3627, recall20: 0.0000 recall10: 0.0000 [33.1905]
train_epoch: 1019, loss: 0.3627, recall20: 0.0000 recall10: 0.0000 [33.2247]
train_epoch: 1020, loss: 0.3627, recall20: 0.0000 recall10: 0.0000 [33.2607]
train_epoch: 1021, loss: 0.3627, recall20: 0.0000 recall10: 0.0000 [33.2964]
train_epoch: 1022, loss: 0.3627, recall20: 0.0000 recall10: 0.0000 [33.3314]
train_epoch: 1023, loss: 0.3627, recall20: 0.0000 recall10: 0.0000 [33.3663]
train_epoch: 1024, loss: 0.3626, recall20: 0.0000 recall10: 0.0000 [33.4000]
train_epoch: 1025, loss: 0.3626, recall20: 0.0000 recall10: 0.0000 [33.4348]
train_epoch: 1026, loss: 0.3626, recall20: 0.0000 recall10: 0.0000 [33.4701]
train_epoch: 1027, loss: 0.3626, recall20: 0.0000 recall10: 0.0000 [33.5064]
train_epoch: 1028, loss: 0.3626, recall20: 0.0000 recall10: 0.0000 [33.5419]
train_epoch: 1029, loss: 0.3626, recall20: 0.0000 recall10: 0.0000 [33.5774]
train_epoch: 1030, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [33.6129]
train_epoch: 1031, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [33.6465]
train_epoch: 1032, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [33.6815]
train_epoch: 1033, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [33.7165]
train_epoch: 1034, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [33.7514]
train_epoch: 1035, loss: 0.3625, recall20: 0.0000 recall10: 0.0000 [33.7877]
train_epoch: 1036, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [33.8230]
train_epoch: 1037, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [33.8567]
train_epoch: 1038, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [33.8915]
train_epoch: 1039, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [33.9258]
train_epoch: 1040, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [33.9606]
train_epoch: 1041, loss: 0.3624, recall20: 0.0000 recall10: 0.0000 [33.9945]
train_epoch: 1042, loss: 0.3623, recall20: 0.0000 recall10: 0.0000 [34.0296]
train_epoch: 1043, loss: 0.3623, recall20: 0.0000 recall10: 0.0000 [34.0651]
train_epoch: 1044, loss: 0.3623, recall20: 0.0000 recall10: 0.0000 [34.1024]
train_epoch: 1045, loss: 0.3623, recall20: 0.0000 recall10: 0.0000 [34.1385]
train_epoch: 1046, loss: 0.3623, recall20: 0.0000 recall10: 0.0000 [34.1728]
train_epoch: 1047, loss: 0.3623, recall20: 0.0000 recall10: 0.0000 [34.2070]
