{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.3462, recall20: 0.0000 recall10: 0.0000 [56.5127]
train_epoch: 1002, loss: 0.3462, recall20: 0.0000 recall10: 0.0000 [56.5840]
train_epoch: 1003, loss: 0.3462, recall20: 0.0000 recall10: 0.0000 [56.6527]
train_epoch: 1004, loss: 0.3462, recall20: 0.0000 recall10: 0.0000 [56.7205]
train_epoch: 1005, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [56.7875]
train_epoch: 1006, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [56.8553]
train_epoch: 1007, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [56.9240]
train_epoch: 1008, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [56.9934]
train_epoch: 1009, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [57.0620]
train_epoch: 1010, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [57.1310]
train_epoch: 1011, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [57.1964]
train_epoch: 1012, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [57.2617]
train_epoch: 1013, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [57.3290]
train_epoch: 1014, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [57.3964]
train_epoch: 1015, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [57.4641]
train_epoch: 1016, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [57.5297]
train_epoch: 1017, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [57.5962]
train_epoch: 1018, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [57.6648]
train_epoch: 1019, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [57.7343]
train_epoch: 1020, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [57.8029]
train_epoch: 1021, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [57.8703]
train_epoch: 1022, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [57.9370]
train_epoch: 1023, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [58.0045]
train_epoch: 1024, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [58.0719]
train_epoch: 1025, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [58.1398]
train_epoch: 1026, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [58.2077]
train_epoch: 1027, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [58.2767]
train_epoch: 1028, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [58.3448]
train_epoch: 1029, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [58.4132]
train_epoch: 1030, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [58.4811]
train_epoch: 1031, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [58.5488]
train_epoch: 1032, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [58.6155]
train_epoch: 1033, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [58.6841]
train_epoch: 1034, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [58.7516]
train_epoch: 1035, loss: 0.3459, recall20: 0.0000 recall10: 0.0000 [58.8188]
train_epoch: 1036, loss: 0.3459, recall20: 0.0000 recall10: 0.0000 [58.8840]
train_epoch: 1037, loss: 0.3459, recall20: 0.0000 recall10: 0.0000 [58.9512]
train_epoch: 1038, loss: 0.3459, recall20: 0.0000 recall10: 0.0000 [59.0173]
train_epoch: 1039, loss: 0.3459, recall20: 0.0000 recall10: 0.0000 [59.0836]
train_epoch: 1040, loss: 0.3459, recall20: 0.0000 recall10: 0.0000 [59.1517]
train_epoch: 1041, loss: 0.3459, recall20: 0.0000 recall10: 0.0000 [59.2197]
train_epoch: 1042, loss: 0.3459, recall20: 0.0000 recall10: 0.0000 [59.2882]
train_epoch: 1043, loss: 0.3459, recall20: 0.0000 recall10: 0.0000 [59.3572]
train_epoch: 1044, loss: 0.3459, recall20: 0.0000 recall10: 0.0000 [59.4253]
train_epoch: 1045, loss: 0.3459, recall20: 0.0000 recall10: 0.0000 [59.4935]
train_epoch: 1046, loss: 0.3459, recall20: 0.0000 recall10: 0.0000 [59.5610]
train_epoch: 1047, loss: 0.3459, recall20: 0.0000 recall10: 0.0000 [59.6291]
train_epoch: 1048, loss: 0.3459, recall20: 0.0000 recall10: 0.0000 [59.6976]
train_epoch: 1049, loss: 0.3459, recall20: 0.0000 recall10: 0.0000 [59.7662]
train_epoch: 1050, loss: 0.3459, recall20: 0.0000 recall10: 0.0000 [59.8331]
