{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'i'}
train_epoch: 1001, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [52.6040]
train_epoch: 1002, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [52.6575]
train_epoch: 1003, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [52.7088]
train_epoch: 1004, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [52.7632]
train_epoch: 1005, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [52.8109]
train_epoch: 1006, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [52.8623]
train_epoch: 1007, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [52.9147]
train_epoch: 1008, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [52.9668]
train_epoch: 1009, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [53.0129]
train_epoch: 1010, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [53.0637]
train_epoch: 1011, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [53.1141]
train_epoch: 1012, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [53.1649]
train_epoch: 1013, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [53.2149]
train_epoch: 1014, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [53.2674]
train_epoch: 1015, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [53.3194]
train_epoch: 1016, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [53.3703]
train_epoch: 1017, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [53.4180]
train_epoch: 1018, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [53.4665]
train_epoch: 1019, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [53.5178]
train_epoch: 1020, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [53.5655]
train_epoch: 1021, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [53.6179]
train_epoch: 1022, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [53.6704]
train_epoch: 1023, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [53.7180]
train_epoch: 1024, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [53.7692]
train_epoch: 1025, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [53.8199]
train_epoch: 1026, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [53.8681]
train_epoch: 1027, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [53.9192]
train_epoch: 1028, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [53.9697]
train_epoch: 1029, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [54.0195]
train_epoch: 1030, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [54.0702]
train_epoch: 1031, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [54.1204]
train_epoch: 1032, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [54.1709]
train_epoch: 1033, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [54.2219]
train_epoch: 1034, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [54.2730]
train_epoch: 1035, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [54.3265]
train_epoch: 1036, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [54.3790]
train_epoch: 1037, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [54.4323]
train_epoch: 1038, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [54.4854]
train_epoch: 1039, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [54.5390]
train_epoch: 1040, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [54.5895]
train_epoch: 1041, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [54.6436]
train_epoch: 1042, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [54.6977]
train_epoch: 1043, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [54.7469]
train_epoch: 1044, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [54.8001]
train_epoch: 1045, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [54.8546]
train_epoch: 1046, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [54.9068]
train_epoch: 1047, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [54.9557]
train_epoch: 1048, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.0075]
train_epoch: 1049, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.0585]
train_epoch: 1050, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.1125]
train_epoch: 1051, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.1651]
train_epoch: 1052, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.2147]
train_epoch: 1053, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.2589]
train_epoch: 1054, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.3034]
train_epoch: 1055, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.3546]
train_epoch: 1056, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.4074]
train_epoch: 1057, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.4605]
train_epoch: 1058, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.5156]
train_epoch: 1059, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.5664]
train_epoch: 1060, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.6180]
train_epoch: 1061, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.6710]
train_epoch: 1062, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.7256]
train_epoch: 1063, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.7767]
train_epoch: 1064, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.8266]
train_epoch: 1065, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.8784]
train_epoch: 1066, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.9314]
train_epoch: 1067, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [55.9849]
train_epoch: 1068, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.0359]
train_epoch: 1069, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.0851]
train_epoch: 1070, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.1325]
train_epoch: 1071, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.1798]
train_epoch: 1072, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.2244]
train_epoch: 1073, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.2754]
train_epoch: 1074, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.3258]
train_epoch: 1075, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.3741]
train_epoch: 1076, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.4233]
train_epoch: 1077, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.4777]
train_epoch: 1078, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.5277]
train_epoch: 1079, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.5719]
train_epoch: 1080, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.6155]
train_epoch: 1081, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.6663]
train_epoch: 1082, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.7182]
train_epoch: 1083, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.7708]
train_epoch: 1084, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.8219]
train_epoch: 1085, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.8743]
train_epoch: 1086, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.9250]
train_epoch: 1087, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [56.9760]
train_epoch: 1088, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [57.0305]
train_epoch: 1089, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [57.0798]
train_epoch: 1090, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [57.1295]
train_epoch: 1091, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [57.1787]
train_epoch: 1092, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [57.2316]
train_epoch: 1093, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [57.2804]
train_epoch: 1094, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [57.3298]
train_epoch: 1095, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [57.3812]
train_epoch: 1096, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [57.4277]
train_epoch: 1097, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [57.4821]
train_epoch: 1098, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [57.5358]
train_epoch: 1099, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [57.5901]
train_epoch: 1100, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [57.6409]
train_epoch: 1101, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [57.6935]
train_epoch: 1102, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [57.7464]
train_epoch: 1103, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [57.7990]
train_epoch: 1104, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [57.8508]
train_epoch: 1105, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [57.9041]
train_epoch: 1106, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [57.9565]
train_epoch: 1107, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.0094]
train_epoch: 1108, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.0611]
train_epoch: 1109, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.1130]
train_epoch: 1110, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.1574]
train_epoch: 1111, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.2072]
train_epoch: 1112, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.2559]
train_epoch: 1113, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.3048]
train_epoch: 1114, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.3498]
train_epoch: 1115, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.3984]
train_epoch: 1116, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.4498]
train_epoch: 1117, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.5001]
train_epoch: 1118, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.5453]
train_epoch: 1119, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.5970]
train_epoch: 1120, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.6430]
train_epoch: 1121, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.6894]
train_epoch: 1122, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.7385]
train_epoch: 1123, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.7919]
train_epoch: 1124, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.8458]
train_epoch: 1125, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.8971]
train_epoch: 1126, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [58.9490]
train_epoch: 1127, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [59.0026]
train_epoch: 1128, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [59.0556]
train_epoch: 1129, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [59.1070]
train_epoch: 1130, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [59.1566]
train_epoch: 1131, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [59.2098]
train_epoch: 1132, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [59.2620]
train_epoch: 1133, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [59.3151]
train_epoch: 1134, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [59.3704]
train_epoch: 1135, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [59.4241]
train_epoch: 1136, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [59.4742]
train_epoch: 1137, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [59.5276]
train_epoch: 1138, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [59.5778]
