{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.4129, recall20: 0.0000 recall10: 0.0000 [41.5774]
train_epoch: 1002, loss: 0.4129, recall20: 0.0000 recall10: 0.0000 [41.6689]
train_epoch: 1003, loss: 0.4128, recall20: 0.0000 recall10: 0.0000 [41.7581]
train_epoch: 1004, loss: 0.4128, recall20: 0.0000 recall10: 0.0000 [41.8472]
train_epoch: 1005, loss: 0.4128, recall20: 0.0000 recall10: 0.0000 [41.9368]
train_epoch: 1006, loss: 0.4127, recall20: 0.0000 recall10: 0.0000 [42.0245]
train_epoch: 1007, loss: 0.4127, recall20: 0.0000 recall10: 0.0000 [42.1134]
train_epoch: 1008, loss: 0.4126, recall20: 0.0000 recall10: 0.0000 [42.2026]
train_epoch: 1009, loss: 0.4126, recall20: 0.0000 recall10: 0.0000 [42.2909]
train_epoch: 1010, loss: 0.4126, recall20: 0.0000 recall10: 0.0000 [42.3801]
train_epoch: 1011, loss: 0.4125, recall20: 0.0000 recall10: 0.0000 [42.4700]
train_epoch: 1012, loss: 0.4125, recall20: 0.0000 recall10: 0.0000 [42.5593]
train_epoch: 1013, loss: 0.4124, recall20: 0.0000 recall10: 0.0000 [42.6459]
train_epoch: 1014, loss: 0.4124, recall20: 0.0000 recall10: 0.0000 [42.7359]
train_epoch: 1015, loss: 0.4124, recall20: 0.0000 recall10: 0.0000 [42.8252]
train_epoch: 1016, loss: 0.4123, recall20: 0.0000 recall10: 0.0000 [42.9168]
train_epoch: 1017, loss: 0.4123, recall20: 0.0000 recall10: 0.0000 [43.0061]
train_epoch: 1018, loss: 0.4122, recall20: 0.0000 recall10: 0.0000 [43.0957]
train_epoch: 1019, loss: 0.4122, recall20: 0.0000 recall10: 0.0000 [43.1844]
train_epoch: 1020, loss: 0.4122, recall20: 0.0000 recall10: 0.0000 [43.2739]
train_epoch: 1021, loss: 0.4121, recall20: 0.0000 recall10: 0.0000 [43.3626]
train_epoch: 1022, loss: 0.4121, recall20: 0.0000 recall10: 0.0000 [43.4524]
train_epoch: 1023, loss: 0.4120, recall20: 0.0000 recall10: 0.0000 [43.5415]
train_epoch: 1024, loss: 0.4120, recall20: 0.0000 recall10: 0.0000 [43.6300]
train_epoch: 1025, loss: 0.4120, recall20: 0.0000 recall10: 0.0000 [43.7192]
train_epoch: 1026, loss: 0.4119, recall20: 0.0000 recall10: 0.0000 [43.8074]
train_epoch: 1027, loss: 0.4119, recall20: 0.0000 recall10: 0.0000 [43.8969]
