{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'max', 'pred': 'i'}
train_epoch: 1001, loss: 0.0359, recall20: 0.0000 recall10: 0.0000 [72.7627]
train_epoch: 1002, loss: 0.0359, recall20: 0.0000 recall10: 0.0000 [72.8424]
train_epoch: 1003, loss: 0.0358, recall20: 0.0000 recall10: 0.0000 [72.9185]
train_epoch: 1004, loss: 0.0358, recall20: 0.0000 recall10: 0.0000 [72.9945]
train_epoch: 1005, loss: 0.0357, recall20: 0.0000 recall10: 0.0000 [73.0689]
train_epoch: 1006, loss: 0.0357, recall20: 0.0000 recall10: 0.0000 [73.1440]
train_epoch: 1007, loss: 0.0356, recall20: 0.0000 recall10: 0.0000 [73.2205]
train_epoch: 1008, loss: 0.0356, recall20: 0.0000 recall10: 0.0000 [73.2966]
train_epoch: 1009, loss: 0.0355, recall20: 0.0000 recall10: 0.0000 [73.3732]
train_epoch: 1010, loss: 0.0355, recall20: 0.0000 recall10: 0.0000 [73.4496]
train_epoch: 1011, loss: 0.0354, recall20: 0.0000 recall10: 0.0000 [73.5244]
train_epoch: 1012, loss: 0.0354, recall20: 0.0000 recall10: 0.0000 [73.6001]
train_epoch: 1013, loss: 0.0353, recall20: 0.0000 recall10: 0.0000 [73.6765]
train_epoch: 1014, loss: 0.0353, recall20: 0.0000 recall10: 0.0000 [73.7515]
train_epoch: 1015, loss: 0.0352, recall20: 0.0000 recall10: 0.0000 [73.8262]
train_epoch: 1016, loss: 0.0352, recall20: 0.0000 recall10: 0.0000 [73.8997]
train_epoch: 1017, loss: 0.0351, recall20: 0.0000 recall10: 0.0000 [73.9758]
train_epoch: 1018, loss: 0.0351, recall20: 0.0000 recall10: 0.0000 [74.0514]
train_epoch: 1019, loss: 0.0350, recall20: 0.0000 recall10: 0.0000 [74.1263]
train_epoch: 1020, loss: 0.0350, recall20: 0.0000 recall10: 0.0000 [74.2027]
train_epoch: 1021, loss: 0.0349, recall20: 0.0000 recall10: 0.0000 [74.2771]
train_epoch: 1022, loss: 0.0349, recall20: 0.0000 recall10: 0.0000 [74.3506]
train_epoch: 1023, loss: 0.0348, recall20: 0.0000 recall10: 0.0000 [74.4252]
train_epoch: 1024, loss: 0.0348, recall20: 0.0000 recall10: 0.0000 [74.5014]
train_epoch: 1025, loss: 0.0348, recall20: 0.0000 recall10: 0.0000 [74.5774]
train_epoch: 1026, loss: 0.0347, recall20: 0.0000 recall10: 0.0000 [74.6525]
train_epoch: 1027, loss: 0.0347, recall20: 0.0000 recall10: 0.0000 [74.7275]
train_epoch: 1028, loss: 0.0346, recall20: 0.0000 recall10: 0.0000 [74.8029]
train_epoch: 1029, loss: 0.0346, recall20: 0.0000 recall10: 0.0000 [74.8784]
train_epoch: 1030, loss: 0.0345, recall20: 0.0000 recall10: 0.0000 [74.9542]
train_epoch: 1031, loss: 0.0345, recall20: 0.0000 recall10: 0.0000 [75.0290]
train_epoch: 1032, loss: 0.0344, recall20: 0.0000 recall10: 0.0000 [75.1041]
train_epoch: 1033, loss: 0.0344, recall20: 0.0000 recall10: 0.0000 [75.1775]
train_epoch: 1034, loss: 0.0343, recall20: 0.0000 recall10: 0.0000 [75.2532]
train_epoch: 1035, loss: 0.0343, recall20: 0.0000 recall10: 0.0000 [75.3286]
train_epoch: 1036, loss: 0.0342, recall20: 0.0000 recall10: 0.0000 [75.4053]
train_epoch: 1037, loss: 0.0342, recall20: 0.0000 recall10: 0.0000 [75.4801]
train_epoch: 1038, loss: 0.0342, recall20: 0.0000 recall10: 0.0000 [75.5562]
train_epoch: 1039, loss: 0.0341, recall20: 0.0000 recall10: 0.0000 [75.6337]
train_epoch: 1040, loss: 0.0341, recall20: 0.0000 recall10: 0.0000 [75.7097]
train_epoch: 1041, loss: 0.0340, recall20: 0.0000 recall10: 0.0000 [75.7863]
train_epoch: 1042, loss: 0.0340, recall20: 0.0000 recall10: 0.0000 [75.8621]
train_epoch: 1043, loss: 0.0339, recall20: 0.0000 recall10: 0.0000 [75.9380]
train_epoch: 1044, loss: 0.0339, recall20: 0.0000 recall10: 0.0000 [76.0135]
train_epoch: 1045, loss: 0.0338, recall20: 0.0000 recall10: 0.0000 [76.0893]
train_epoch: 1046, loss: 0.0338, recall20: 0.0000 recall10: 0.0000 [76.1658]
train_epoch: 1047, loss: 0.0337, recall20: 0.0000 recall10: 0.0000 [76.2418]
train_epoch: 1048, loss: 0.0337, recall20: 0.0000 recall10: 0.0000 [76.3157]
train_epoch: 1049, loss: 0.0337, recall20: 0.0000 recall10: 0.0000 [76.3914]
train_epoch: 1050, loss: 0.0336, recall20: 0.0000 recall10: 0.0000 [76.4662]
train_epoch: 1051, loss: 0.0336, recall20: 0.0000 recall10: 0.0000 [76.5397]
train_epoch: 1052, loss: 0.0335, recall20: 0.0000 recall10: 0.0000 [76.6156]
train_epoch: 1053, loss: 0.0335, recall20: 0.0000 recall10: 0.0000 [76.6911]
train_epoch: 1054, loss: 0.0334, recall20: 0.0000 recall10: 0.0000 [76.7667]
train_epoch: 1055, loss: 0.0334, recall20: 0.0000 recall10: 0.0000 [76.8349]
train_epoch: 1056, loss: 0.0333, recall20: 0.0000 recall10: 0.0000 [76.9106]
train_epoch: 1057, loss: 0.0333, recall20: 0.0000 recall10: 0.0000 [76.9876]
train_epoch: 1058, loss: 0.0333, recall20: 0.0000 recall10: 0.0000 [77.0624]
train_epoch: 1059, loss: 0.0332, recall20: 0.0000 recall10: 0.0000 [77.1375]
train_epoch: 1060, loss: 0.0332, recall20: 0.0000 recall10: 0.0000 [77.2129]
train_epoch: 1061, loss: 0.0331, recall20: 0.0000 recall10: 0.0000 [77.2880]
train_epoch: 1062, loss: 0.0331, recall20: 0.0000 recall10: 0.0000 [77.3629]
train_epoch: 1063, loss: 0.0330, recall20: 0.0000 recall10: 0.0000 [77.4392]
train_epoch: 1064, loss: 0.0330, recall20: 0.0000 recall10: 0.0000 [77.5149]
train_epoch: 1065, loss: 0.0330, recall20: 0.0000 recall10: 0.0000 [77.5912]
train_epoch: 1066, loss: 0.0329, recall20: 0.0000 recall10: 0.0000 [77.6673]
train_epoch: 1067, loss: 0.0329, recall20: 0.0000 recall10: 0.0000 [77.7438]
train_epoch: 1068, loss: 0.0328, recall20: 0.0000 recall10: 0.0000 [77.8190]
train_epoch: 1069, loss: 0.0328, recall20: 0.0000 recall10: 0.0000 [77.8933]
train_epoch: 1070, loss: 0.0327, recall20: 0.0000 recall10: 0.0000 [77.9696]
train_epoch: 1071, loss: 0.0327, recall20: 0.0000 recall10: 0.0000 [78.0457]
train_epoch: 1072, loss: 0.0327, recall20: 0.0000 recall10: 0.0000 [78.1207]
train_epoch: 1073, loss: 0.0326, recall20: 0.0000 recall10: 0.0000 [78.1962]
train_epoch: 1074, loss: 0.0326, recall20: 0.0000 recall10: 0.0000 [78.2728]
train_epoch: 1075, loss: 0.0325, recall20: 0.0000 recall10: 0.0000 [78.3460]
train_epoch: 1076, loss: 0.0325, recall20: 0.0000 recall10: 0.0000 [78.4210]
train_epoch: 1077, loss: 0.0324, recall20: 0.0000 recall10: 0.0000 [78.4963]
train_epoch: 1078, loss: 0.0324, recall20: 0.0000 recall10: 0.0000 [78.5718]
train_epoch: 1079, loss: 0.0324, recall20: 0.0000 recall10: 0.0000 [78.6476]
train_epoch: 1080, loss: 0.0323, recall20: 0.0000 recall10: 0.0000 [78.7222]
train_epoch: 1081, loss: 0.0323, recall20: 0.0000 recall10: 0.0000 [78.7973]
train_epoch: 1082, loss: 0.0322, recall20: 0.0000 recall10: 0.0000 [78.8723]
train_epoch: 1083, loss: 0.0322, recall20: 0.0000 recall10: 0.0000 [78.9479]
train_epoch: 1084, loss: 0.0321, recall20: 0.0000 recall10: 0.0000 [79.0228]
train_epoch: 1085, loss: 0.0321, recall20: 0.0000 recall10: 0.0000 [79.0984]
train_epoch: 1086, loss: 0.0321, recall20: 0.0000 recall10: 0.0000 [79.1736]
train_epoch: 1087, loss: 0.0320, recall20: 0.0000 recall10: 0.0000 [79.2486]
train_epoch: 1088, loss: 0.0320, recall20: 0.0000 recall10: 0.0000 [79.3235]
train_epoch: 1089, loss: 0.0319, recall20: 0.0000 recall10: 0.0000 [79.3990]
train_epoch: 1090, loss: 0.0319, recall20: 0.0000 recall10: 0.0000 [79.4743]
train_epoch: 1091, loss: 0.0319, recall20: 0.0000 recall10: 0.0000 [79.5491]
train_epoch: 1092, loss: 0.0318, recall20: 0.0000 recall10: 0.0000 [79.6264]
train_epoch: 1093, loss: 0.0318, recall20: 0.0000 recall10: 0.0000 [79.7021]
train_epoch: 1094, loss: 0.0317, recall20: 0.0000 recall10: 0.0000 [79.7773]
train_epoch: 1095, loss: 0.0317, recall20: 0.0000 recall10: 0.0000 [79.8514]
train_epoch: 1096, loss: 0.0317, recall20: 0.0000 recall10: 0.0000 [79.9275]
train_epoch: 1097, loss: 0.0316, recall20: 0.0000 recall10: 0.0000 [80.0015]
train_epoch: 1098, loss: 0.0316, recall20: 0.0000 recall10: 0.0000 [80.0763]
train_epoch: 1099, loss: 0.0315, recall20: 0.0000 recall10: 0.0000 [80.1501]
train_epoch: 1100, loss: 0.0315, recall20: 0.0000 recall10: 0.0000 [80.2224]
train_epoch: 1101, loss: 0.0315, recall20: 0.0000 recall10: 0.0000 [80.2976]
train_epoch: 1102, loss: 0.0314, recall20: 0.0000 recall10: 0.0000 [80.3727]
train_epoch: 1103, loss: 0.0314, recall20: 0.0000 recall10: 0.0000 [80.4454]
train_epoch: 1104, loss: 0.0313, recall20: 0.0000 recall10: 0.0000 [80.5223]
train_epoch: 1105, loss: 0.0313, recall20: 0.0000 recall10: 0.0000 [80.5985]
train_epoch: 1106, loss: 0.0313, recall20: 0.0000 recall10: 0.0000 [80.6734]
train_epoch: 1107, loss: 0.0312, recall20: 0.0000 recall10: 0.0000 [80.7480]
train_epoch: 1108, loss: 0.0312, recall20: 0.0000 recall10: 0.0000 [80.8224]
train_epoch: 1109, loss: 0.0311, recall20: 0.0000 recall10: 0.0000 [80.8973]
train_epoch: 1110, loss: 0.0311, recall20: 0.0000 recall10: 0.0000 [80.9724]
train_epoch: 1111, loss: 0.0311, recall20: 0.0000 recall10: 0.0000 [81.0481]
train_epoch: 1112, loss: 0.0310, recall20: 0.0000 recall10: 0.0000 [81.1241]
train_epoch: 1113, loss: 0.0310, recall20: 0.0000 recall10: 0.0000 [81.1992]
train_epoch: 1114, loss: 0.0309, recall20: 0.0000 recall10: 0.0000 [81.2738]
train_epoch: 1115, loss: 0.0309, recall20: 0.0000 recall10: 0.0000 [81.3459]
train_epoch: 1116, loss: 0.0309, recall20: 0.0000 recall10: 0.0000 [81.4205]
train_epoch: 1117, loss: 0.0308, recall20: 0.0000 recall10: 0.0000 [81.4958]
train_epoch: 1118, loss: 0.0308, recall20: 0.0000 recall10: 0.0000 [81.5705]
train_epoch: 1119, loss: 0.0307, recall20: 0.0000 recall10: 0.0000 [81.6466]
train_epoch: 1120, loss: 0.0307, recall20: 0.0000 recall10: 0.0000 [81.7218]
train_epoch: 1121, loss: 0.0307, recall20: 0.0000 recall10: 0.0000 [81.7967]
train_epoch: 1122, loss: 0.0306, recall20: 0.0000 recall10: 0.0000 [81.8714]
train_epoch: 1123, loss: 0.0306, recall20: 0.0000 recall10: 0.0000 [81.9469]
train_epoch: 1124, loss: 0.0305, recall20: 0.0000 recall10: 0.0000 [82.0221]
train_epoch: 1125, loss: 0.0305, recall20: 0.0000 recall10: 0.0000 [82.0977]
train_epoch: 1126, loss: 0.0305, recall20: 0.0000 recall10: 0.0000 [82.1732]
train_epoch: 1127, loss: 0.0304, recall20: 0.0000 recall10: 0.0000 [82.2479]
train_epoch: 1128, loss: 0.0304, recall20: 0.0000 recall10: 0.0000 [82.3234]
train_epoch: 1129, loss: 0.0304, recall20: 0.0000 recall10: 0.0000 [82.3981]
train_epoch: 1130, loss: 0.0303, recall20: 0.0000 recall10: 0.0000 [82.4748]
train_epoch: 1131, loss: 0.0303, recall20: 0.0000 recall10: 0.0000 [82.5501]
train_epoch: 1132, loss: 0.0302, recall20: 0.0000 recall10: 0.0000 [82.6258]
train_epoch: 1133, loss: 0.0302, recall20: 0.0000 recall10: 0.0000 [82.6993]
