{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'max', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.8773]
train_epoch: 1002, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.8972]
train_epoch: 1003, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9112]
train_epoch: 1004, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9244]
train_epoch: 1005, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9379]
train_epoch: 1006, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9518]
train_epoch: 1007, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9655]
train_epoch: 1008, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9777]
train_epoch: 1009, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.9906]
train_epoch: 1010, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0026]
train_epoch: 1011, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0159]
train_epoch: 1012, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0291]
train_epoch: 1013, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0425]
train_epoch: 1014, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0552]
train_epoch: 1015, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0691]
train_epoch: 1016, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0835]
train_epoch: 1017, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [12.0966]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1113]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1245]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1386]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1527]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1664]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1789]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1916]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2045]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2176]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2310]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2440]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2566]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2721]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2857]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2998]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.3132]
