{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'max', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.4240, recall20: 0.0000 recall10: 0.0000 [46.7508]
train_epoch: 1002, loss: 0.4239, recall20: 0.0000 recall10: 0.0000 [46.8042]
train_epoch: 1003, loss: 0.4239, recall20: 0.0000 recall10: 0.0000 [46.8579]
train_epoch: 1004, loss: 0.4238, recall20: 0.0000 recall10: 0.0000 [46.9131]
train_epoch: 1005, loss: 0.4238, recall20: 0.0000 recall10: 0.0000 [46.9663]
train_epoch: 1006, loss: 0.4237, recall20: 0.0000 recall10: 0.0000 [47.0219]
train_epoch: 1007, loss: 0.4237, recall20: 0.0000 recall10: 0.0000 [47.0778]
train_epoch: 1008, loss: 0.4236, recall20: 0.0000 recall10: 0.0000 [47.1342]
train_epoch: 1009, loss: 0.4236, recall20: 0.0000 recall10: 0.0000 [47.1907]
train_epoch: 1010, loss: 0.4236, recall20: 0.0000 recall10: 0.0000 [47.2475]
train_epoch: 1011, loss: 0.4235, recall20: 0.0000 recall10: 0.0000 [47.3003]
train_epoch: 1012, loss: 0.4235, recall20: 0.0000 recall10: 0.0000 [47.3567]
train_epoch: 1013, loss: 0.4234, recall20: 0.0000 recall10: 0.0000 [47.4114]
train_epoch: 1014, loss: 0.4234, recall20: 0.0000 recall10: 0.0000 [47.4616]
train_epoch: 1015, loss: 0.4233, recall20: 0.0000 recall10: 0.0000 [47.5177]
train_epoch: 1016, loss: 0.4233, recall20: 0.0000 recall10: 0.0000 [47.5715]
train_epoch: 1017, loss: 0.4232, recall20: 0.0000 recall10: 0.0000 [47.6259]
train_epoch: 1018, loss: 0.4232, recall20: 0.0000 recall10: 0.0000 [47.6810]
train_epoch: 1019, loss: 0.4231, recall20: 0.0000 recall10: 0.0000 [47.7345]
train_epoch: 1020, loss: 0.4231, recall20: 0.0000 recall10: 0.0000 [47.7914]
train_epoch: 1021, loss: 0.4230, recall20: 0.0000 recall10: 0.0000 [47.8476]
train_epoch: 1022, loss: 0.4230, recall20: 0.0000 recall10: 0.0000 [47.9034]
train_epoch: 1023, loss: 0.4229, recall20: 0.0000 recall10: 0.0000 [47.9585]
train_epoch: 1024, loss: 0.4229, recall20: 0.0000 recall10: 0.0000 [48.0133]
train_epoch: 1025, loss: 0.4228, recall20: 0.0000 recall10: 0.0000 [48.0676]
train_epoch: 1026, loss: 0.4228, recall20: 0.0000 recall10: 0.0000 [48.1234]
train_epoch: 1027, loss: 0.4228, recall20: 0.0000 recall10: 0.0000 [48.1769]
train_epoch: 1028, loss: 0.4227, recall20: 0.0000 recall10: 0.0000 [48.2330]
train_epoch: 1029, loss: 0.4227, recall20: 0.0000 recall10: 0.0000 [48.2880]
train_epoch: 1030, loss: 0.4226, recall20: 0.0000 recall10: 0.0000 [48.3443]
train_epoch: 1031, loss: 0.4226, recall20: 0.0000 recall10: 0.0000 [48.3983]
train_epoch: 1032, loss: 0.4225, recall20: 0.0000 recall10: 0.0000 [48.4522]
train_epoch: 1033, loss: 0.4225, recall20: 0.0000 recall10: 0.0000 [48.5091]
train_epoch: 1034, loss: 0.4224, recall20: 0.0000 recall10: 0.0000 [48.5642]
train_epoch: 1035, loss: 0.4224, recall20: 0.0000 recall10: 0.0000 [48.6184]
train_epoch: 1036, loss: 0.4223, recall20: 0.0000 recall10: 0.0000 [48.6695]
train_epoch: 1037, loss: 0.4223, recall20: 0.0000 recall10: 0.0000 [48.7224]
train_epoch: 1038, loss: 0.4222, recall20: 0.0000 recall10: 0.0000 [48.7777]
train_epoch: 1039, loss: 0.4222, recall20: 0.0000 recall10: 0.0000 [48.8337]
train_epoch: 1040, loss: 0.4222, recall20: 0.0000 recall10: 0.0000 [48.8878]
train_epoch: 1041, loss: 0.4221, recall20: 0.0000 recall10: 0.0000 [48.9442]
train_epoch: 1042, loss: 0.4221, recall20: 0.0000 recall10: 0.0000 [48.9948]
train_epoch: 1043, loss: 0.4220, recall20: 0.0000 recall10: 0.0000 [49.0502]
train_epoch: 1044, loss: 0.4220, recall20: 0.0000 recall10: 0.0000 [49.1066]
train_epoch: 1045, loss: 0.4219, recall20: 0.0000 recall10: 0.0000 [49.1640]
train_epoch: 1046, loss: 0.4219, recall20: 0.0000 recall10: 0.0000 [49.2200]
train_epoch: 1047, loss: 0.4218, recall20: 0.0000 recall10: 0.0000 [49.2710]
train_epoch: 1048, loss: 0.4218, recall20: 0.0000 recall10: 0.0000 [49.3248]
